SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1970.0;723031940.384339
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1970.0;8083516126.41157
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1970.0;697248221.969091
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1970.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1970.0;604799758.322016
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1971.0;661824595.725197
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1971.0;8774067755.301
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1971.0;686179218.645217
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1971.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1971.0;848693572.744308
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1972.0;512345519.879448
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1972.0;7527504342.79097
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1972.0;-654945341.770297
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1972.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1972.0;-225047899.599379
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1973.0;1401277946.94908
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1973.0;12013672464.0595
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1973.0;2694373885.27718
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1973.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1973.0;126808626.403116
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1974.0;2707598495.86891
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1974.0;9585967774.83174
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1974.0;2626765762.10869
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1974.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1974.0;1471720153.50864
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1975.0;3060453482.11293
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1975.0;9785998494.46177
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1975.0;1223827707.86099
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1975.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1975.0;511150826.063383
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1976.0;955872029.325861
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1976.0;6438652518.80086
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1976.0;682279524.325198
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1976.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1976.0;-630199999.452
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1977.0;1237957021.66813
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1977.0;10065669070.9441
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1977.0;1000495092.4059
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1977.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1977.0;-465749999.595
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1978.0;1538143539.70821
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1978.0;12357723577.2358
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1978.0;5292433198.80144
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1978.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1978.0;-594549999.483
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1979.0;-493173965.739235
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1979.0;14165217391.3043
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1979.0;3177005020.37779
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1979.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1979.0;-117574041.091654
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1980.0;1043878476.77107
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1980.0;11554166666.6667
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1980.0;2611175687.50746
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1980.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1980.0;2956985412.64366
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1981.0;386773598.172949
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1981.0;11146825396.8254
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1981.0;1862891369.98189
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1981.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1981.0;4266282857.96482
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1982.0;-964202698.415375
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1982.0;7671755725.19084
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1982.0;-65535335.815103
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1982.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1982.0;-1931266736.13265
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1983.0;-2944008088.45617
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1983.0;8647509578.54406
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1983.0;-1136920637.82293
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1983.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1983.0;-657930167.996125
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1984.0;-2395088005.1334
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1984.0;13146428571.4286
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1984.0;381741894.742709
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1984.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1984.0;141668262.435655
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1985.0;5021552447.45011
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1985.0;26717687074.8299
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1985.0;1978013811.68659
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1985.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1985.0;-1499994391.67891
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1986.0;0.0
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1986.0;20353623188.4058
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1986.0;-2045171366.30692
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1986.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1986.0;-470890629.575982
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1987.0;-68458.6400280407
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1987.0;18459641255.6054
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1987.0;-1099483473.73655
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1987.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1987.0;-1589856092.72933
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1988.0;1783540.22173365
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1988.0;25067901234.5679
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1988.0;4583005166.07243
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1988.0;
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1988.0;292944587.947705
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1989.0;0.0
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1989.0;40350202429.1498
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1989.0;4425924725.89883
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1989.0;10518939040.3616
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1989.0;395016161.918497
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1990.0;-2280000000.0
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1990.0;36695984703.6329
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1990.0;8161683453.29771
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1990.0;7380768893.20397
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1990.0;-1769011380.82025
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1991.0;10010000000.0
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1991.0;36545296167.2474
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1991.0;-1654833175.62993
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1991.0;67333333333.3333
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1991.0;-34766044.438972
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1992.0;2048125000.0
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1992.0;37246467817.8964
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1992.0;699188601.0912
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1992.0;49152542372.8814
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1992.0;-961425799.369275
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1993.0;6843850931.67702
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1993.0;27532943537.8305
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1993.0;2042951808.26609
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1993.0;28792491121.2582
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1993.0;-863899402.081954
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1994.0;1055842327.54575
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1994.0;31656746377.0638
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1994.0;12543549546.6228
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1994.0;14722815188.5633
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1994.0;2274418100.34269
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1995.0;-23032628418.8733
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1995.0;47721747877.4235
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1995.0;9563755007.14239
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1995.0;17249972311.4409
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1995.0;3430578549.99262
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1996.0;-11682370908.3673
Changes in inventories (current US$);NE.GDI.STKB.CD;China;CHN;1996.0;50958600947.7761
Changes in inventories (current US$);NE.GDI.STKB.CD;India;IND;1996.0;5959380515.36867
Changes in inventories (current US$);NE.GDI.STKB.CD;Russian Federation;RUS;1996.0;14359294521.617
Changes in inventories (current US$);NE.GDI.STKB.CD;South Africa;ZAF;1996.0;1246235137.5276
Changes in inventories (current US$);NE.GDI.STKB.CD;Brazil;BRA;1997.0;-12001936641.9295
