SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;Brazil;BRA;1970.0;32156314852.753
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;China;CHN;1970.0;
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;India;IND;1970.0;467292709421.314
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;Russian Federation;RUS;1970.0;
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;South Africa;ZAF;1970.0;194191331996.297
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;Brazil;BRA;1971.0;33435885894.6361
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;China;CHN;1971.0;
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;India;IND;1971.0;518188408324.975
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;Russian Federation;RUS;1971.0;
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;South Africa;ZAF;1971.0;208470312991.592
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;Brazil;BRA;1972.0;41798527145.6782
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;China;CHN;1972.0;
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;India;IND;1972.0;602533877084.522
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;Russian Federation;RUS;1972.0;
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;South Africa;ZAF;1972.0;241350141758.242
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;Brazil;BRA;1973.0;53377290040.7841
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;China;CHN;1973.0;
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;India;IND;1973.0;534348979624.121
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;Russian Federation;RUS;1973.0;
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;South Africa;ZAF;1973.0;269239905185.845
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;Brazil;BRA;1974.0;45469361766.5241
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;China;CHN;1974.0;
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;India;IND;1974.0;419829126978.38
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;Russian Federation;RUS;1974.0;
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;South Africa;ZAF;1974.0;281902638383.838
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;Brazil;BRA;1975.0;49282726626.441
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;China;CHN;1975.0;
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;India;IND;1975.0;450161122076.278
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;Russian Federation;RUS;1975.0;
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;South Africa;ZAF;1975.0;255382800728.155
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;Brazil;BRA;1976.0;55406249414.6497
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;China;CHN;1976.0;
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;India;IND;1976.0;590403477534.53
