SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Brazil;BRA;1970.0;-177912553.313845
External balance on goods and services (current US$);NE.RSB.GNFS.CD;China;CHN;1970.0;28434478.8366236
External balance on goods and services (current US$);NE.RSB.GNFS.CD;India;IND;1970.0;-60000000.0
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Russian Federation;RUS;1970.0;
External balance on goods and services (current US$);NE.RSB.GNFS.CD;South Africa;ZAF;1970.0;-632799747.133221
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Brazil;BRA;1971.0;-848612874.357427
External balance on goods and services (current US$);NE.RSB.GNFS.CD;China;CHN;1971.0;653993013.242343
External balance on goods and services (current US$);NE.RSB.GNFS.CD;India;IND;1971.0;-225757901.526553
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Russian Federation;RUS;1971.0;
External balance on goods and services (current US$);NE.RSB.GNFS.CD;South Africa;ZAF;1971.0;-829119091.659595
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Brazil;BRA;1972.0;-927784676.017155
External balance on goods and services (current US$);NE.RSB.GNFS.CD;China;CHN;1972.0;841833325.909759
External balance on goods and services (current US$);NE.RSB.GNFS.CD;India;IND;1972.0;227666675.290404
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Russian Federation;RUS;1972.0;
External balance on goods and services (current US$);NE.RSB.GNFS.CD;South Africa;ZAF;1972.0;525545384.035543
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Brazil;BRA;1973.0;-975055646.878116
External balance on goods and services (current US$);NE.RSB.GNFS.CD;China;CHN;1973.0;668543279.380719
External balance on goods and services (current US$);NE.RSB.GNFS.CD;India;IND;1973.0;-440035609.818136
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Russian Federation;RUS;1973.0;
External balance on goods and services (current US$);NE.RSB.GNFS.CD;South Africa;ZAF;1973.0;739236651.645437
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Brazil;BRA;1974.0;-6172123572.14926
External balance on goods and services (current US$);NE.RSB.GNFS.CD;China;CHN;1974.0;-683255149.908219
External balance on goods and services (current US$);NE.RSB.GNFS.CD;India;IND;1974.0;-1183610010.53212
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Russian Federation;RUS;1974.0;
External balance on goods and services (current US$);NE.RSB.GNFS.CD;South Africa;ZAF;1974.0;-201625661.030682
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Brazil;BRA;1975.0;-4907560235.7633
External balance on goods and services (current US$);NE.RSB.GNFS.CD;China;CHN;1975.0;-236584578.986988
External balance on goods and services (current US$);NE.RSB.GNFS.CD;India;IND;1975.0;-984584094.113297
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Russian Federation;RUS;1975.0;
External balance on goods and services (current US$);NE.RSB.GNFS.CD;South Africa;ZAF;1975.0;-911417081.393439
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Brazil;BRA;1976.0;-3659545985.35254
External balance on goods and services (current US$);NE.RSB.GNFS.CD;China;CHN;1976.0;283300710.827238
External balance on goods and services (current US$);NE.RSB.GNFS.CD;India;IND;1976.0;587360012.530347
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Russian Federation;RUS;1976.0;
External balance on goods and services (current US$);NE.RSB.GNFS.CD;South Africa;ZAF;1976.0;-433549999.623
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Brazil;BRA;1977.0;-1172207021.18182
External balance on goods and services (current US$);NE.RSB.GNFS.CD;China;CHN;1977.0;371407040.58564
External balance on goods and services (current US$);NE.RSB.GNFS.CD;India;IND;1977.0;143649635.036496
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Russian Federation;RUS;1977.0;
External balance on goods and services (current US$);NE.RSB.GNFS.CD;South Africa;ZAF;1977.0;1974549998.283
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Brazil;BRA;1978.0;-2387152105.92509
External balance on goods and services (current US$);NE.RSB.GNFS.CD;China;CHN;1978.0;-804878048.780488
External balance on goods and services (current US$);NE.RSB.GNFS.CD;India;IND;1978.0;-375325973.044771
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Russian Federation;RUS;1978.0;
External balance on goods and services (current US$);NE.RSB.GNFS.CD;South Africa;ZAF;1978.0;3044049997.353
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Brazil;BRA;1979.0;-4615615400.08842
External balance on goods and services (current US$);NE.RSB.GNFS.CD;China;CHN;1979.0;-1356521739.13044
External balance on goods and services (current US$);NE.RSB.GNFS.CD;India;IND;1979.0;-2171759694.91358
External balance on goods and services (current US$);NE.RSB.GNFS.CD;Russian Federation;RUS;1979.0;
