SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Brazil;BRA;1970.0;14000000.0
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;China;CHN;1970.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;India;IND;1970.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Russian Federation;RUS;1970.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;South Africa;ZAF;1970.0;16799993.28
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Brazil;BRA;1971.0;1000000.0
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;China;CHN;1971.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;India;IND;1971.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Russian Federation;RUS;1971.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;South Africa;ZAF;1971.0;29361718.1918
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Brazil;BRA;1972.0;19000000.0
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;China;CHN;1972.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;India;IND;1972.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Russian Federation;RUS;1972.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;South Africa;ZAF;1972.0;19513337.3661
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Brazil;BRA;1973.0;33100000.0
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;China;CHN;1973.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;India;IND;1973.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Russian Federation;RUS;1973.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;South Africa;ZAF;1973.0;51876263.5833
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Brazil;BRA;1974.0;53800000.0
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;China;CHN;1974.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;India;IND;1974.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Russian Federation;RUS;1974.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;South Africa;ZAF;1974.0;114794172.5768
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Brazil;BRA;1975.0;112000000.0
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;China;CHN;1975.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;India;IND;1975.0;0.0
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Russian Federation;RUS;1975.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;South Africa;ZAF;1975.0;125759288.6081
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Brazil;BRA;1976.0;183000000.0
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;China;CHN;1976.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;India;IND;1976.0;0.0
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Russian Federation;RUS;1976.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;South Africa;ZAF;1976.0;32200008.05
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Brazil;BRA;1977.0;146000000.0
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;China;CHN;1977.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;India;IND;1977.0;0.0
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Russian Federation;RUS;1977.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;South Africa;ZAF;1977.0;67850016.9625
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Brazil;BRA;1978.0;124000000.0
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;China;CHN;1978.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;India;IND;1978.0;0.0
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Russian Federation;RUS;1978.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;South Africa;ZAF;1978.0;238050059.5125
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Brazil;BRA;1979.0;196000000.0
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;China;CHN;1979.0;
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;India;IND;1979.0;0.0
Foreign direct investment, net outflows (BoP, current US$);BM.KLT.DINV.CD.WD;Russian Federation;RUS;1979.0;
