SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
GDP (current LCU);NY.GDP.MKTP.CN;Brazil;BRA;1970.0;0.0706600025
GDP (current LCU);NY.GDP.MKTP.CN;China;CHN;1970.0;227970000000.0
GDP (current LCU);NY.GDP.MKTP.CN;India;IND;1970.0;468168622908.88
GDP (current LCU);NY.GDP.MKTP.CN;Russian Federation;RUS;1970.0;
GDP (current LCU);NY.GDP.MKTP.CN;South Africa;ZAF;1970.0;13156000000.0
GDP (current LCU);NY.GDP.MKTP.CN;Brazil;BRA;1971.0;0.0945689976
GDP (current LCU);NY.GDP.MKTP.CN;China;CHN;1971.0;245690000000.0
GDP (current LCU);NY.GDP.MKTP.CN;India;IND;1971.0;501199112456.36
GDP (current LCU);NY.GDP.MKTP.CN;Russian Federation;RUS;1971.0;
GDP (current LCU);NY.GDP.MKTP.CN;South Africa;ZAF;1971.0;14543000000.0
GDP (current LCU);NY.GDP.MKTP.CN;Brazil;BRA;1972.0;0.1262540072
GDP (current LCU);NY.GDP.MKTP.CN;China;CHN;1972.0;255240000000.0
GDP (current LCU);NY.GDP.MKTP.CN;India;IND;1972.0;552453366225.34
GDP (current LCU);NY.GDP.MKTP.CN;Russian Federation;RUS;1972.0;
GDP (current LCU);NY.GDP.MKTP.CN;South Africa;ZAF;1972.0;16418000000.0
GDP (current LCU);NY.GDP.MKTP.CN;Brazil;BRA;1973.0;0.1765179932
GDP (current LCU);NY.GDP.MKTP.CN;China;CHN;1973.0;275620000000.0
GDP (current LCU);NY.GDP.MKTP.CN;India;IND;1973.0;672406564750.96
GDP (current LCU);NY.GDP.MKTP.CN;Russian Federation;RUS;1973.0;
GDP (current LCU);NY.GDP.MKTP.CN;South Africa;ZAF;1973.0;20330000000.0
GDP (current LCU);NY.GDP.MKTP.CN;Brazil;BRA;1974.0;0.2594619989
GDP (current LCU);NY.GDP.MKTP.CN;China;CHN;1974.0;282770000000.0
GDP (current LCU);NY.GDP.MKTP.CN;India;IND;1974.0;793778760987.78
GDP (current LCU);NY.GDP.MKTP.CN;Russian Federation;RUS;1974.0;
GDP (current LCU);NY.GDP.MKTP.CN;South Africa;ZAF;1974.0;25010000000.0
GDP (current LCU);NY.GDP.MKTP.CN;Brazil;BRA;1975.0;0.3654139936
GDP (current LCU);NY.GDP.MKTP.CN;China;CHN;1975.0;303950000000.0
GDP (current LCU);NY.GDP.MKTP.CN;India;IND;1975.0;852124496861.99
GDP (current LCU);NY.GDP.MKTP.CN;Russian Federation;RUS;1975.0;
GDP (current LCU);NY.GDP.MKTP.CN;South Africa;ZAF;1975.0;28186000000.0
GDP (current LCU);NY.GDP.MKTP.CN;Brazil;BRA;1976.0;0.5922639966
GDP (current LCU);NY.GDP.MKTP.CN;China;CHN;1976.0;298860000000.0
GDP (current LCU);NY.GDP.MKTP.CN;India;IND;1976.0;918116831145.5
GDP (current LCU);NY.GDP.MKTP.CN;Russian Federation;RUS;1976.0;
GDP (current LCU);NY.GDP.MKTP.CN;South Africa;ZAF;1976.0;31829000000.0
GDP (current LCU);NY.GDP.MKTP.CN;Brazil;BRA;1977.0;0.9056490064
GDP (current LCU);NY.GDP.MKTP.CN;China;CHN;1977.0;325000000000.0
GDP (current LCU);NY.GDP.MKTP.CN;India;IND;1977.0;1040235198686.18
GDP (current LCU);NY.GDP.MKTP.CN;Russian Federation;RUS;1977.0;
GDP (current LCU);NY.GDP.MKTP.CN;South Africa;ZAF;1977.0;35349000000.0
GDP (current LCU);NY.GDP.MKTP.CN;Brazil;BRA;1978.0;1.3187919855
GDP (current LCU);NY.GDP.MKTP.CN;China;CHN;1978.0;367870251960.0
GDP (current LCU);NY.GDP.MKTP.CN;India;IND;1978.0;1126713683356.82
GDP (current LCU);NY.GDP.MKTP.CN;Russian Federation;RUS;1978.0;
GDP (current LCU);NY.GDP.MKTP.CN;South Africa;ZAF;1978.0;40643000000.0
GDP (current LCU);NY.GDP.MKTP.CN;Brazil;BRA;1979.0;2.2032859325
GDP (current LCU);NY.GDP.MKTP.CN;China;CHN;1979.0;410045367150.0
GDP (current LCU);NY.GDP.MKTP.CN;India;IND;1979.0;1235621792692.69
GDP (current LCU);NY.GDP.MKTP.CN;Russian Federation;RUS;1979.0;
GDP (current LCU);NY.GDP.MKTP.CN;South Africa;ZAF;1979.0;48539000000.0
GDP (current LCU);NY.GDP.MKTP.CN;Brazil;BRA;1980.0;4.5029067993
GDP (current LCU);NY.GDP.MKTP.CN;China;CHN;1980.0;458758107780.0
GDP (current LCU);NY.GDP.MKTP.CN;India;IND;1980.0;1470628683724.41
GDP (current LCU);NY.GDP.MKTP.CN;Russian Federation;RUS;1980.0;
GDP (current LCU);NY.GDP.MKTP.CN;South Africa;ZAF;1980.0;64628000000.0
GDP (current LCU);NY.GDP.MKTP.CN;Brazil;BRA;1981.0;8.9207258225
