SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,Brazil,BRA,1970,169813989457.215,,,169813989457.215
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,China,CHN,1970,0.0,-100.0,,169813989457.215
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,India,IND,1970,949114413692.38,inf,,1118928403149.595
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,Russian Federation,RUS,1970,0.0,-100.0,,1118928403149.595
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,South Africa,ZAF,1970,138653000000.0,inf,251516280629.919,1257581403149.595
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,Brazil,BRA,1971,184931046617.839,33.37688085929551,254539692062.0438,1442512449767.434
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,China,CHN,1971,0.0,-100.0,254539692062.0438,1442512449767.434
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,India,IND,1971,1042144563931.35,inf,273145722109.8378,2484657013698.784
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,Russian Federation,RUS,1971,0.0,-100.0,273145722109.8378,2484657013698.784
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,South Africa,ZAF,1971,149674000000.0,inf,275349922109.83777,2634331013698.784
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,Brazil,BRA,1972,200714095252.73,34.100842666548644,278506531836.81604,2835045108951.514
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,China,CHN,1972,0.0,-100.0,278506531836.81604,2835045108951.514
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,India,IND,1972,1052133186254.19,inf,280504256301.384,3887178295205.704
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,Russian Federation,RUS,1972,0.0,-100.0,280504256301.384,3887178295205.704
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,South Africa,ZAF,1972,148997000000.0,inf,280368856301.384,4036175295205.704
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,Brazil,BRA,1973,225351500857.984,51.24566324018873,285296337422.43475,4261526796063.688
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,China,CHN,1973,0.0,-100.0,285296337422.43475,4261526796063.688
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,India,IND,1973,1050656016081.23,inf,285000903387.8428,5312182812144.918
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,Russian Federation,RUS,1973,0.0,-100.0,285000903387.8428,5312182812144.918
