SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Brazil,BRA,1970,0.0080019999,,,0.0080019999
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,China,CHN,1970,24989577010.0,312291643617641.06,,24989577010.008003
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,India,IND,1970,41888189652.11,67.62264377403322,,66877766662.118004
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Russian Federation,RUS,1970,0.0,-100.0,,66877766662.118004
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,South Africa,ZAF,1970,1566000000.0,inf,13688753332.423601,68443766662.118004
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Brazil,BRA,1971,0.0104240002,-99.99999999933435,13688753332.424084,68443766662.128426
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,China,CHN,1971,29100267120.0,279166026109531.1,14510891354.424084,97544033782.12842
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,India,IND,1971,48484965377.24,66.61347188774533,15830246499.450085,146028999159.3684
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Russian Federation,RUS,1971,0.0,-100.0,15830246499.450085,146028999159.3684
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,South Africa,ZAF,1971,1877000000.0,inf,15892446499.450085,147905999159.3684
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Brazil,BRA,1972,0.013576,-99.99999999927672,15892446499.450718,147905999159.382
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,China,CHN,1972,30653979850.0,225795373084755.62,16203189045.450718,178559979009.382
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,India,IND,1972,51567184749.69,68.22345744997938,16819632919.940716,230127163759.072
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Russian Federation,RUS,1972,0.0,-100.0,16819632919.940716,230127163759.072
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,South Africa,ZAF,1972,1983000000.0,inf,16840832919.940716,232110163759.072
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Brazil,BRA,1973,0.0184380002,-99.9999999990702,16840832919.941687,232110163759.09042
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,China,CHN,1973,31639082990.0,171597150703911.8,17037853547.941687,263749246749.09042
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,India,IND,1973,56531650872.17,78.67664145018887,18030746772.437687,320280897621.26044
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Russian Federation,RUS,1973,0.0,-100.0,18030746772.437687,320280897621.26044
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,South Africa,ZAF,1973,2259000000.0,inf,18085946772.437687,322539897621.26044
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Brazil,BRA,1974,0.0252800006,-99.99999999888092,18085946772.439056,322539897621.2857
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,China,CHN,1974,34070768260.0,134773605424577.08,18572283826.439056,356610665881.2857
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,India,IND,1974,68587572146.63,101.30914461108192,20983468081.331055,425198238027.9157
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Russian Federation,RUS,1974,0.0,-100.0,20983468081.331055,425198238027.9157
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,South Africa,ZAF,1974,2860000000.0,inf,21103668081.331055,428058238027.9157
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Brazil,BRA,1975,0.0388710015,-99.99999999864087,21103668081.33377,428058238027.9546
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,China,CHN,1975,35574212390.0,91518641190557.25,21404356907.33377,463632450417.9546
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,India,IND,1975,80846642790.85,127.2619331793729,23856171036.177773,544479093208.80457
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Russian Federation,RUS,1975,0.0,-100.0,23856171036.177773,544479093208.80457
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,South Africa,ZAF,1975,3628000000.0,inf,24009771036.177773,548107093208.80457
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Brazil,BRA,1976,0.0623110011,-99.99999999828249,24009771036.182465,548107093208.8669
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,China,CHN,1976,37871027980.0,60777434660631.2,24469134154.182465,585978121188.867
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,India,IND,1976,89789561234.74,137.0930128491854,26257717842.96046,675767682423.6069
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Russian Federation,RUS,1976,0.0,-100.0,26257717842.96046,675767682423.6069
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,South Africa,ZAF,1976,4322000000.0,inf,26396517842.96046,680089682423.6069
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Brazil,BRA,1977,0.0854530036,-99.99999999802284,26396517842.965088,680089682423.6924
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,China,CHN,1977,40752708510.0,47690200218912.55,26972853948.965088,720842390933.6924
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,India,IND,1977,95803289454.07,135.0844715770525,28175599592.831093,816645680387.7625
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Russian Federation,RUS,1977,0.0,-100.0,28175599592.831093,816645680387.7625
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,South Africa,ZAF,1977,4613000000.0,inf,28233799592.831093,821258680387.7625
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Brazil,BRA,1978,0.1273339987,-99.99999999723967,28233799592.839466,821258680387.8898
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,China,CHN,1978,47451836130.0,37265645164941.055,29573625116.839466,868710516517.8898
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,India,IND,1978,106357361993.32,124.13750587425372,31684439624.689465,975067878511.2097
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,Russian Federation,RUS,1978,0.0,-100.0,31684439624.689465,975067878511.2097
