SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,1970,450.0,,,450.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,China,CHN,1970,120.0,-73.33333333333334,,570.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,1970,120.0,0.0,,690.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Russian Federation,RUS,1970,0.0,-100.0,,690.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,South Africa,ZAF,1970,800.0,inf,298.0,1490.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,1971,510.0,-36.25000000000001,310.0,2000.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,China,CHN,1971,130.0,-74.50980392156863,312.0,2130.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,1971,120.0,-7.692307692307687,312.0,2250.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Russian Federation,RUS,1971,0.0,-100.0,312.0,2250.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,South Africa,ZAF,1971,870.0,inf,326.0,3120.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,1972,590.0,-32.18390804597702,342.0,3710.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,China,CHN,1972,130.0,-77.96610169491525,342.0,3840.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,1972,120.0,-7.692307692307687,342.0,3960.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Russian Federation,RUS,1972,0.0,-100.0,342.0,3960.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,South Africa,ZAF,1972,920.0,inf,352.0,4880.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,1973,760.0,-17.391304347826086,386.0,5640.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,China,CHN,1973,160.0,-78.94736842105263,392.0,5800.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,1973,140.0,-12.5,396.0,5940.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Russian Federation,RUS,1973,0.0,-100.0,396.0,5940.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,South Africa,ZAF,1973,1110.0,inf,434.0,7050.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,1974,980.0,-11.711711711711715,478.0,8030.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,China,CHN,1974,180.0,-81.63265306122449,482.0,8210.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,1974,170.0,-5.555555555555558,488.0,8380.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Russian Federation,RUS,1974,0.0,-100.0,488.0,8380.0
