SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,Brazil,BRA,1970,182313510616.112,,,182313510616.112
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,China,CHN,1970,0.0,-100.0,,182313510616.112
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,India,IND,1970,1818757643246.79,inf,,2001071153862.902
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,Russian Federation,RUS,1970,0.0,-100.0,,2001071153862.902
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,South Africa,ZAF,1970,195685000000.0,inf,439351230772.58044,2196756153862.902
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,Brazil,BRA,1971,210295832802.35,7.4665062740373545,444947695209.828,2407051986665.252
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,China,CHN,1971,0.0,-100.0,444947695209.828,2407051986665.252
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,India,IND,1971,1970829947050.32,inf,475362155970.534,4377881933715.5723
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,Russian Federation,RUS,1971,0.0,-100.0,475362155970.534,4377881933715.5723
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,South Africa,ZAF,1971,215871000000.0,inf,479399355970.534,4593752933715.572
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,Brazil,BRA,1972,245446131259.355,13.70037256479797,486429415661.93506,4839199064974.928
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,China,CHN,1972,0.0,-100.0,486429415661.93506,4839199064974.928
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,India,IND,1972,1880546348418.08,inf,468372695935.487,6719745413393.008
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,Russian Federation,RUS,1972,0.0,-100.0,468372695935.487,6719745413393.008
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,South Africa,ZAF,1972,189545000000.0,inf,463107495935.487,6909290413393.008
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,Brazil,BRA,1973,296966922054.6,56.67357200379857,473411654094.536,7206257335447.607
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,China,CHN,1973,0.0,-100.0,473411654094.536,7206257335447.607
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,India,IND,1973,2246133763654.33,inf,546529137141.786,9452391099101.938
