SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1970,0.0133079998,,,0.0133079998
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1970,55032546060.0,413529808288595.6,,55032546060.013306
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1970,72735421073.26,32.168010169762425,,127767967133.2733
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Russian Federation,RUS,1970,0.0,-100.0,,127767967133.2733
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,South Africa,ZAF,1970,3325000000.0,inf,26218593426.65466,131092967133.2733
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1971,0.0186989997,-99.99999999943763,26218593426.65574,131092967133.29199
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1971,61044779800.0,326460135725769.9,27421040174.65574,192137746933.292
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1971,83127383469.59,36.17443414807764,29499432653.92174,275265130402.88196
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Russian Federation,RUS,1971,0.0,-100.0,29499432653.92174,275265130402.88196
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,South Africa,ZAF,1971,3895000000.0,inf,29613432653.92174,279160130402.88196
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1972,0.0256239995,-99.99999999934212,29613432653.92312,279160130402.9076
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1972,62858199860.0,245309869991116.6,29976116665.92312,342018330262.9076
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1972,94206741052.5,49.87184052728295,32191988182.50512,436225071315.4076
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Russian Federation,RUS,1972,0.0,-100.0,32191988182.50512,436225071315.4076
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,South Africa,ZAF,1972,4529000000.0,inf,32318788182.50512,440754071315.4076
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1973,0.0379099995,-99.99999999916295,32318788182.507576,440754071315.4455
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1973,66933391620.0,176558671861660.38,33133826534.507576,507687462935.4455
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1973,106961629564.05,59.8030922611867,35684804236.81758,614649092499.4955
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Russian Federation,RUS,1973,0.0,-100.0,35684804236.81758,614649092499.4955
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,South Africa,ZAF,1973,5331000000.0,inf,35845204236.81758,619980092499.4955
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1974,0.0591920018,-99.99999999888966,35845204236.82184,619980092499.5547
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1974,75097156030.0,126870444901798.9,37477957118.82184,695077248529.5547
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1974,131802422767.01,75.5092066527223,42446115759.41383,826879671296.5647
