SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Brazil,BRA,1970,0.0,,,0.0
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,China,CHN,1970,0.0,,,0.0
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,India,IND,1970,9.65691499288545,inf,,9.65691499288545
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Russian Federation,RUS,1970,0.0,-100.0,,9.65691499288545
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,South Africa,ZAF,1970,16.5779872301611,inf,5.24698044460931,26.23490222304655
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Brazil,BRA,1971,0.0,-100.0,5.24698044460931,26.23490222304655
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,China,CHN,1971,0.0,,5.24698044460931,26.23490222304655
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,India,IND,1971,10.1005327230575,inf,5.33570399064372,36.33543494610405
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Russian Federation,RUS,1971,0.0,-100.0,5.33570399064372,36.33543494610405
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,South Africa,ZAF,1971,16.7503266176167,inf,5.37017186813484,53.08576156372075
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Brazil,BRA,1972,0.0,-100.0,5.37017186813484,53.08576156372075
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,China,CHN,1972,0.0,,5.37017186813484,53.08576156372075
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,India,IND,1972,9.51251153641332,inf,5.252567630806004,62.59827310013407
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Russian Federation,RUS,1972,0.0,-100.0,5.252567630806004,62.59827310013407
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,South Africa,ZAF,1972,16.4636374710683,inf,5.195229801496324,79.06191057120238
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Brazil,BRA,1973,0.0,-100.0,5.195229801496324,79.06191057120238
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,China,CHN,1973,0.0,,5.195229801496324,79.06191057120238
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,India,IND,1973,9.03137020562906,inf,5.099001535339472,88.09328077683143
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Russian Federation,RUS,1973,0.0,-100.0,5.099001535339472,88.09328077683143
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,South Africa,ZAF,1973,16.9355632070831,inf,5.193386682542432,105.02884398391453
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Brazil,BRA,1974,0.0,-100.0,5.193386682542432,105.02884398391453
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,China,CHN,1974,0.0,,5.193386682542432,105.02884398391453
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,India,IND,1974,10.3860202055142,inf,5.46431668251946,115.41486418942873
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Russian Federation,RUS,1974,0.0,-100.0,5.46431668251946,115.41486418942873
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,South Africa,ZAF,1974,17.0011995201919,inf,5.47744394514122,132.41606370962063
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Brazil,BRA,1975,0.0,-100.0,5.47744394514122,132.41606370962063
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,China,CHN,1975,0.0,,5.47744394514122,132.41606370962063
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,India,IND,1975,10.2135458446367,inf,5.44294907296572,142.62960955425734
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Russian Federation,RUS,1975,0.0,-100.0,5.44294907296572,142.62960955425734
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,South Africa,ZAF,1975,19.6054778968282,inf,5.96380474829298,162.23508745108555
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Brazil,BRA,1976,0.0,-100.0,5.96380474829298,162.23508745108555
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,China,CHN,1976,0.0,,5.96380474829298,162.23508745108555
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,India,IND,1976,9.76703639626772,inf,5.874502858619183,172.00212384735326
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Russian Federation,RUS,1976,0.0,-100.0,5.874502858619183,172.00212384735326
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,South Africa,ZAF,1976,19.4351063495554,inf,5.840428549164624,191.43723019690867
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Brazil,BRA,1977,0.0,-100.0,5.840428549164624,191.43723019690867
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,China,CHN,1977,0.0,,5.840428549164624,191.43723019690867
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,India,IND,1977,10.3696192920359,inf,5.96094512831826,201.80684948894458
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Russian Federation,RUS,1977,0.0,-100.0,5.96094512831826,201.80684948894458
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,South Africa,ZAF,1977,18.9510311465671,inf,5.8641300877206,220.75788063551167
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Brazil,BRA,1978,0.0,-100.0,5.8641300877206,220.75788063551167
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,China,CHN,1978,0.0,,5.8641300877206,220.75788063551167
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,India,IND,1978,10.8701925609434,inf,5.9642447415021,231.62807319645506
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Russian Federation,RUS,1978,0.0,-100.0,5.9642447415021,231.62807319645506
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,South Africa,ZAF,1978,18.7387742046601,inf,5.9217933531207,250.36684740111517
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Brazil,BRA,1979,0.0,-100.0,5.9217933531207,250.36684740111517
