SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1970,439981690717.906,,,439981690717.906
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1970,0.0,-100.0,,439981690717.906
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1970,217557022939.531,inf,,657538713657.437
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1970,0.0,-100.0,,657538713657.437
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1970,106827016601.811,inf,152873146051.8496,764365730259.248
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1971,496064716423.437,364.3626043330198,164089751192.9558,1260430446682.685
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1971,0.0,-100.0,164089751192.9558,1260430446682.685
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1971,225651907869.494,inf,165708728178.94843,1486082354552.179
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1971,0.0,-100.0,165708728178.94843,1486082354552.179
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1971,113967921815.326,inf,167136909221.6514,1600050276367.505
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1972,556682660455.993,388.4555685397541,179260498028.1626,2156732936823.498
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1972,0.0,-100.0,179260498028.1626,2156732936823.498
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1972,225128086656.487,inf,179155733785.5612,2381861023479.985
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1972,0.0,-100.0,179155733785.5612,2381861023479.985
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1972,113018214963.426,inf,178965792415.1812,2494879238443.4106
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1973,627293373583.243,455.03741037340086,193087935040.6312,3122172612026.654
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1973,0.0,-100.0,193087935040.6312,3122172612026.654
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1973,236573653038.049,inf,195377048316.9436,3358746265064.7026
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1973,0.0,-100.0,195377048316.9436,3358746265064.7026
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1973,122574707587.572,inf,197288346841.7728,3481320972652.2744
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1974,691332447393.857,464.00905292794033,210096161603.8956,4172653420046.1313
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1974,0.0,-100.0,210096161603.8956,4172653420046.1313
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1974,233315185012.071,inf,209444467998.7,4405968605058.202
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1974,0.0,-100.0,209444467998.7,4405968605058.202
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1974,132844334374.253,inf,211498393356.0362,4538812939432.455
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1975,706729637181.923,431.99832759965756,214577831313.64938,5245542576614.378
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1975,0.0,-100.0,214577831313.64938,5245542576614.378
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1975,240579360969.372,inf,216030666505.10956,5486121937583.75
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1975,0.0,-100.0,216030666505.10956,5486121937583.75
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1975,138958359256.478,inf,217253471481.5546,5625080296840.228
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1976,795596104574.437,472.54281702188973,235026764960.05743,6420676401414.664
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1976,0.0,-100.0,235026764960.05743,6420676401414.664
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1976,252920514348.191,inf,237494995635.8212,6673596915762.855
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1976,0.0,-100.0,237494995635.8212,6673596915762.855
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1976,137699413554.842,inf,237243206495.494,6811296329317.697
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1977,834712693022.942,506.18463904386795,245066524185.195,7646009022340.64
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1977,0.0,-100.0,245066524185.195,7646009022340.64
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1977,276300121358.004,inf,249742445587.15762,7922309143698.644
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1977,0.0,-100.0,249742445587.15762,7922309143698.644
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1977,136350727945.83,inf,249472708465.35522,8058659871644.474
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1978,861629756676.948,531.9216403591626,254856121196.15643,8920289628321.422
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1978,0.0,-100.0,254856121196.15643,8920289628321.422
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1978,300404219091.339,inf,259676940742.82343,9220693847412.762
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1978,0.0,-100.0,259676940742.82343,9220693847412.762
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1978,137053481776.363,inf,259817491508.93,9357747329189.125
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1979,933589652168.724,581.1863807240657,274209470607.28525,10291336981357.85
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1979,0.0,-100.0,274209470607.28525,10291336981357.85
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1979,289947054758.516,inf,272118037740.7206,10581284036116.365
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1979,0.0,-100.0,272118037740.7206,10581284036116.365
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1979,143198648576.115,inf,273347071100.671,10724482684692.48
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1980,1004251433355.96,601.2995187745546,287479427338.1182,11728734118048.441
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1980,0.0,-100.0,287479427338.1182,11728734118048.441
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1980,314566162734.461,inf,292403248933.30725,12043300280782.902
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1980,0.0,-100.0,292403248933.30725,12043300280782.902
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1980,163065744487.742,inf,296376668115.6326,12206366025270.645
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1981,953117020133.756,484.4986162654191,286149785471.1918,13159483045404.4
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1981,0.0,-100.0,286149785471.1918,13159483045404.4
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1981,322197072701.79,inf,287675967464.6576,13481680118106.19
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1981,0.0,-100.0,287675967464.6576,13481680118106.19
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1981,174354876438.002,inf,289933793854.7096,13656034994544.191
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1982,967708703367.455,455.02244797354876,292852130501.4494,14623743697911.646
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1982,0.0,-100.0,292852130501.4494,14623743697911.646
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1982,329239867361.058,inf,294260689433.30304,14952983565272.705
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1982,0.0,-100.0,294260689433.30304,14952983565272.705
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1982,168991140478.804,inf,293187942241.46344,15121974705751.51
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1983,950503992008.661,462.4578834816963,289746999969.7046,16072478697760.17
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1983,0.0,-100.0,289746999969.7046,16072478697760.17
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1983,353095660613.972,inf,294518158620.2874,16425574358374.143
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1983,0.0,-100.0,294518158620.2874,16425574358374.143
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1983,173888151586.229,inf,295497560841.7724,16599462509960.371
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1984,996245244942.047,472.92301738455205,304645811428.4496,17595707754902.418
