SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Brazil,BRA,1970,774015790310.941,,,774015790310.941
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,China,CHN,1970,0.0,-100.0,,774015790310.941
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,India,IND,1970,10810680083064.8,inf,,11584695873375.742
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Russian Federation,RUS,1970,0.0,-100.0,,11584695873375.742
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,South Africa,ZAF,1970,782102000000.0,inf,2473359574675.1484,12366797873375.742
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Brazil,BRA,1971,872677049132.11,11.580976539135568,2493091826439.382,13239474922507.852
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,China,CHN,1971,0.0,-100.0,2493091826439.382,13239474922507.852
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,India,IND,1971,11212276415861.1,inf,2573411092998.6416,24451751338368.953
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Russian Federation,RUS,1971,0.0,-100.0,2573411092998.6416,24451751338368.953
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,South Africa,ZAF,1971,834382000000.0,inf,2583867092998.6416,25286133338368.953
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Brazil,BRA,1972,979316136274.183,17.37023764584842,2605194910427.0566,26265449474643.137
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,China,CHN,1972,0.0,-100.0,2605194910427.0566,26265449474643.137
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,India,IND,1972,11186907255082.8,inf,2600121078271.397,37452356729725.94
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Russian Federation,RUS,1972,0.0,-100.0,2600121078271.397,37452356729725.94
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,South Africa,ZAF,1972,827429000000.0,inf,2598730478271.397,38279785729725.94
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Brazil,BRA,1973,1103534502807.64,33.369086992073015,2623574151578.0884,39383320232533.58
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,China,CHN,1973,0.0,-100.0,2623574151578.0884,39383320232533.58
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,India,IND,1973,11753577551130.1,inf,2736908210787.548,51136897783663.68
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Russian Federation,RUS,1973,0.0,-100.0,2736908210787.548,51136897783663.68
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,South Africa,ZAF,1973,897394000000.0,inf,2750901210787.548,52034291783663.68
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Brazil,BRA,1974,1216192041455.27,35.52486883746382,2773432718517.0737,53250483825118.95
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,China,CHN,1974,0.0,-100.0,2773432718517.0737,53250483825118.95
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,India,IND,1974,11592339315451.8,inf,2741185071381.414,64842823140570.75
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Russian Federation,RUS,1974,0.0,-100.0,2741185071381.414,64842823140570.75
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,South Africa,ZAF,1974,972580000000.0,inf,2756222271381.414,65815403140570.75
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Brazil,BRA,1975,1243278777730.44,27.83306028608854,2761639618636.448,67058681918301.19
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,China,CHN,1975,0.0,-100.0,2761639618636.448,67058681918301.19
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,India,IND,1975,11955420384844.7,inf,2834255832515.028,79014102303145.89
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Russian Federation,RUS,1975,0.0,-100.0,2834255832515.028,79014102303145.89
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,South Africa,ZAF,1975,1017342000000.0,inf,2843208232515.028,80031444303145.89
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Brazil,BRA,1976,1399612667167.35,37.575433548143124,2874475010402.4097,81431056970313.23
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,China,CHN,1976,0.0,-100.0,2874475010402.4097,81431056970313.23
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,India,IND,1976,12566768935375.1,inf,2996744720508.4897,93997825905688.33
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Russian Federation,RUS,1976,0.0,-100.0,2996744720508.4897,93997825905688.33
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,South Africa,ZAF,1976,1008125000000.0,inf,2994901320508.4897,95005950905688.33
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Brazil,BRA,1977,1468426569565.96,45.6591761503742,3008664100988.212,96474377475254.28
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,China,CHN,1977,0.0,-100.0,3008664100988.212,96474377475254.28
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,India,IND,1977,13727136511572.7,inf,3240737616227.7314,110201513986826.98
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Russian Federation,RUS,1977,0.0,-100.0,3240737616227.7314,110201513986826.98
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,South Africa,ZAF,1977,998251000000.0,inf,3238762816227.7314,111199764986826.98
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Brazil,BRA,1978,1515779067946.09,51.84348104295313,3248233315903.758,112715544054773.08
