SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,Brazil,BRA,1970,0.0709569985,,,0.0709569985
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,China,CHN,1970,220602123070.0,310895510990264.2,,220602123070.07095
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,India,IND,1970,492911584880.178,123.43918454663765,,713513707950.2489
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,Russian Federation,RUS,1970,0.0,-100.0,,713513707950.2489
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,South Africa,ZAF,1970,13059000000.0,inf,145314541590.04977,726572707950.2489
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,Brazil,BRA,1971,0.0962000033,-99.99999999926334,145314541590.05484,726572707950.3451
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,China,CHN,1971,237945046920.0,247344115132586.28,148783126360.05484,964517754870.3451
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,India,IND,1971,539079332120.23,126.55623182670199,158016675808.06525,1503597086990.5752
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,Russian Federation,RUS,1971,0.0,-100.0,158016675808.06525,1503597086990.5752
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,South Africa,ZAF,1971,15046000000.0,inf,158414075808.06525,1518643086990.5752
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,Brazil,BRA,1972,0.1282549994,-99.99999999914758,158414075808.07166,1518643086990.7034
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,China,CHN,1972,243832179710.0,190115146271539.2,159591502366.07166,1762475266700.7034
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,India,IND,1972,584181361658.651,139.5833734306287,168611908273.75586,2346656628359.3545
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,Russian Federation,RUS,1972,0.0,-100.0,168611908273.75586,2346656628359.3545
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,South Africa,ZAF,1972,16018000000.0,inf,168806308273.75586,2362674628359.3545
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,Brazil,BRA,1973,0.178689003,-99.99999999888445,168806308273.76593,2362674628359.533
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,China,CHN,1973,265722474610.0,148706674808533.84,173184367253.76593,2628397102969.533
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,India,IND,1973,719286596120.215,170.69091433681308,200205414146.07874,3347683699089.748
