SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1970,0.0,,,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1970,0.0,,,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1970,203968860382.873,inf,,203968860382.873
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1970,0.0,-100.0,,203968860382.873
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1970,126639955845.28,inf,66121763245.63059,330608816228.15295
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1971,0.0,-100.0,66121763245.63059,330608816228.15295
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1971,0.0,,66121763245.63059,330608816228.15295
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1971,206028263314.879,inf,66533643832.0318,536637079543.032
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1971,0.0,-100.0,66533643832.0318,536637079543.032
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1971,132166753353.164,inf,67639003333.6086,668803832896.196
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1972,0.0,-100.0,67639003333.6086,668803832896.196
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1972,0.0,,67639003333.6086,668803832896.196
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1972,205371870923.625,inf,67507724855.3578,874175703819.821
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1972,0.0,-100.0,67507724855.3578,874175703819.821
