SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,Brazil,BRA,1970,0.0,,,0.0
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,China,CHN,1970,0.0,,,0.0
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,India,IND,1970,10107772414616.9,inf,,10107772414616.9
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,Russian Federation,RUS,1970,0.0,-100.0,,10107772414616.9
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,South Africa,ZAF,1970,927156352682.556,inf,2206985753459.8916,11034928767299.457
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,Brazil,BRA,1971,0.0,-100.0,2206985753459.8916,11034928767299.457
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,China,CHN,1971,0.0,,2206985753459.8916,11034928767299.457
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,India,IND,1971,10209827091530.0,inf,2227396688842.511,21244755858829.457
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,Russian Federation,RUS,1971,0.0,-100.0,2227396688842.511,21244755858829.457
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,South Africa,ZAF,1971,967619138579.963,inf,2235489246021.9927,22212374997409.42
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,Brazil,BRA,1972,0.0,-100.0,2235489246021.9927,22212374997409.42
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,China,CHN,1972,0.0,,2235489246021.9927,22212374997409.42
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,India,IND,1972,10177299259129.4,inf,2228983679541.8726,32389674256538.82
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,Russian Federation,RUS,1972,0.0,-100.0,2228983679541.8726,32389674256538.82
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,South Africa,ZAF,1972,986335651860.931,inf,2232726982198.0664,33376009908399.75
