SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Brazil,BRA,1970,241851532082.807,,,241851532082.807
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,China,CHN,1970,0.0,-100.0,,241851532082.807
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,India,IND,1970,161338786541.67,inf,,403190318624.47705
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Russian Federation,RUS,1970,0.0,-100.0,,403190318624.47705
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,South Africa,ZAF,1970,61159919138.939,inf,92870047552.6832,464350237763.4161
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Brazil,BRA,1971,273242168226.257,346.76672577922113,99148174781.3732,737592405989.6731
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,China,CHN,1971,0.0,-100.0,99148174781.3732,737592405989.6731
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,India,IND,1971,164478054869.015,inf,99776028446.8422,902070460858.6881
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Russian Federation,RUS,1971,0.0,-100.0,99776028446.8422,902070460858.6881
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,South Africa,ZAF,1971,64038272414.3583,inf,100351699101.92606,966108733273.0464
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Brazil,BRA,1972,304753933888.128,375.8934343453616,106654052234.30026,1270862667161.1743
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,China,CHN,1972,0.0,-100.0,106654052234.30026,1270862667161.1743
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,India,IND,1972,165579867121.504,inf,106874414684.79805,1436442534282.6782
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Russian Federation,RUS,1972,0.0,-100.0,106874414684.79805,1436442534282.6782
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,South Africa,ZAF,1972,66776894498.1697,inf,107422139101.56033,1503219428780.848
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Brazil,BRA,1973,332641384117.426,398.13844536682285,112999629147.41995,1835860812898.274
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,China,CHN,1973,0.0,-100.0,112999629147.41995,1835860812898.274
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,India,IND,1973,169643223193.341,inf,113812300361.78735,2005504036091.615
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Russian Federation,RUS,1973,0.0,-100.0,113812300361.78735,2005504036091.615
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,South Africa,ZAF,1973,71839179369.5023,inf,114824757336.05386,2077343215461.1172
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Brazil,BRA,1974,372578374837.21,418.6283837136644,122812155480.01067,2449921590298.327
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,China,CHN,1974,0.0,-100.0,122812155480.01067,2449921590298.327
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,India,IND,1974,169515309365.837,inf,122786572714.50986,2619436899664.164
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Russian Federation,RUS,1974,0.0,-100.0,122786572714.50986,2619436899664.164
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,South Africa,ZAF,1974,75607277495.4925,inf,123540192339.70792,2695044177159.6567
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Brazil,BRA,1975,352916003987.044,366.7751778366625,119607718169.67471,3047960181146.7007
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,China,CHN,1975,0.0,-100.0,119607718169.67471,3047960181146.7007
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,India,IND,1975,179141920720.494,inf,121533040440.60608,3227102101867.195
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Russian Federation,RUS,1975,0.0,-100.0,121533040440.60608,3227102101867.195
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,South Africa,ZAF,1975,78352046112.6591,inf,122081994164.03943,3305454147979.854
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Brazil,BRA,1976,414639379959.789,429.2004491670792,134426669358.58841,3720093527939.643
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,China,CHN,1976,0.0,-100.0,134426669358.58841,3720093527939.643
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,India,IND,1976,182713944239.956,inf,135141074062.4808,3902807472179.599
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Russian Federation,RUS,1976,0.0,-100.0,135141074062.4808,3902807472179.599
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,South Africa,ZAF,1976,79587635906.682,inf,135388192021.2854,3982395108086.2812
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Brazil,BRA,1977,462292497079.527,480.8596923541913,144918815445.23297,4444687605165.809
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,China,CHN,1977,0.0,-100.0,144918815445.23297,4444687605165.809
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,India,IND,1977,197612916503.358,inf,147898609897.9134,4642300521669.167
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Russian Federation,RUS,1977,0.0,-100.0,147898609897.9134,4642300521669.167
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,South Africa,ZAF,1977,78896082609.4083,inf,147760299238.45865,4721196604278.575
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,Brazil,BRA,1978,471069955330.089,497.0764830773921,149515790888.57104,5192266559608.664
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,China,CHN,1978,0.0,-100.0,149515790888.57104,5192266559608.664
