SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Brazil,BRA,1970,23.9316559690622,,,23.9316559690622
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,China,CHN,1970,0.0,-100.0,,23.9316559690622
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,India,IND,1970,17.9149598229007,inf,,41.8466157919629
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Russian Federation,RUS,1970,0.0,-100.0,,41.8466157919629
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,South Africa,ZAF,1970,15.0578697802478,inf,11.380897114442138,56.904485572210696
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Brazil,BRA,1971,24.497057833621,62.68607838377696,11.493977487353899,81.40154340583169
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,China,CHN,1971,0.0,-100.0,11.493977487353899,81.40154340583169
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,India,IND,1971,18.0284834952635,inf,11.51668222182646,99.43002690109519
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Russian Federation,RUS,1971,0.0,-100.0,11.51668222182646,99.43002690109519
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,South Africa,ZAF,1971,10.0871653749174,inf,10.52254134076038,109.5171922760126
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Brazil,BRA,1972,20.027020632087,98.53962820799886,9.628533900453581,129.5442129080996
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,China,CHN,1972,0.0,-100.0,9.628533900453581,129.5442129080996
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,India,IND,1972,-1.88841370625121,-inf,5.645154460150638,127.6557992018484
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Russian Federation,RUS,1972,0.0,-100.0,5.645154460150638,127.6557992018484
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,South Africa,ZAF,1972,-12.5538389701561,-inf,1.1169535911359383,115.10196023169229
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Brazil,BRA,1973,20.4017139979047,-262.5137461648595,1.191892264299478,135.50367422959698
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,China,CHN,1973,0.0,-100.0,1.191892264299478,135.50367422959698
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,India,IND,1973,8.07509592954349,inf,3.184594191458418,143.57877015914048
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Russian Federation,RUS,1973,0.0,-100.0,3.184594191458418,143.57877015914048
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,South Africa,ZAF,1973,11.2364722724741,inf,7.942656439984458,154.81524243161456
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Brazil,BRA,1974,28.4885883112389,153.53676510222144,9.560031302651298,183.30383074285345
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,China,CHN,1974,0.0,-100.0,9.560031302651298,183.30383074285345
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,India,IND,1974,-12.7580859102844,-inf,5.393394934685721,170.54574483256906
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Russian Federation,RUS,1974,0.0,-100.0,5.39339493468572,170.54574483256906
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,South Africa,ZAF,1974,19.0106311219993,inf,6.948226704590761,189.55637595456835
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Brazil,BRA,1975,-4.52475559331985,-123.80118558022914,0.3455579236790099,185.0316203612485
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,China,CHN,1975,0.0,-100.0,0.3455579236790099,185.0316203612485
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,India,IND,1975,1.27946127946177,inf,3.1530673616282443,186.31108164071028
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Russian Federation,RUS,1975,0.0,-100.0,3.1530673616282443,186.31108164071028
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,South Africa,ZAF,1975,-3.28768933335188,-inf,-1.3065967294419918,183.0233923073584
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Brazil,BRA,1976,-1.24281096525999,-62.198041261005834,-0.6502078038300197,181.7805813420984
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,China,CHN,1976,0.0,-100.0,-0.6502078038300197,181.7805813420984
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,India,IND,1976,1.89621944136422,inf,-0.5268561714495298,183.67680078346262
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Russian Federation,RUS,1976,0.0,-100.0,-0.5268561714495299,183.67680078346262
