SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1970,34079090958.8888,,,34079090958.8888
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1970,0.0,-100.0,,34079090958.8888
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1970,479166324285.21,inf,,513245415244.0988
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1970,0.0,-100.0,,513245415244.0988
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1970,225663000000.0,inf,147781683048.81976,738908415244.0989
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1971,42427465580.2601,-81.19874964869736,149451357973.09402,781335880824.359
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1971,0.0,-100.0,149451357973.09402,781335880824.359
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1971,565552745973.83,inf,166728642310.81802,1346888626798.189
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1971,0.0,-100.0,166728642310.818,1346888626798.189
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1971,248426000000.0,inf,171281242310.818,1595314626798.189
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1972,50924422865.6904,-79.50117022143802,172980633767.90405,1646239049663.8794
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1972,0.0,-100.0,172980633767.90405,1646239049663.8794
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1972,554872770402.78,inf,170844638653.69406,2201111820066.659
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1972,0.0,-100.0,170844638653.69406,2201111820066.659
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1972,217239000000.0,inf,164607238653.69406,2418350820066.659
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1973,61313877973.8321,-71.7758422871436,166685129675.32242,2479664698040.491
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1973,0.0,-100.0,166685129675.32242,2479664698040.491
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1973,599679278899.72,inf,175646431374.7104,3079343976940.211
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1973,0.0,-100.0,175646431374.7104,3079343976940.211
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1973,241649000000.0,inf,180528431374.7104,3320992976940.211
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1974,78781336247.4525,-67.3984430941355,184021923029.43448,3399774313187.6636
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1974,0.0,-100.0,184021923029.43448,3399774313187.6636
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1974,523171681311.52,inf,168720403511.7945,3922945994499.1836
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1974,0.0,-100.0,168720403511.7945,3922945994499.1836
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1974,287588000000.0,inf,177908203511.7945,4210533994499.1836
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1975,75216673329.1038,-73.84568433693207,177195270928.12473,4285750667828.2876
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1975,0.0,-100.0,177195270928.12473,4285750667828.2876
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1975,529865460399.01,inf,178534026745.62274,4815616128227.298
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1975,0.0,-100.0,178534026745.62274,4815616128227.298
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1975,278133000000.0,inf,176643026745.62274,5093749128227.298
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1976,74281872265.2659,-73.2926793062075,176456066532.85516,5168031000492.563
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1976,0.0,-100.0,176456066532.85516,5168031000492.563
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1976,539912872272.17,inf,178465548907.48715,5707943872764.733
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1976,0.0,-100.0,178465548907.48715,5707943872764.733
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1976,250313000000.0,inf,172901548907.48715,5958256872764.733
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1977,68656617394.1119,-72.57169328236573,171776497933.25635,6026913490158.846
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1977,0.0,-100.0,171776497933.25635,6026913490158.846
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1977,687825316160.07,inf,201358986710.83633,6714738806318.916
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1977,0.0,-100.0,201358986710.83633,6714738806318.916
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1977,216078000000.0,inf,194511986710.83633,6930816806318.916
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1978,71802278418.5515,-66.77020408438088,195141118915.72424,7002619084737.468
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1978,0.0,-100.0,195141118915.72424,7002619084737.468
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1978,688163339790.43,inf,195208723641.79626,7690782424527.897
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1978,0.0,-100.0,195208723641.79626,7690782424527.897
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1978,216273000000.0,inf,195247723641.79626,7907055424527.897
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1979,77695649019.5675,-64.07519707981695,196426397761.99945,7984751073547.465
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1979,0.0,-100.0,196426397761.99945,7984751073547.465
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1979,821122260695.71,inf,223018181943.05548,8805873334243.176
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1979,0.0,-100.0,223018181943.05548,8805873334243.176
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1979,214198000000.0,inf,222603181943.05548,9020071334243.176
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1980,78221439962.8345,-63.4817131986132,222708340131.70883,9098292774206.01
