SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,Brazil,BRA,1970,0.0707181588216573,,,0.0707181588216573
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,China,CHN,1970,0.0094848258340164,-86.58784958197796,,0.0802029846556737
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,India,IND,1970,0.021199641046799,123.51112627464977,,0.1014026257024727
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,Russian Federation,RUS,1970,0.0,-100.0,,0.1014026257024727
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,South Africa,ZAF,1970,0.0,,0.02028052514049454,0.1014026257024727
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,Brazil,BRA,1971,0.0903702513605808,inf,0.02421094364827924,0.19177287706305352
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,China,CHN,1971,0.0789066810337348,-12.685115017668714,0.03809531468822292,0.27067955809678834
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,India,IND,1971,0.0656397477112708,-16.813447414917892,0.04698333602111728,0.33631930580805913
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,Russian Federation,RUS,1971,0.0,-100.0,0.04698333602111728,0.33631930580805913
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,South Africa,ZAF,1971,0.599435854173824,inf,0.16687050685588206,0.9357551599818831
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,Brazil,BRA,1972,0.081037730678744,-86.4810004082197,0.1650040027195147,1.0167928906606272
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,China,CHN,1972,0.140305368104929,73.13585527356182,0.17728374013375353,1.157098258765556
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,India,IND,1972,0.065702086711953,-53.17207915892646,0.17729620793388998,1.2228003454775092
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,Russian Federation,RUS,1972,0.0,-100.0,0.17729620793388998,1.2228003454775092
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,South Africa,ZAF,1972,0.624857521054692,inf,0.1823805413100636,1.847657866532201
