SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1970,8.89218858825565,,,8.89218858825565
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1970,34.599999982679,289.10555752693915,,43.49218857093465
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1970,0.348007684289243,-98.99419744374724,,43.840196255223894
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1970,0.0,-100.0,,43.840196255223894
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1970,5.26643624238545,inf,9.82132649952187,49.10663249760935
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1971,11.8428764496821,124.87458130353875,10.41146407180716,60.94950894729145
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1971,12.3999999987066,4.7042925035281735,5.971464075012679,73.34950894599805
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1971,2.50995125121638,-79.75845764936949,6.4038527883981065,75.85946019721443
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1971,0.0,-100.0,6.4038527883981065,75.85946019721443
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1971,0.972619348111209,inf,5.545089409543258,76.83207954532564
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1972,14.3412178625714,1374.4944042519323,6.044757692121118,91.17329740789704
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1972,6.70000001613769,-53.28151290676808,4.904757695607335,97.87329742403473
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1972,3.74233348675774,-44.14427645158333,5.151234142715607,101.61563091079248
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1972,0.0,-100.0,5.151234142715607,101.61563091079248
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1972,-0.452836374440352,-inf,4.866142998205295,101.16279453635212
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1973,17.1315304578084,-3883.161297274492,5.424205517252695,118.29432499416052
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1973,8.30000000269575,-51.55132214756281,5.744205514564308,126.59432499685627
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1973,0.592743157497509,-92.85851617704827,5.114287448712261,127.18706815435378
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1973,0.0,-100.0,5.114287448712261,127.18706815435378
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1973,3.15525137652442,inf,5.835904998905216,130.3423195308782
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1974,8.34829756324136,164.58423012993651,4.079258419991808,138.69061709411955
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1974,1.4000000022404,-83.23011378505743,2.6992584199007377,140.09061709635995
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1974,1.56494045372246,11.781460801293452,2.893697879145728,141.65555755008242
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1974,0.0,-100.0,2.893697879145728,141.65555755008242
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1974,-0.469316816786943,-inf,2.1687842404834554,141.18624073329548
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1975,4.78002937434938,-1118.508010659968,1.4551306027050592,145.96627010764485
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1975,15.6999999837727,228.44986409544111,4.315130599011519,161.66627009141754
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1975,7.41877908315595,-52.74662999475226,5.485898324898217,169.0850491745735
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1975,0.0,-100.0,5.485898324898217,169.0850491745735
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1975,-0.36968576709782,-inf,5.505824534836043,168.71536340747568
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1976,11.7127517583408,-3268.299350632444,6.892369011634327,180.42811516581648
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1976,-2.39999999592607,-120.4904880206054,3.272369015694572,178.0281151698904
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1976,8.40816139946033,-450.34005890553914,3.470245478955448,186.43627656935075
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1976,0.0,-100.0,3.470245478955448,186.43627656935075
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1976,4.21202596597689,inf,4.38658782557039,190.64830253532764
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1977,3.10684290560768,-26.23875230818732,2.665406055023766,193.75514544093534
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1977,13.2000000071307,324.8686016053606,5.78540605563512,206.95514544806605
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1977,6.8226657689023,-48.313138142297994,5.468306929523514,213.77781121696836
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1977,0.0,-100.0,5.468306929523514,213.77781121696836
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1977,-0.583328506053363,-inf,4.509236035117463,213.194482710915
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1978,11.2295885513346,-2025.088253840164,6.133785164262848,224.42407126224958
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1978,15.2958083194511,36.20987313585271,6.552946826726926,239.7198795817007
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1978,6.61887708195101,-56.727510284408865,6.51218908933667,246.3387566636517
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1978,0.0,-100.0,6.51218908933667,246.3387566636517
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1978,2.85334716209363,inf,7.199524222966067,249.19210382574533
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1979,6.79717894954135,138.21773388955418,6.313042302607418,255.98928277528668
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1979,8.20000000000012,20.638283335962893,4.8938806387172225,264.1892827752868
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1979,-2.95924101773466,-136.0883050943246,2.9782570187800883,261.23004175755216
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1979,0.0,-100.0,2.978257018780088,261.23004175755216
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1979,5.00207719616286,inf,3.408003025593934,266.23211895371503
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1980,9.26282550193633,85.17957917646552,3.90113233607293,275.49494445565136
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1980,13.4935304990756,45.67402242711871,4.959838435888026,288.98847495472694
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1980,5.65054827313394,-58.12401896211639,6.681796294061746,294.6390232278609
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1980,0.0,-100.0,6.681796294061746,294.6390232278609
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1980,4.04676566273852,inf,6.490733987376878,298.6857888905994
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1981,-8.84787348659482,-318.64061880487793,2.868594189670648,289.83791540400455
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1981,1.87296416938113,-121.1685233996486,0.544480923731754,291.7108795733857
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1981,8.29463316259364,342.8612836376029,1.0732979016236939,300.0055127359793
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1981,0.0,-100.0,1.0732979016236939,300.0055127359793
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1981,3.81228275467502,inf,1.026401320010994,303.81779549065436
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1982,0.0230118632917851,-99.39637574721955,2.8005783899883148,303.84080735394616
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1982,5.59552358113508,24215.821409962053,3.5450902723391047,309.43633093508123
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1982,1.9591451783318,-64.98727688438447,2.277992675486737,311.39547611341305
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1982,0.0,-100.0,2.277992675486737,311.39547611341305
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1982,-1.24457423906146,-inf,1.2666212767394411,310.1509018743516
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1983,-5.84486307435739,369.6275152509208,0.09304628920960614,304.3060387999942
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1983,10.3709311127933,-277.4366821062532,1.0481277955412502,314.6769699127875
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1983,7.54880468354648,-27.211890606095345,2.1660596965841865,322.225774596334
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1983,0.0,-100.0,2.1660596965841865,322.225774596334
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1983,-3.23789645475219,-inf,1.7673952534460404,318.9878781415818
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1984,6.60104198958389,-303.8682237628595,4.256576266234296,325.5889201311657
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1984,14.4718792866941,119.2362858701701,5.076765901014457,340.0607994178598
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1984,3.92349131613526,-72.8888609529611,4.351703227532213,343.98429073399507
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1984,0.0,-100.0,4.351703227532212,343.98429073399507
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1984,4.00469049199643,inf,5.800220616881937,347.9889812259915
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1985,8.26919591950588,106.4877656845709,6.133851402866334,356.25817714549737
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1985,18.3942480527267,122.44300693538092,6.918325156072854,374.6524251982241
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1985,4.46544087866995,-75.72371066286665,7.026715068579793,379.117866076894
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1985,0.0,-100.0,7.026715068579793,379.117866076894
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1985,-2.14286551931534,-inf,5.797203866317438,376.97500055757865
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1986,11.7627975278645,-648.928405531617,6.4959241879891625,388.73779808544316
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1986,10.2226720647771,-13.093190284360901,4.861608990399243,398.96047015022026
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1986,6.12662138817828,-40.06829770772005,5.193845092300909,405.08709153839857
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1986,0.0,-100.0,5.193845092300909,405.08709153839857
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1986,-1.90046565774142,-inf,5.242325064615693,403.1866258806572
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1987,1.05209658787172,-155.35993684421894,3.1001848766171367,404.2387224685289
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,China,CHN,1987,13.5904499540858,1191.7492662511,3.773740454478877,417.8291724226147
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,India,IND,1987,5.46897321210747,-59.758703864964446,3.642210819264715,423.2981456347222
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Russian Federation,RUS,1987,0.0,-100.0,3.642210819264715,423.2981456347222
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,South Africa,ZAF,1987,-1.22456672466365,-inf,3.7773906058802686,422.07357891005853
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Brazil,BRA,1988,-2.5853631528044,111.12472687141795,3.0498986577450444,419.4882157572541
