SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,Brazil,BRA,1970,0.0,,,0.0
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,China,CHN,1970,0.0,,,0.0
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,India,IND,1970,0.0,,,0.0
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,Russian Federation,RUS,1970,0.0,,,0.0
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,South Africa,ZAF,1970,11.1904761904762,inf,2.23809523809524,11.1904761904762
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,Brazil,BRA,1971,0.0,-100.0,2.23809523809524,11.1904761904762
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,China,CHN,1971,0.0,,2.23809523809524,11.1904761904762
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,India,IND,1971,0.0,,2.23809523809524,11.1904761904762
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,Russian Federation,RUS,1971,0.0,,2.23809523809524,11.1904761904762
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,South Africa,ZAF,1971,10.1413265123737,inf,2.02826530247474,21.3318027028499
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,Brazil,BRA,1972,0.0,-100.0,2.02826530247474,21.3318027028499
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,China,CHN,1972,0.0,,2.02826530247474,21.3318027028499
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,India,IND,1972,0.0,,2.02826530247474,21.3318027028499
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,Russian Federation,RUS,1972,0.0,,2.02826530247474,21.3318027028499
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,South Africa,ZAF,1972,10.6582840079556,inf,2.13165680159112,31.9900867108055
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,Brazil,BRA,1973,0.0,-100.0,2.13165680159112,31.9900867108055
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,China,CHN,1973,0.0,,2.13165680159112,31.9900867108055
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,India,IND,1973,0.0,,2.13165680159112,31.9900867108055
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,Russian Federation,RUS,1973,0.0,,2.13165680159112,31.9900867108055
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,South Africa,ZAF,1973,9.03374313506269,inf,1.806748627012538,41.02382984586819
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,Brazil,BRA,1974,0.0,-100.0,1.806748627012538,41.02382984586819
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,China,CHN,1974,0.0,,1.806748627012538,41.02382984586819
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,India,IND,1974,0.0,,1.806748627012538,41.02382984586819
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,Russian Federation,RUS,1974,0.0,,1.806748627012538,41.02382984586819
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,South Africa,ZAF,1974,8.36195337598611,inf,1.672390675197222,49.385783221854304
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,Brazil,BRA,1975,5.09433962264151,-39.07715824783891,2.691258599725524,54.48012284449581
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,China,CHN,1975,0.0,-100.0,2.691258599725524,54.48012284449581
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,India,IND,1975,2.47435895000041,inf,3.186130389725606,56.95448179449622
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,Russian Federation,RUS,1975,0.0,-100.0,3.186130389725606,56.95448179449622
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,South Africa,ZAF,1975,11.621585794068,inf,3.8380568733419835,68.57606758856421
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,Brazil,BRA,1976,6.09037328094303,-47.594300908127906,4.037263605002288,74.66644086950724
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,China,CHN,1976,0.0,-100.0,4.037263605002288,74.66644086950724
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,India,IND,1976,2.28175920021598,inf,3.998743655045402,76.94820006972321
