SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Brazil,BRA,1970,0.0,,,0.0
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,China,CHN,1970,0.0,,,0.0
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,India,IND,1970,0.0,,,0.0
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Russian Federation,RUS,1970,0.0,,,0.0
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,South Africa,ZAF,1970,10.7876712328767,inf,2.15753424657534,10.7876712328767
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Brazil,BRA,1971,0.0,-100.0,2.15753424657534,10.7876712328767
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,China,CHN,1971,0.0,,2.15753424657534,10.7876712328767
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,India,IND,1971,0.0,,2.15753424657534,10.7876712328767
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Russian Federation,RUS,1971,0.0,,2.15753424657534,10.7876712328767
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,South Africa,ZAF,1971,10.7690325174565,inf,2.1538065034913,21.5567037503332
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Brazil,BRA,1972,0.0,-100.0,2.1538065034913,21.5567037503332
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,China,CHN,1972,0.0,,2.1538065034913,21.5567037503332
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,India,IND,1972,0.0,,2.1538065034913,21.5567037503332
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Russian Federation,RUS,1972,0.0,,2.1538065034913,21.5567037503332
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,South Africa,ZAF,1972,11.0676094680033,inf,2.2135218936006598,32.624313218336496
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Brazil,BRA,1973,0.0,-100.0,2.2135218936006598,32.624313218336496
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,China,CHN,1973,0.0,,2.2135218936006598,32.624313218336496
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,India,IND,1973,0.0,,2.2135218936006598,32.624313218336496
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Russian Federation,RUS,1973,0.0,,2.2135218936006598,32.624313218336496
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,South Africa,ZAF,1973,11.4841042914046,inf,2.29682085828092,44.108417509741095
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Brazil,BRA,1974,0.0,-100.0,2.29682085828092,44.108417509741095
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,China,CHN,1974,0.0,,2.29682085828092,44.108417509741095
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,India,IND,1974,0.0,,2.29682085828092,44.108417509741095
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Russian Federation,RUS,1974,0.0,,2.29682085828092,44.108417509741095
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,South Africa,ZAF,1974,10.6790036115191,inf,2.13580072230382,54.787421121260195
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Brazil,BRA,1975,2.11661341853035,-80.17967316494558,2.5591234060098897,56.904034539790544
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,China,CHN,1975,0.0,-100.0,2.5591234060098897,56.904034539790544
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,India,IND,1975,5.58310637506876,inf,3.675744681023642,62.4871409148593
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Russian Federation,RUS,1975,0.0,-100.0,3.675744681023642,62.4871409148593
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,South Africa,ZAF,1975,12.1939930374812,inf,3.9787425662160616,74.6811339523405
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Brazil,BRA,1976,2.80445639646562,-77.0013285406557,4.116311161803116,77.48559034880613
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,China,CHN,1976,0.0,-100.0,4.116311161803116,77.48559034880613
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,India,IND,1976,4.73978001982043,inf,3.94764589075345,82.22537036862656
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Russian Federation,RUS,1976,0.0,-100.0,3.94764589075345,82.22537036862656
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,South Africa,ZAF,1976,13.7358490566038,inf,4.25601709457797,95.96121942523035
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Brazil,BRA,1977,2.14822771213749,-84.3604301176804,4.124771357712344,98.10944713736784
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,China,CHN,1977,0.0,-100.0,4.124771357712344,98.10944713736784
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,India,IND,1977,4.9532479713335,inf,4.167464948014958,103.06269510870133
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Russian Federation,RUS,1977,0.0,-100.0,4.167464948014958,103.06269510870133
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,South Africa,ZAF,1977,14.0854047163799,inf,4.237376079970178,117.14809982508123
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Brazil,BRA,1978,0.748210800260247,-94.68804187507546,3.9573726975947294,117.89631062534148
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,China,CHN,1978,0.0,-100.0,3.9573726975947294,117.89631062534148
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,India,IND,1978,5.48694791869121,inf,4.064112687066272,123.3832585440327
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Russian Federation,RUS,1978,0.0,-100.0,4.064112687066272,123.3832585440327
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,South Africa,ZAF,1978,13.599126160568,inf,3.966856975903892,136.9823847046007
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Brazil,BRA,1979,0.816004211634641,-93.99958348793966,3.98041565817877,137.79838891623533
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,China,CHN,1979,0.0,-100.0,3.98041565817877,137.79838891623533
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,India,IND,1979,5.22985907595363,inf,3.928997889631254,143.02824799218897
