SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Brazil,BRA,1970,29509674.2396831,,,29509674.2396831
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,China,CHN,1970,8783230.74734233,-70.23609723372991,,38292904.987025425
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,India,IND,1970,13153066.3659594,49.752030253096976,,51445971.35298482
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Russian Federation,RUS,1970,80898857.0474058,515.0570125364447,,132344828.40039062
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,South Africa,ZAF,1970,0.0,-100.0,26468965.680078126,132344828.40039062
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Brazil,BRA,1971,43995995.3415728,inf,29366229.900456063,176340823.74196342
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,China,CHN,1971,78749624.1091002,78.99270944482511,43359508.57280763,255090447.8510636
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,India,IND,1971,43952337.7081656,-44.18724126571858,49519362.841248885,299042785.5592292
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Russian Federation,RUS,1971,145246957.52763,230.46469221282302,62388982.93729372,444289743.0868592
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,South Africa,ZAF,1971,117956664.881944,-18.788891079177773,85980315.9136825,562246407.9688032
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Brazil,BRA,1972,47062943.502175,-60.101496978337266,86593705.54580295,609309351.4709781
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,China,CHN,1972,159509786.446492,238.92862319400035,102745738.01328132,768819137.9174701
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,India,IND,1972,46696140.8819206,-70.72521885822664,103294498.64803232,815515278.7993907
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Russian Federation,RUS,1972,249841016.245755,435.0356828790669,124213310.39165731,1065356295.0451456
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,South Africa,ZAF,1972,129064160.238782,-48.3414844455209,126434809.4630249,1194420455.2839277
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Brazil,BRA,1973,76917698.0220231,-40.40351877723651,132405760.36699453,1271338153.3059509
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,China,CHN,1973,381661785.546971,396.1950180018303,176836160.18709034,1652999938.852922
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,India,IND,1973,60706838.8877829,-84.09407460042611,179638299.78826278,1713706777.7407048
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Russian Federation,RUS,1973,716245155.920086,1079.842615827965,272919127.723129,2429951933.660791
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,South Africa,ZAF,1973,167731322.698683,-76.58185590334416,280652560.21510917,2597683256.3594737
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Brazil,BRA,1974,414401369.683001,147.06260167484794,348149294.54730475,3012084626.0424747
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,China,CHN,1974,3065755499.47703,639.8034185606576,884968037.3333164,6077840125.519505
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,India,IND,1974,171066154.957415,-94.42009791757378,907039900.5472429,6248906280.476919
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Russian Federation,RUS,1974,6567076109.22434,3738.910222106261,2077206091.2080941,12815982389.70126
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,South Africa,ZAF,1974,311214427.512652,-95.26098948243482,2105902712.1708877,13127196817.213911
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Brazil,BRA,1975,396209341.776546,27.310724294887855,2102264306.589597,13523406158.990458
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,China,CHN,1975,5867582508.64258,1380.9298746801828,2662629708.4227066,19390988667.633038
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,India,IND,1975,405937481.08395,-93.08169113112548,2709603973.6480136,19796926148.716988
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Russian Federation,RUS,1975,7111719898.62635,1651.9249219452122,2818532731.5284157,26908646047.343338
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,South Africa,ZAF,1975,645742173.429821,-90.92002802930206,2885438280.7118497,27554388220.77316
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Brazil,BRA,1976,392258482.708487,-39.25462841848637,2884648108.8982377,27946646703.481647
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,China,CHN,1976,6957612636.56496,1673.7315936480634,3102654134.482713,34904259340.04661
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,India,IND,1976,510222303.458572,-92.66670436958282,3123511098.957638,35414481643.50518
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Russian Federation,RUS,1976,8887758967.29697,1641.9385446403994,3478718912.691762,44302240610.802155
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,South Africa,ZAF,1976,747217316.089271,-91.59273649478232,3499013941.223652,45049457926.891426
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Brazil,BRA,1977,309689878.75754,-58.5542422412838,3482500220.4334626,45359147805.648964
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,China,CHN,1977,8357367598.94367,2598.624712074222,3762451212.909204,53716515404.592636
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,India,IND,1977,657118386.489927,-92.1372563943103,3791830429.5154753,54373633791.082565
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Russian Federation,RUS,1977,10659840533.7526,1522.2100542176815,4146246742.8066015,65033474324.83517
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,South Africa,ZAF,1977,866444954.816698,-91.8718769565713,4170092270.552087,65899919279.65186
