SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,Brazil,BRA,1970,16.7531963614378,,,16.7531963614378
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,China,CHN,1970,0.0,-100.0,,16.7531963614378
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,India,IND,1970,12.9585520606085,inf,,29.711748422046302
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,Russian Federation,RUS,1970,0.0,-100.0,,29.711748422046302
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,South Africa,ZAF,1970,0.0,,5.94234968440926,29.711748422046302
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,Brazil,BRA,1971,16.0987130014854,inf,5.81145301241878,45.810461423531706
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,China,CHN,1971,0.0,-100.0,5.81145301241878,45.810461423531706
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,India,IND,1971,16.7185761055198,inf,6.56345782140104,62.52903752905151
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,Russian Federation,RUS,1971,0.0,-100.0,6.56345782140104,62.52903752905151
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,South Africa,ZAF,1971,0.0,,6.56345782140104,62.52903752905151
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,Brazil,BRA,1972,16.3664546782512,inf,6.617006156754201,78.89549220730271
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,China,CHN,1972,0.0,-100.0,6.617006156754201,78.89549220730271
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,India,IND,1972,15.7477002209077,inf,6.4228309798317795,94.64319242821041
