SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,Brazil,BRA,1970,0.0,,,0.0
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,China,CHN,1970,0.0,,,0.0
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,India,IND,1970,4150000.09536743,inf,,4150000.09536743
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,Russian Federation,RUS,1970,0.0,-100.0,,4150000.09536743
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,South Africa,ZAF,1970,0.0,,830000.019073486,4150000.09536743
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,Brazil,BRA,1971,0.0,,830000.019073486,4150000.09536743
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,China,CHN,1971,0.0,,830000.019073486,4150000.09536743
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,India,IND,1971,10810000.4196167,inf,2162000.08392334,14960000.514984129
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,Russian Federation,RUS,1971,0.0,-100.0,2162000.08392334,14960000.514984129
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,South Africa,ZAF,1971,0.0,,2162000.08392334,14960000.514984129
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,Brazil,BRA,1972,79999.9982118607,inf,2178000.083565712,15040000.51319599
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,China,CHN,1972,0.0,-100.0,2178000.083565712,15040000.51319599
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,India,IND,1972,19319999.6948242,inf,3879999.938607212,34360000.20802019
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,Russian Federation,RUS,1972,0.0,-100.0,3879999.938607212,34360000.20802019
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,South Africa,ZAF,1972,0.0,,3879999.938607212,34360000.20802019
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,Brazil,BRA,1973,0.0,,3863999.93896484,34360000.20802019
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,China,CHN,1973,0.0,,3863999.93896484,34360000.20802019
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,India,IND,1973,5880000.11444092,inf,1176000.022888184,40240000.322461106
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,Russian Federation,RUS,1973,0.0,-100.0,1176000.022888184,40240000.322461106
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,South Africa,ZAF,1973,0.0,,1176000.022888184,40240000.322461106
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,Brazil,BRA,1974,0.0,,1176000.022888184,40240000.322461106
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,China,CHN,1974,0.0,,1176000.022888184,40240000.322461106
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,India,IND,1974,49430000.3051758,inf,9886000.06103516,89670000.62763691
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,Russian Federation,RUS,1974,0.0,-100.0,9886000.06103516,89670000.62763691
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,South Africa,ZAF,1974,0.0,,9886000.06103516,89670000.62763691
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,Brazil,BRA,1975,330000.013113022,inf,9952000.063657764,90000000.64074993
