SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,Brazil,BRA,1970,130900000.387803,,,130900000.387803
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,China,CHN,1970,0.0,-100.0,,130900000.387803
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,India,IND,1970,756669999.480247,inf,,887569999.86805
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,Russian Federation,RUS,1970,0.0,-100.0,,887569999.86805
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,South Africa,ZAF,1970,0.0,,177513999.97360998,887569999.86805
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,Brazil,BRA,1971,113509999.798611,inf,174035999.8557716,1001079999.666661
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,China,CHN,1971,0.0,-100.0,174035999.8557716,1001079999.666661
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,India,IND,1971,858970001.466572,inf,194496000.25303662,1860050001.133233
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,Russian Federation,RUS,1971,0.0,-100.0,194496000.25303662,1860050001.133233
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,South Africa,ZAF,1971,0.0,,194496000.25303662,1860050001.133233
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,Brazil,BRA,1972,87419998.2602149,inf,189277999.94535738,1947469999.3934479
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,China,CHN,1972,0.0,-100.0,189277999.94535738,1947469999.3934479
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,India,IND,1972,464950001.090765,inf,110473999.87019598,2412420000.484213
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,Russian Federation,RUS,1972,0.0,-100.0,110473999.87019598,2412420000.484213
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,South Africa,ZAF,1972,0.0,,110473999.87019598,2412420000.484213
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,Brazil,BRA,1973,56390000.2799928,inf,104268000.27415156,2468810000.7642055
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,China,CHN,1973,0.0,-100.0,104268000.27415156,2468810000.7642055
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,India,IND,1973,462610004.037619,inf,103800000.86352237,2931420004.8018246
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,Russian Federation,RUS,1973,0.0,-100.0,103800000.86352237,2931420004.8018246
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,South Africa,ZAF,1973,0.0,,103800000.86352237,2931420004.8018246
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,Brazil,BRA,1974,118040000.109002,inf,116130000.8293242,3049460004.9108267
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,China,CHN,1974,0.0,-100.0,116130000.8293242,3049460004.9108267
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,India,IND,1974,651940001.154319,inf,153996000.2526642,3701400006.0651455
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,Russian Federation,RUS,1974,0.0,-100.0,153996000.2526642,3701400006.0651455
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,South Africa,ZAF,1974,0.0,,153996000.2526642,3701400006.0651455
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,Brazil,BRA,1975,116049999.576062,inf,153598000.1460762,3817450005.6412077
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,China,CHN,1975,0.0,-100.0,153598000.1460762,3817450005.6412077
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,India,IND,1975,919200011.748821,inf,207050002.2649766,4736650017.390029
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,Russian Federation,RUS,1975,0.0,-100.0,207050002.2649766,4736650017.390029
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,South Africa,ZAF,1975,0.0,,207050002.2649766,4736650017.390029
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,Brazil,BRA,1976,78149998.6033886,inf,199470002.0704419,4814800015.993418
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,China,CHN,1976,0.0,-100.0,199470002.0704419,4814800015.993418
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,India,IND,1976,737569999.132305,inf,163143999.54713872,5552370015.125723
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,Russian Federation,RUS,1976,0.0,-100.0,163143999.54713872,5552370015.125723
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,South Africa,ZAF,1976,0.0,,163143999.54713872,5552370015.125723
