SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Brazil,BRA,1970,120000000.0,,,120000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,China,CHN,1970,0.0,-100.0,,120000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,India,IND,1970,418000000.0,inf,,538000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Russian Federation,RUS,1970,0.0,-100.0,,538000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,South Africa,ZAF,1970,0.0,,107600000.0,538000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Brazil,BRA,1971,104000000.0,inf,104400000.0,642000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,China,CHN,1971,0.0,-100.0,104400000.0,642000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,India,IND,1971,454000000.0,inf,111600000.0,1096000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Russian Federation,RUS,1971,0.0,-100.0,111600000.0,1096000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,South Africa,ZAF,1971,0.0,,111600000.0,1096000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Brazil,BRA,1972,54000000.0,inf,101600000.0,1150000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,China,CHN,1972,0.0,-100.0,101600000.0,1150000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,India,IND,1972,104000000.0,inf,31600000.0,1254000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Russian Federation,RUS,1972,0.0,-100.0,31600000.0,1254000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,South Africa,ZAF,1972,0.0,,31600000.0,1254000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Brazil,BRA,1973,42000000.0,inf,29200000.0,1296000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,China,CHN,1973,0.0,-100.0,29200000.0,1296000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,India,IND,1973,84000000.0,inf,25200000.0,1380000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Russian Federation,RUS,1973,0.0,-100.0,25200000.0,1380000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,South Africa,ZAF,1973,0.0,,25200000.0,1380000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Brazil,BRA,1974,69000000.0,inf,30600000.0,1449000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,China,CHN,1974,0.0,-100.0,30600000.0,1449000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,India,IND,1974,91000000.0,inf,32000000.0,1540000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Russian Federation,RUS,1974,0.0,-100.0,32000000.0,1540000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,South Africa,ZAF,1974,0.0,,32000000.0,1540000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Brazil,BRA,1975,43000000.0,inf,26800000.0,1583000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,China,CHN,1975,0.0,-100.0,26800000.0,1583000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,India,IND,1975,225000000.0,inf,53600000.0,1808000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Russian Federation,RUS,1975,0.0,-100.0,53600000.0,1808000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,South Africa,ZAF,1975,0.0,,53600000.0,1808000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Brazil,BRA,1976,30000000.0,inf,51000000.0,1838000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,China,CHN,1976,0.0,-100.0,51000000.0,1838000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,India,IND,1976,135000000.0,inf,33000000.0,1973000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Russian Federation,RUS,1976,0.0,-100.0,33000000.0,1973000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,South Africa,ZAF,1976,0.0,,33000000.0,1973000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Brazil,BRA,1977,-5000000.0,-inf,26000000.0,1968000000.0
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,China,CHN,1977,0.0,-100.0,26000000.0,1968000000.0
