SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,Brazil,BRA,1970,0.0,,,0.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,China,CHN,1970,0.0,,,0.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,India,IND,1970,172867000.0,inf,,172867000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,Russian Federation,RUS,1970,0.0,-100.0,,172867000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,South Africa,ZAF,1970,0.0,,34573400.0,172867000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,Brazil,BRA,1971,0.0,,34573400.0,172867000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,China,CHN,1971,0.0,,34573400.0,172867000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,India,IND,1971,104951000.0,inf,20990200.0,277818000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,Russian Federation,RUS,1971,0.0,-100.0,20990200.0,277818000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,South Africa,ZAF,1971,0.0,,20990200.0,277818000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,Brazil,BRA,1972,0.0,,20990200.0,277818000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,China,CHN,1972,0.0,,20990200.0,277818000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,India,IND,1972,185341000.0,inf,37068200.0,463159000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,Russian Federation,RUS,1972,0.0,-100.0,37068200.0,463159000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,South Africa,ZAF,1972,0.0,,37068200.0,463159000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,Brazil,BRA,1973,0.0,,37068200.0,463159000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,China,CHN,1973,0.0,,37068200.0,463159000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,India,IND,1973,320125000.0,inf,64025000.0,783284000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,Russian Federation,RUS,1973,0.0,-100.0,64025000.0,783284000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,South Africa,ZAF,1973,0.0,,64025000.0,783284000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,Brazil,BRA,1974,0.0,,64025000.0,783284000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,China,CHN,1974,0.0,,64025000.0,783284000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,India,IND,1974,394812000.0,inf,78962400.0,1178096000.0
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,Russian Federation,RUS,1974,0.0,-100.0,78962400.0,1178096000.0
