SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,Brazil,BRA,1970,125574000.0,,,125574000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,China,CHN,1970,0.0,-100.0,,125574000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,India,IND,1970,162632000.0,inf,,288206000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,Russian Federation,RUS,1970,0.0,-100.0,,288206000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,South Africa,ZAF,1970,0.0,,57641200.0,288206000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,Brazil,BRA,1971,150079000.0,inf,62542200.0,438285000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,China,CHN,1971,0.0,-100.0,62542200.0,438285000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,India,IND,1971,88558000.0,inf,47727400.0,526843000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,Russian Federation,RUS,1971,0.0,-100.0,47727400.0,526843000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,South Africa,ZAF,1971,0.0,,47727400.0,526843000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,Brazil,BRA,1972,248296000.0,inf,67370800.0,775139000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,China,CHN,1972,0.0,-100.0,67370800.0,775139000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,India,IND,1972,183378000.0,inf,86334800.0,958517000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,Russian Federation,RUS,1972,0.0,-100.0,86334800.0,958517000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,South Africa,ZAF,1972,0.0,,86334800.0,958517000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,Brazil,BRA,1973,246603000.0,inf,85996200.0,1205120000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,China,CHN,1973,0.0,-100.0,85996200.0,1205120000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,India,IND,1973,307279000.0,inf,110776400.0,1512399000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,Russian Federation,RUS,1973,0.0,-100.0,110776400.0,1512399000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,South Africa,ZAF,1973,0.0,,110776400.0,1512399000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,Brazil,BRA,1974,369080000.0,inf,135271800.0,1881479000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,China,CHN,1974,0.0,-100.0,135271800.0,1881479000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,India,IND,1974,385417000.0,inf,150899400.0,2266896000.0
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,Russian Federation,RUS,1974,0.0,-100.0,150899400.0,2266896000.0
