SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Brazil,BRA,1970,0.0,,,0.0
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,China,CHN,1970,0.0,,,0.0
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,India,IND,1970,205828143.465649,inf,,205828143.465649
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Russian Federation,RUS,1970,0.0,-100.0,,205828143.465649
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,South Africa,ZAF,1970,0.0,,41165628.6931298,205828143.465649
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Brazil,BRA,1971,0.0,,41165628.6931298,205828143.465649
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,China,CHN,1971,0.0,,41165628.6931298,205828143.465649
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,India,IND,1971,185756497.620997,inf,37151299.524199404,391584641.086646
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Russian Federation,RUS,1971,0.0,-100.0,37151299.524199404,391584641.086646
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,South Africa,ZAF,1971,0.0,,37151299.524199404,391584641.086646
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Brazil,BRA,1972,0.0,,37151299.524199404,391584641.086646
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,China,CHN,1972,0.0,,37151299.524199404,391584641.086646
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,India,IND,1972,192743243.719808,inf,38548648.7439616,584327884.8064541
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Russian Federation,RUS,1972,0.0,-100.0,38548648.7439616,584327884.8064541
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,South Africa,ZAF,1972,0.0,,38548648.7439616,584327884.8064541
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Brazil,BRA,1973,0.0,,38548648.7439616,584327884.8064541
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,China,CHN,1973,0.0,,38548648.7439616,584327884.8064541
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,India,IND,1973,332818576.754647,inf,66563715.3509294,917146461.5611011
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Russian Federation,RUS,1973,0.0,-100.0,66563715.3509294,917146461.5611011
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,South Africa,ZAF,1973,0.0,,66563715.3509294,917146461.5611011
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Brazil,BRA,1974,0.0,,66563715.3509294,917146461.5611011
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,China,CHN,1974,0.0,,66563715.3509294,917146461.5611011
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,India,IND,1974,401605087.143242,inf,80321017.4286484,1318751548.704343
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Russian Federation,RUS,1974,0.0,-100.0,80321017.4286484,1318751548.704343
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,South Africa,ZAF,1974,0.0,,80321017.4286484,1318751548.704343
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Brazil,BRA,1975,0.0,,80321017.4286484,1318751548.704343
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,China,CHN,1975,0.0,,80321017.4286484,1318751548.704343
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,India,IND,1975,868327767.031743,inf,173665553.40634862,2187079315.736086
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Russian Federation,RUS,1975,0.0,-100.0,173665553.40634862,2187079315.736086
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,South Africa,ZAF,1975,0.0,,173665553.40634862,2187079315.736086
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Brazil,BRA,1976,0.0,,173665553.40634862,2187079315.736086
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,China,CHN,1976,0.0,,173665553.40634862,2187079315.736086
