SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1970,0.0,,,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1970,0.0,,,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1970,0.0,,,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1970,0.0,,,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1970,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1971,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1971,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1971,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1971,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1971,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1972,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1972,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1972,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1972,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1972,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1973,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1973,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1973,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1973,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1973,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1974,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1974,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1974,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1974,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1974,0.0,,0.0,0.0
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1975,0.782182901658142,inf,0.15643658033162838,0.782182901658142
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1975,0.0,-100.0,0.15643658033162838,0.782182901658142
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1975,25.1021670524768,inf,5.176869990826988,25.884349954134944
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1975,0.0,-100.0,5.176869990826988,25.884349954134944
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1975,0.0,,5.176869990826988,25.884349954134944
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1976,0.518636840868207,inf,5.124160778669002,26.40298679500315
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1976,0.0,-100.0,5.124160778669002,26.40298679500315
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1976,28.5125767101697,inf,5.806242710207582,54.915563505172855
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1976,0.0,-100.0,5.806242710207582,54.915563505172855
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1976,0.0,,5.806242710207582,54.915563505172855
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1977,0.362796678974298,inf,5.775074677828799,55.278360184147154
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1977,0.0,-100.0,5.775074677828799,55.278360184147154
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1977,14.0701501348023,inf,2.88658936275532,69.34851031894945
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1977,0.0,-100.0,2.88658936275532,69.34851031894945
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1977,0.0,,2.88658936275532,69.34851031894945
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1978,0.413390743062911,inf,2.896708175573042,69.76190106201236
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1978,0.0,-100.0,2.896708175573042,69.76190106201236
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1978,11.9707185271291,inf,2.476821854038402,81.73261958914145
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1978,0.0,-100.0,2.476821854038402,81.73261958914145
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1978,0.0,,2.476821854038402,81.73261958914145
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1979,0.308005482526342,inf,2.4557448019310884,82.04062507166779
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1979,0.0,-100.0,2.4557448019310884,82.04062507166779
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1979,10.9729164396315,inf,2.2561843844315685,93.0135415112993
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1979,0.0,-100.0,2.2561843844315685,93.0135415112993
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1979,0.0,,2.2561843844315685,93.0135415112993
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1980,0.229379314554149,inf,2.24045915083713,93.24292082585345
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1980,0.0,-100.0,2.24045915083713,93.24292082585345
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1980,12.5261902318025,inf,2.55111390927133,105.76911105765595
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1980,0.0,-100.0,2.55111390927133,105.76911105765595
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1980,0.0,,2.55111390927133,105.76911105765595
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1981,0.584287307084128,inf,2.622095507777326,106.35339836474007
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1981,0.0,-100.0,2.622095507777326,106.35339836474007
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1981,11.0130922799813,inf,2.3194759174130857,117.36649064472138
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1981,0.0,-100.0,2.3194759174130857,117.36649064472138
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1981,0.0,,2.3194759174130857,117.36649064472138
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1982,0.446760371210132,inf,2.2919705302382867,117.81325101593151
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1982,2.67836858340317,499.5089887109548,2.8276442469189207,120.49161959933468
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1982,8.98379218983363,235.4203094190534,2.4217842288893867,129.4754117891683
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1982,0.0,-100.0,2.4217842288893867,129.4754117891683
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1982,0.0,,2.4217842288893867,129.4754117891683
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1983,0.34111104398358,inf,2.400654363444076,129.81652283315188
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1983,3.18385217458331,833.3770426783866,2.501751081680104,133.0003750077352
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1983,9.8657218544373,209.86745971422144,2.6781370146008383,142.8660968621725
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1983,0.0,-100.0,2.6781370146008383,142.8660968621725
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1983,0.0,,2.6781370146008383,142.8660968621725
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1984,0.506230624245381,inf,2.7111609306531985,143.37232748641787
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1984,2.93882657896798,480.53117259525305,2.6621558115301323,146.31115406538586
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1984,8.75703383147224,197.97722309110958,2.44041820693712,155.0681878968581
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1984,0.0,-100.0,2.44041820693712,155.0681878968581
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1984,0.0,,2.44041820693712,155.0681878968581
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1985,0.285738309919303,inf,2.3963197440719046,155.3539262067774
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1985,2.27294738626183,695.4646987671154,2.263143905530675,157.62687359303922
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1985,7.80593716225916,243.4279741554899,2.072924571688058,165.4328107552984
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1985,0.0,-100.0,2.072924571688058,165.4328107552984
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1985,0.0,,2.072924571688058,165.4328107552984
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1986,0.484044313915091,inf,2.112585772487216,165.91685506921348
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1986,2.87468504475126,493.8888159846301,2.232933304185102,168.79154011396474
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1986,9.38079828849787,226.3243848443776,2.547905529432844,178.1723384024626
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1986,0.0,-100.0,2.5479055294328443,178.1723384024626
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1986,0.0,,2.5479055294328443,178.1723384024626
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1987,0.968892549877326,inf,2.6448751766252916,179.14123095233992
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1987,3.43712420219735,254.74771713669728,2.757363008114509,182.57835515453726
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1987,7.09538283366255,106.43370493060682,2.3002799171474457,189.6737379881998
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1987,0.0,-100.0,2.3002799171474457,189.6737379881998
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1987,0.0,,2.3002799171474457,189.6737379881998
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1988,0.667775810489041,inf,2.2400565692697887,190.34151379868885
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1988,3.71326691817602,456.06490379707446,2.2952851124655225,194.05478071686488
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1988,7.05074868775065,89.87993169136415,2.2863582832831426,201.10552940461554
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1988,0.0,-100.0,2.2863582832831426,201.10552940461554
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1988,0.0,,2.2863582832831426,201.10552940461554
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1989,0.611000089116847,inf,2.275003139008704,201.7165294937324
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1989,3.7990443811449,521.7747671094651,2.2921586316024793,205.5155738748773
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1989,5.76675626405933,51.794916971236596,2.0353601468642153,211.28233013893663
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1989,0.0,-100.0,2.0353601468642153,211.28233013893663
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1989,0.0,,2.0353601468642153,211.28233013893663
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1990,0.425846796949408,inf,1.998329488430728,211.70817693588603
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1990,4.17235139226173,879.7775684003603,2.0729908906540935,215.88052832814776
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1990,4.19927405310614,0.6452635052345501,1.7594944484634556,220.0798023812539
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1990,0.0,-100.0,1.7594944484634556,220.0798023812539
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,South Africa,ZAF,1990,0.0,,1.7594944484634556,220.0798023812539
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Brazil,BRA,1991,0.505437301936938,inf,1.7754125494609618,220.58523968319085
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,China,CHN,1991,3.35586609766336,563.9529937349305,1.612115490541288,223.9411057808542
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,India,IND,1991,8.74255960286935,160.51574611265528,2.5207726004939297,232.68366538372356
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Russian Federation,RUS,1991,0.0,-100.0,2.5207726004939297,232.68366538372356
