SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Brazil,BRA,1970,136850006.103516,,,136850006.103516
Net official development assistance received (current US$),DT.ODA.ODAT.CD,China,CHN,1970,0.0,-100.0,,136850006.103516
Net official development assistance received (current US$),DT.ODA.ODAT.CD,India,IND,1970,824659973.144531,inf,,961509979.248047
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Russian Federation,RUS,1970,0.0,-100.0,,961509979.248047
Net official development assistance received (current US$),DT.ODA.ODAT.CD,South Africa,ZAF,1970,0.0,,192301995.8496094,961509979.248047
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Brazil,BRA,1971,120069999.694824,inf,188945994.567871,1081579978.942871
Net official development assistance received (current US$),DT.ODA.ODAT.CD,China,CHN,1971,0.0,-100.0,188945994.567871,1081579978.942871
Net official development assistance received (current US$),DT.ODA.ODAT.CD,India,IND,1971,1002400024.41406,inf,224494004.82177678,2083980003.3569312
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Russian Federation,RUS,1971,0.0,-100.0,224494004.82177678,2083980003.3569312
Net official development assistance received (current US$),DT.ODA.ODAT.CD,South Africa,ZAF,1971,0.0,,224494004.82177678,2083980003.3569312
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Brazil,BRA,1972,94430000.3051758,inf,219366004.94384718,2178410003.662107
Net official development assistance received (current US$),DT.ODA.ODAT.CD,China,CHN,1972,0.0,-100.0,219366004.94384718,2178410003.662107
Net official development assistance received (current US$),DT.ODA.ODAT.CD,India,IND,1972,613900024.414063,inf,141666004.94384775,2792310028.07617
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Russian Federation,RUS,1972,0.0,-100.0,141666004.94384775,2792310028.07617
Net official development assistance received (current US$),DT.ODA.ODAT.CD,South Africa,ZAF,1972,0.0,,141666004.94384775,2792310028.07617
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Brazil,BRA,1973,65099998.4741211,inf,135800004.5776368,2857410026.550291
Net official development assistance received (current US$),DT.ODA.ODAT.CD,China,CHN,1973,0.0,-100.0,135800004.5776368,2857410026.550291
Net official development assistance received (current US$),DT.ODA.ODAT.CD,India,IND,1973,778710021.972656,inf,168762004.0893554,3636120048.5229473
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Russian Federation,RUS,1973,0.0,-100.0,168762004.0893554,3636120048.5229473
Net official development assistance received (current US$),DT.ODA.ODAT.CD,South Africa,ZAF,1973,0.0,,168762004.0893554,3636120048.5229473
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Brazil,BRA,1974,129809997.558594,inf,181704003.90625,3765930046.0815415
Net official development assistance received (current US$),DT.ODA.ODAT.CD,China,CHN,1974,0.0,-100.0,181704003.90625,3765930046.0815415
Net official development assistance received (current US$),DT.ODA.ODAT.CD,India,IND,1974,1230400024.41406,inf,272042004.39453083,4996330070.495602
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Russian Federation,RUS,1974,0.0,-100.0,272042004.39453083,4996330070.495602
Net official development assistance received (current US$),DT.ODA.ODAT.CD,South Africa,ZAF,1974,0.0,,272042004.39453083,4996330070.495602
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Brazil,BRA,1975,132580001.831055,inf,272596005.249023,5128910072.326656
Net official development assistance received (current US$),DT.ODA.ODAT.CD,China,CHN,1975,0.0,-100.0,272596005.249023,5128910072.326656
Net official development assistance received (current US$),DT.ODA.ODAT.CD,India,IND,1975,1605189941.40625,inf,347553988.647461,6734100013.732906
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Russian Federation,RUS,1975,0.0,-100.0,347553988.647461,6734100013.732906
Net official development assistance received (current US$),DT.ODA.ODAT.CD,South Africa,ZAF,1975,0.0,,347553988.647461,6734100013.732906
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Brazil,BRA,1976,92529998.7792969,inf,339543988.0371094,6826630012.512203
Net official development assistance received (current US$),DT.ODA.ODAT.CD,China,CHN,1976,0.0,-100.0,339543988.0371094,6826630012.512203
Net official development assistance received (current US$),DT.ODA.ODAT.CD,India,IND,1976,1744609985.35156,inf,367427996.8261714,8571239997.863764
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Russian Federation,RUS,1976,0.0,-100.0,367427996.8261714,8571239997.863764
Net official development assistance received (current US$),DT.ODA.ODAT.CD,South Africa,ZAF,1976,0.0,,367427996.8261714,8571239997.863764
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Brazil,BRA,1977,67559997.5585938,inf,362433996.5820308,8638799995.422358
Net official development assistance received (current US$),DT.ODA.ODAT.CD,China,CHN,1977,0.0,-100.0,362433996.5820308,8638799995.422358
Net official development assistance received (current US$),DT.ODA.ODAT.CD,India,IND,1977,988809997.558594,inf,211273999.02343756,9627609992.980951
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Russian Federation,RUS,1977,0.0,-100.0,211273999.02343756,9627609992.980951
Net official development assistance received (current US$),DT.ODA.ODAT.CD,South Africa,ZAF,1977,0.0,,211273999.02343756,9627609992.980951
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Brazil,BRA,1978,89279998.7792969,inf,215617999.26757818,9716889991.760248
Net official development assistance received (current US$),DT.ODA.ODAT.CD,China,CHN,1978,0.0,-100.0,215617999.26757818,9716889991.760248
Net official development assistance received (current US$),DT.ODA.ODAT.CD,India,IND,1978,1131150024.41406,inf,244086004.6386714,10848040016.174309
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Russian Federation,RUS,1978,0.0,-100.0,244086004.6386714,10848040016.174309
Net official development assistance received (current US$),DT.ODA.ODAT.CD,South Africa,ZAF,1978,0.0,,244086004.6386714,10848040016.174309
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Brazil,BRA,1979,87760002.1362305,inf,243782005.31005812,10935800018.31054
Net official development assistance received (current US$),DT.ODA.ODAT.CD,China,CHN,1979,16850000.3814697,-80.7999088749869,247152005.38635206,10952650018.692009
Net official development assistance received (current US$),DT.ODA.ODAT.CD,India,IND,1979,1363189941.40625,7990.147837061052,293559988.78479004,12315839960.098259
