SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,Brazil,BRA,1970,0.0,,,0.0
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,China,CHN,1970,0.0,,,0.0
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,India,IND,1970,310000.002384186,inf,,310000.002384186
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,Russian Federation,RUS,1970,0.0,-100.0,,310000.002384186
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,South Africa,ZAF,1970,0.0,,62000.0004768372,310000.002384186
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,Brazil,BRA,1971,0.0,,62000.0004768372,310000.002384186
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,China,CHN,1971,0.0,,62000.0004768372,310000.002384186
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,India,IND,1971,699999.988079071,inf,139999.9976158142,1009999.9904632571
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,Russian Federation,RUS,1971,0.0,-100.0,139999.9976158142,1009999.9904632571
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,South Africa,ZAF,1971,0.0,,139999.9976158142,1009999.9904632571
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,Brazil,BRA,1972,0.0,,139999.9976158142,1009999.9904632571
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,China,CHN,1972,0.0,,139999.9976158142,1009999.9904632571
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,India,IND,1972,129999.995231628,inf,25999.9990463256,1139999.985694885
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,Russian Federation,RUS,1972,0.0,-100.0,25999.9990463256,1139999.985694885
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,South Africa,ZAF,1972,0.0,,25999.9990463256,1139999.985694885
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,Brazil,BRA,1973,0.0,,25999.9990463256,1139999.985694885
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,China,CHN,1973,0.0,,25999.9990463256,1139999.985694885
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,India,IND,1973,230000.004172325,inf,46000.000834465,1369999.98986721
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,Russian Federation,RUS,1973,0.0,-100.0,46000.000834465,1369999.98986721
