SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,Brazil,BRA,1970,720000.028610229,,,720000.028610229
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,China,CHN,1970,0.0,-100.0,,720000.028610229
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,India,IND,1970,6690000.05722046,inf,,7410000.0858306885
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,Russian Federation,RUS,1970,0.0,-100.0,,7410000.0858306885
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,South Africa,ZAF,1970,0.0,,1482000.017166138,7410000.0858306885
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,Brazil,BRA,1971,620000.004768372,inf,1462000.0123977666,8030000.09059906
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,China,CHN,1971,0.0,-100.0,1462000.0123977666,8030000.09059906
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,India,IND,1971,7840000.15258789,inf,1692000.0314712524,15870000.24318695
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,Russian Federation,RUS,1971,0.0,-100.0,1692000.0314712524,15870000.24318695
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,South Africa,ZAF,1971,0.0,,1692000.0314712524,15870000.24318695
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,Brazil,BRA,1972,1080000.04291534,inf,1784000.0391006463,16950000.28610229
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,China,CHN,1972,0.0,-100.0,1784000.0391006463,16950000.28610229
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,India,IND,1972,9329999.92370605,inf,2081999.993324278,26280000.209808342
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,Russian Federation,RUS,1972,0.0,-100.0,2081999.993324278,26280000.209808342
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,South Africa,ZAF,1972,0.0,,2081999.993324278,26280000.209808342
