SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,Brazil,BRA,1970,0.0,,,0.0
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,China,CHN,1970,0.0,,,0.0
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,India,IND,1970,0.0,,,0.0
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,Russian Federation,RUS,1970,0.0,,,0.0
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,South Africa,ZAF,1970,245565580.630054,inf,49113116.1260108,245565580.630054
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,Brazil,BRA,1971,0.0,-100.0,49113116.1260108,245565580.630054
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,China,CHN,1971,0.0,,49113116.1260108,245565580.630054
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,India,IND,1971,0.0,,49113116.1260108,245565580.630054
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,Russian Federation,RUS,1971,0.0,,49113116.1260108,245565580.630054
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,South Africa,ZAF,1971,-93644507.9806681,-inf,-18728901.59613362,151921072.6493859
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,Brazil,BRA,1972,0.0,-100.0,-18728901.59613362,151921072.6493859
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,China,CHN,1972,0.0,,-18728901.59613362,151921072.6493859
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,India,IND,1972,0.0,,-18728901.59613362,151921072.6493859
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,Russian Federation,RUS,1972,0.0,,-18728901.59613362,151921072.6493859
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,South Africa,ZAF,1972,-346593082.817307,-inf,-69318616.5634614,-194672010.1679211
