SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1970,0.0,,,0.0
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1970,0.0,,,0.0
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1970,38.6078252957234,inf,,38.6078252957234
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1970,0.0,-100.0,,38.6078252957234
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1970,49.3758212877792,inf,17.59672931670052,87.9836465835026
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1971,0.0,-100.0,17.59672931670052,87.9836465835026
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1971,0.0,,17.59672931670052,87.9836465835026
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1971,35.7149890052184,inf,17.018162058599522,123.698635588721
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1971,0.0,-100.0,17.018162058599522,123.698635588721
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1971,49.3758213257055,inf,17.01816206618478,173.0744569144265
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1972,0.0,-100.0,17.01816206618478,173.0744569144265
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1972,0.0,,17.01816206618478,173.0744569144265
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1972,36.3809268684704,inf,17.15134963883518,209.4553837828969
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1972,0.0,-100.0,17.15134963883518,209.4553837828969
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1972,50.09315943572,inf,17.29481726083808,259.5485432186169
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1973,0.0,-100.0,17.29481726083808,259.5485432186169
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1973,0.0,,17.29481726083808,259.5485432186169
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1973,37.3327011358003,inf,17.48517211430406,296.88124435441716
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1973,0.0,-100.0,17.48517211430406,296.88124435441716
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1973,50.4078303425775,inf,17.54810629567556,347.28907469699465
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1974,0.0,-100.0,17.54810629567556,347.28907469699465
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1974,0.0,,17.54810629567556,347.28907469699465
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1974,37.3391388485728,inf,17.54939383823006,384.62821354556746
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1974,0.0,-100.0,17.54939383823006,384.62821354556746
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1974,51.2066517947678,inf,17.709158128668122,435.8348653403353
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1975,0.0,-100.0,17.709158128668122,435.8348653403353
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1975,0.0,,17.709158128668122,435.8348653403353
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1975,39.6204107031736,inf,18.165412499588278,475.4552760435089
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1975,0.0,-100.0,18.165412499588278,475.4552760435089
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1975,51.2903225806452,inf,18.18214665676376,526.7455986241541
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1976,0.0,-100.0,18.18214665676376,526.7455986241541
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1976,0.0,,18.18214665676376,526.7455986241541
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1976,39.4832425293049,inf,18.154713021990023,566.228841153459
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1976,0.0,-100.0,18.154713021990023,566.228841153459
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1976,52.5330255226369,inf,18.40325361038836,618.7618666760959
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1977,0.0,-100.0,18.40325361038836,618.7618666760959
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1977,0.0,,18.40325361038836,618.7618666760959
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1977,37.9433166835947,inf,18.095268441246322,656.7051833596906
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1977,0.0,-100.0,18.095268441246322,656.7051833596906
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1977,52.5330255105671,inf,18.09526843883236,709.2382088702577
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1978,0.0,-100.0,18.09526843883236,709.2382088702577
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1978,0.0,,18.09526843883236,709.2382088702577
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1978,35.7343553594755,inf,17.65347617400852,744.9725642297333
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1978,0.0,-100.0,17.65347617400852,744.9725642297333
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1978,54.1129555749393,inf,17.969462186882957,799.0855198046726
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1979,0.0,-100.0,17.969462186882957,799.0855198046726
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1979,0.0,,17.969462186882957,799.0855198046726
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1979,36.4291177970423,inf,18.10841467439632,835.5146376017149
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1979,0.0,-100.0,18.10841467439632,835.5146376017149
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1979,54.112955578225,inf,18.10841467505346,889.6275931799398
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1980,0.0,-100.0,18.10841467505346,889.6275931799398
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1980,41.7902011470431,inf,26.46645490446208,931.417794326983
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1980,38.548479577061,-7.75713320588185,26.890327260465824,969.966273904044
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1980,0.0,-100.0,26.890327260465824,969.966273904044
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1980,55.2086330935252,inf,27.10946276352586,1025.1749069975692
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1981,0.0,-100.0,27.10946276352586,1025.1749069975692
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1981,40.734752669523,inf,26.89837306802184,1065.9096596670922
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1981,40.1275099902171,-1.490723864785426,27.21417915065306,1106.0371696573093
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1981,0.0,-100.0,27.21417915065306,1106.0371696573093
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1981,54.5617387150705,inf,27.084800274962117,1160.5989083723798
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1982,0.0,-100.0,27.084800274962117,1160.5989083723798
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1982,41.3589344404082,inf,27.20963662913916,1201.957842812788
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1982,41.5552186288673,0.47458715055126444,27.4951783568692,1243.5130614416553
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1982,0.0,-100.0,27.4951783568692,1243.5130614416553
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1982,52.6184414158055,inf,27.1065188970162,1296.1315028574609
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1983,0.0,-100.0,27.1065188970162,1296.1315028574609
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1983,42.5904558851195,inf,27.35282318595846,1338.7219587425805
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1983,38.6379289140327,-9.280311489851323,26.76936524299154,1377.3598876566132
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1983,0.0,-100.0,26.76936524299154,1377.3598876566132
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1983,53.3123890178937,inf,26.90815476340918,1430.672276674507
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1984,0.0,-100.0,26.90815476340918,1430.672276674507
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1984,42.949715718702,inf,26.980006730125684,1473.621992393209
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1984,40.2642539618474,-6.2525716687927835,27.305271739688624,1513.8862463550563
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1984,0.0,-100.0,27.305271739688624,1513.8862463550563
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1984,53.502700540108,inf,27.343334044131478,1567.3889468951643
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1985,0.0,-100.0,27.343334044131478,1567.3889468951643
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1985,44.973544973545,inf,27.74809989510008,1612.3624918687092
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1985,40.6854679136031,-9.534665462694347,27.83234268545122,1653.0479597823123
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1985,0.0,-100.0,27.83234268545122,1653.0479597823123
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1985,52.971899367368,inf,27.726182450903217,1706.0198591496803
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1986,0.0,-100.0,27.726182450903217,1706.0198591496803
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1986,45.3692277586751,inf,27.805319007929246,1751.3890869083555
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1986,39.3908723303829,-13.177115246686288,27.546399891285198,1790.7799592387385
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1986,0.0,-100.0,27.546399891285198,1790.7799592387385
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1986,53.588058518543,inf,27.669631721520204,1844.3680177572815
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1987,0.0,-100.0,27.669631721520204,1844.3680177572815
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1987,44.3768384299765,inf,27.471153855780482,1888.744856187258
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1987,42.5486279045316,-4.119740364852009,28.102704970610215,1931.2934840917897
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1987,0.0,-100.0,28.102704970610215,1931.2934840917897
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1987,51.3885400094895,inf,27.662801268799523,1982.6820241012792
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1988,0.0,-100.0,27.662801268799523,1982.6820241012792
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1988,43.4352632534643,inf,27.47448623349708,2026.1172873547434
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1988,44.4657451658464,2.372454626023046,27.857909685760042,2070.5830325205898
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1988,0.0,-100.0,27.857909685760042,2070.5830325205898
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1988,52.2319707996101,inf,28.02659584378416,2122.8150033202
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1989,0.0,-100.0,28.02659584378416,2122.8150033202
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1989,43.4863538282788,inf,28.036813958747064,2166.301357148479
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1989,40.2605102991185,-7.41805933396642,27.19576698540148,2206.5618674475973
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1989,0.0,-100.0,27.19576698540148,2206.5618674475973
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1989,54.2460415050794,inf,27.59858112649534,2260.807908952677
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1990,37.1337394836089,-31.545715681149133,35.02532902321712,2297.9416484362855
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1990,42.0118041657401,13.136475749458022,34.73041909070938,2339.9534526020257
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1990,41.7387899675388,-0.6498511635545046,35.02607502439344,2381.6922425695643
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1990,0.0,-100.0,35.02607502439344,2381.6922425695643
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1990,54.1695164061588,inf,35.01077000460932,2435.861758975723
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1991,0.0,-100.0,27.58402210788754,2435.861758975723
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1991,42.8195937873357,inf,27.745580032206657,2478.681352763059
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1991,39.9007342106546,-6.816644714514741,27.37796888082982,2518.5820869737136
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1991,0.0,-100.0,27.37796888082982,2518.5820869737136
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1991,48.0364232868485,inf,26.15135025696776,2566.6185102605623
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1992,37.1960663569016,-22.566952716720667,33.590563528348085,2603.814576617464
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1992,43.7517525295169,17.624675979746197,33.77699527678432,2647.566329146981
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1992,40.5506137849789,-7.316595472097642,33.90697119164918,2688.11694293196
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1992,0.0,-100.0,33.90697119164918,2688.11694293196
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1992,61.1947149226462,inf,36.53862951880872,2749.311657854606
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1993,35.5167933816181,-41.96101178588141,36.20277492375202,2784.8284512362243
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1993,48.1212669934082,35.488771399936134,37.07667781653028,2832.9497182296327
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1993,39.5553143587897,-17.800762884717656,36.877617931292434,2872.505032588422
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1993,49.0305992448634,23.954517969765977,46.68373778026512,2921.5356318332856
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1993,48.9198593902316,-0.22585866038217217,44.2287666737822,2970.455491223517
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1994,34.7665085370003,-28.93170796001402,44.07870970485864,3005.2219997605175
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1994,46.5055362662056,33.7653340044544,43.75556355941812,3051.727536026723
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1994,40.1722077404716,-13.618439941173788,43.87894223575451,3091.8997437671946
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1994,47.2169195217522,17.53628236414646,43.516206291132264,3139.1166632889467
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1994,46.9031479093097,-0.6645321541951743,43.11286399494788,3186.0198111982563
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1995,34.8121673871792,-25.7786120145053,43.12199576498366,3220.8319785854355
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1995,47.7885968459361,37.2755574636698,43.378607880929756,3268.6205754313714
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1995,40.4624021888942,-15.330424286489396,43.436646770614274,3309.0829776202654
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1995,54.1174614621834,33.74752494807915,44.816755158700516,3363.2004390824486
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1995,48.2584084553552,-10.826548120558888,45.08780726790962,3411.4588475378036
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1996,37.942874265793,-21.37562037319425,45.713948643632385,3449.4017218035965
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1996,46.1420135046403,21.609167458984913,45.38463197537322,3495.5437353082366
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1996,38.4378496456924,-16.696635612082954,44.97972146673287,3533.981584953929
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1996,48.4821128163445,26.131178677363188,43.85265173756508,3582.4636977702735
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1996,50.3989253800353,3.953648989993286,44.280755122501105,3632.862623150309
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1997,38.0058731381662,-24.589913670616482,44.29335489697574,3670.8684962884754
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1997,45.6180180157238,20.028864617540766,44.18855579919244,3716.4865143041993
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,India,IND,1997,40.875400142887,-10.396369853688281,44.676065898631364,3757.3619144470863
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Russian Federation,RUS,1997,50.3763976860945,23.243803143198893,45.054922872581365,3807.738312133181
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,South Africa,ZAF,1997,65.6968358367582,30.411936649635884,48.11450496392594,3873.435147969939
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Brazil,BRA,1998,39.765106013173,-39.47180940040962,48.4663515389273,3913.200253983112
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,China,CHN,1998,45.6868460988192,14.891800071360306,48.48011715554638,3958.8871000819313
