SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,Brazil,BRA,1970,247314000.0,,,247314000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,China,CHN,1970,0.0,-100.0,,247314000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,India,IND,1970,-41662000.0,-inf,,205652000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,Russian Federation,RUS,1970,0.0,-100.0,,205652000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,South Africa,ZAF,1970,0.0,,41130400.0,205652000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,Brazil,BRA,1971,177623000.0,inf,27192200.0,383275000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,China,CHN,1971,0.0,-100.0,27192200.0,383275000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,India,IND,1971,-22484000.0,-inf,31027800.0,360791000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,Russian Federation,RUS,1971,0.0,-100.0,31027800.0,360791000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,South Africa,ZAF,1971,0.0,,31027800.0,360791000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,Brazil,BRA,1972,619416000.0,inf,119386400.0,980207000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,China,CHN,1972,0.0,-100.0,119386400.0,980207000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,India,IND,1972,-22916000.0,-inf,119300000.0,957291000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,Russian Federation,RUS,1972,0.0,-100.0,119300000.0,957291000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,South Africa,ZAF,1972,0.0,,119300000.0,957291000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,Brazil,BRA,1973,320560000.0,inf,59528800.0,1277851000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,China,CHN,1973,0.0,-100.0,59528800.0,1277851000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,India,IND,1973,-37771000.0,-inf,56557800.0,1240080000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,Russian Federation,RUS,1973,0.0,-100.0,56557800.0,1240080000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,South Africa,ZAF,1973,0.0,,56557800.0,1240080000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,Brazil,BRA,1974,430679000.0,inf,78581600.0,1670759000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,China,CHN,1974,0.0,-100.0,78581600.0,1670759000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,India,IND,1974,13387000.0,inf,88813200.0,1684146000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,Russian Federation,RUS,1974,0.0,-100.0,88813200.0,1684146000.0
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,South Africa,ZAF,1974,0.0,,88813200.0,1684146000.0
