SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,Brazil,BRA,1970,0.0,,,0.0
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,China,CHN,1970,0.0,,,0.0
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,India,IND,1970,0.0,,,0.0
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,Russian Federation,RUS,1970,0.0,,,0.0
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,South Africa,ZAF,1970,95199961.9580952,inf,19039992.391619038,95199961.9580952
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,Brazil,BRA,1971,0.0,-100.0,19039992.391619038,95199961.9580952
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,China,CHN,1971,0.0,,19039992.391619038,95199961.9580952
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,India,IND,1971,0.0,,19039992.391619038,95199961.9580952
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,Russian Federation,RUS,1971,0.0,,19039992.391619038,95199961.9580952
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,South Africa,ZAF,1971,99276531.2651468,inf,19855306.25302936,194476493.22324198
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,Brazil,BRA,1972,0.0,-100.0,19855306.25302936,194476493.22324198
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,China,CHN,1972,0.0,,19855306.25302936,194476493.22324198
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,India,IND,1972,0.0,,19855306.25302936,194476493.22324198
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,Russian Federation,RUS,1972,0.0,,19855306.25302936,194476493.22324198
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,South Africa,ZAF,1972,122503384.808492,inf,24500676.9616984,316979878.031734
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,Brazil,BRA,1973,0.0,-100.0,24500676.9616984,316979878.031734
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,China,CHN,1973,0.0,,24500676.9616984,316979878.031734
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,India,IND,1973,0.0,,24500676.9616984,316979878.031734
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,Russian Federation,RUS,1973,0.0,,24500676.9616984,316979878.031734
