SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,Brazil,BRA,1970,0.0,,,0.0
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,China,CHN,1970,0.0,,,0.0
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,India,IND,1970,59886461782.0227,inf,,59886461782.0227
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,Russian Federation,RUS,1970,0.0,-100.0,,59886461782.0227
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,South Africa,ZAF,1970,58081191127.5004,inf,23593530581.90462,117967652909.5231
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,Brazil,BRA,1971,0.0,-100.0,23593530581.90462,117967652909.5231
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,China,CHN,1971,0.0,,23593530581.90462,117967652909.5231
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,India,IND,1971,62208399972.3716,inf,24057918219.9744,180176052881.8947
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,Russian Federation,RUS,1971,0.0,-100.0,24057918219.9744,180176052881.8947
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,South Africa,ZAF,1971,60917658190.0912,inf,24625211632.49256,241093711071.9859
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,Brazil,BRA,1972,0.0,-100.0,24625211632.49256,241093711071.9859
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,China,CHN,1972,0.0,,24625211632.49256,241093711071.9859
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,India,IND,1972,64128211510.9988,inf,25009173940.218,305221922582.9847
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,Russian Federation,RUS,1972,0.0,-100.0,25009173940.218,305221922582.9847
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,South Africa,ZAF,1972,63128671015.968,inf,25451376505.39336,368350593598.9527
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,Brazil,BRA,1973,0.0,-100.0,25451376505.39336,368350593598.9527
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD,China,CHN,1973,0.0,,25451376505.39336,368350593598.9527
