SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,Brazil,BRA,1970,0.0,,,0.0
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,China,CHN,1970,0.0,,,0.0
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,India,IND,1970,784486755086.01,inf,,784486755086.01
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,Russian Federation,RUS,1970,0.0,-100.0,,784486755086.01
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,South Africa,ZAF,1970,80824364019.5733,inf,173062223821.11664,865311119105.5833
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,Brazil,BRA,1971,0.0,-100.0,173062223821.11664,865311119105.5833
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,China,CHN,1971,0.0,,173062223821.11664,865311119105.5833
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,India,IND,1971,861384296426.59,inf,188441732089.23267,1726695415532.1733
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,Russian Federation,RUS,1971,0.0,-100.0,188441732089.23267,1726695415532.1733
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,South Africa,ZAF,1971,83497402194.0065,inf,188976339724.11932,1810192817726.18
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,Brazil,BRA,1972,0.0,-100.0,188976339724.1193,1810192817726.18
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,China,CHN,1972,0.0,,188976339724.1193,1810192817726.18
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,India,IND,1972,832654977337.17,inf,183230475906.23532,2642847795063.35
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,Russian Federation,RUS,1972,0.0,-100.0,183230475906.23532,2642847795063.35
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,South Africa,ZAF,1972,82190207995.6504,inf,182969037066.56412,2725038003059.0005
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,Brazil,BRA,1973,0.0,-100.0,182969037066.56412,2725038003059.0005
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,China,CHN,1973,0.0,,182969037066.56412,2725038003059.0005
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,India,IND,1973,732276162296.52,inf,162893274058.4341,3457314165355.5205
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,Russian Federation,RUS,1973,0.0,-100.0,162893274058.4341,3457314165355.5205
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,South Africa,ZAF,1973,93383368964.0835,inf,165131906252.12073,3550697534319.604
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,Brazil,BRA,1974,0.0,-100.0,165131906252.12073,3550697534319.604
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,China,CHN,1974,0.0,,165131906252.12073,3550697534319.604
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,India,IND,1974,743565621479.46,inf,167389798088.7087,4294263155799.064
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,Russian Federation,RUS,1974,0.0,-100.0,167389798088.7087,4294263155799.064
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,South Africa,ZAF,1974,106582551143.378,inf,170029634524.56763,4400845706942.442
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,Brazil,BRA,1975,0.0,-100.0,170029634524.56763,4400845706942.442
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,China,CHN,1975,0.0,,170029634524.56763,4400845706942.442
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,India,IND,1975,827260492963.16,inf,186768608821.30765,5228106199905.603
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,Russian Federation,RUS,1975,0.0,-100.0,186768608821.30765,5228106199905.603
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,South Africa,ZAF,1975,105054674730.547,inf,186463033538.74142,5333160874636.149
