SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,Brazil,BRA,1970,0.0,,,0.0
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,China,CHN,1970,0.0,,,0.0
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,India,IND,1970,21.0009099181074,inf,,21.0009099181074
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,Russian Federation,RUS,1970,0.0,-100.0,,21.0009099181074
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,South Africa,ZAF,1970,12.8777923784494,inf,6.7757404593113595,33.878702296556796
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,Brazil,BRA,1971,0.0,-100.0,6.7757404593113595,33.878702296556796
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,China,CHN,1971,0.0,,6.7757404593113595,33.878702296556796
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,India,IND,1971,21.9797170895008,inf,6.971501893590039,55.85841938605759
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,Russian Federation,RUS,1971,0.0,-100.0,6.971501893590039,55.85841938605759
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,South Africa,ZAF,1971,12.8777923802924,inf,6.97150189395864,68.73621176635
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,Brazil,BRA,1972,0.0,-100.0,6.97150189395864,68.73621176635
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,China,CHN,1972,0.0,,6.97150189395864,68.73621176635
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,India,IND,1972,23.5628181087597,inf,7.288122097810421,92.2990298751097
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,Russian Federation,RUS,1972,0.0,-100.0,7.288122097810421,92.2990298751097
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,South Africa,ZAF,1972,11.9510247537929,inf,7.102768572510522,104.2500546289026
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,Brazil,BRA,1973,0.0,-100.0,7.102768572510522,104.2500546289026
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,China,CHN,1973,0.0,,7.102768572510522,104.2500546289026
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,India,IND,1973,24.9358822388414,inf,7.377381398526862,129.185936867744
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,Russian Federation,RUS,1973,0.0,-100.0,7.377381398526862,129.185936867744
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,South Africa,ZAF,1973,11.6289909112095,inf,7.312974630010181,140.81492777895352
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,Brazil,BRA,1974,0.0,-100.0,7.312974630010181,140.81492777895352
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,China,CHN,1974,0.0,,7.312974630010181,140.81492777895352
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,India,IND,1974,22.0222544750847,inf,6.730249077258842,162.83718225403823
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,Russian Federation,RUS,1974,0.0,-100.0,6.730249077258842,162.83718225403823
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,South Africa,ZAF,1974,11.2350436017035,inf,6.651459615357642,174.07222585574172
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,Brazil,BRA,1975,0.0,-100.0,6.651459615357642,174.07222585574172
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,China,CHN,1975,0.0,,6.651459615357642,174.07222585574172
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,India,IND,1975,19.4523957685128,inf,6.137487874043262,193.5246216242545
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,Russian Federation,RUS,1975,0.0,-100.0,6.137487874043262,193.5246216242545
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,South Africa,ZAF,1975,10.84229390681,inf,6.058937935064561,204.3669155310645
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,Brazil,BRA,1976,0.0,-100.0,6.058937935064561,204.3669155310645
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,China,CHN,1976,0.0,,6.058937935064561,204.3669155310645
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,India,IND,1976,18.119531121017,inf,5.792365005565402,222.4864466520815
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,Russian Federation,RUS,1976,0.0,-100.0,5.792365005565402,222.4864466520815
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,South Africa,ZAF,1976,11.1581377452866,inf,5.8555337732607216,233.6445843973681
