SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1970,0.0,,,0.0
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1970,0.0,,,0.0
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1970,0.0,,,0.0
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1970,0.0,,,0.0
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1970,2.35805003663429,inf,0.471610007326858,2.35805003663429
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1971,0.0,-100.0,0.471610007326858,2.35805003663429
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1971,0.0,,0.471610007326858,2.35805003663429
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1971,0.0,,0.471610007326858,2.35805003663429
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1971,0.0,,0.471610007326858,2.35805003663429
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1971,1.55109519622832,inf,0.31021903924566396,3.9091452328626097
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1972,0.0,-100.0,0.31021903924566396,3.9091452328626097
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1972,0.0,,0.31021903924566396,3.9091452328626097
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1972,0.0,,0.31021903924566396,3.9091452328626097
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1972,0.0,,0.31021903924566396,3.9091452328626097
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1972,3.76472437724158,inf,0.752944875448316,7.673869610104189
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1973,0.0,-100.0,0.752944875448316,7.673869610104189
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1973,0.0,,0.752944875448316,7.673869610104189
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1973,0.0,,0.752944875448316,7.673869610104189
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1973,0.0,,0.752944875448316,7.673869610104189
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1973,3.96260088291364,inf,0.792520176582728,11.636470493017828
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1974,0.0,-100.0,0.792520176582728,11.636470493017828
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1974,0.0,,0.792520176582728,11.636470493017828
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1974,0.0,,0.792520176582728,11.636470493017828
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1974,0.0,,0.792520176582728,11.636470493017828
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1974,3.86453961166565,inf,0.77290792233313,15.501010104683479
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1975,2.94972490717081,-23.672022968359407,1.3628529037672918,18.450735011854288
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1975,0.0,-100.0,1.3628529037672918,18.450735011854288
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1975,3.87405485463058,inf,2.1376638746934082,22.324789866484867
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1975,0.0,-100.0,2.1376638746934082,22.324789866484867
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1975,2.73296940648889,inf,1.9113498336580559,25.057759272973758
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1976,4.48417970860859,64.07720108252222,2.218240793945612,29.541938981582348
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1976,0.0,-100.0,2.218240793945612,29.541938981582348
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1976,7.31278322210154,inf,2.9059864674398037,36.85472220368389
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1976,0.0,-100.0,2.9059864674398037,36.85472220368389
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1976,2.10762261753138,inf,2.780917109648302,38.96234482121527
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1977,4.79556709636532,127.53442938386574,2.8431945871996485,43.757911917580586
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1977,0.0,-100.0,2.8431945871996485,43.757911917580586
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1977,10.39104209832,inf,3.45884636244334,54.148954015900586
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1977,0.0,-100.0,3.45884636244334,54.148954015900586
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1977,2.02921927176799,inf,3.443165693290662,56.17817328766858
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1978,6.77318137362456,233.78262605023045,3.8386885487425104,62.95135466129314
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1978,0.0,-100.0,3.8386885487425104,62.95135466129314
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1978,10.5609207971402,inf,3.87266428850655,73.51227545843334
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1978,0.0,-100.0,3.87266428850655,73.51227545843334
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1978,2.26324595135487,inf,3.9194696244239267,75.77552140978821
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1979,4.14363051479129,83.0835271045441,3.3935594526572723,79.9191519245795
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1979,0.0,-100.0,3.3935594526572723,79.9191519245795
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1979,11.4128967757818,inf,3.563954648385592,91.3320487003613
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1979,0.0,-100.0,3.563954648385592,91.3320487003613
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1979,3.85095178037623,inf,3.881495814189864,95.18300048073753
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1980,2.27593871736305,-40.89931925502596,3.507957454704216,97.45893919810058
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1980,0.0,-100.0,3.507957454704216,97.45893919810058
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1980,8.25835240427036,inf,2.877048580401928,105.71729160237093
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1980,0.0,-100.0,2.877048580401928,105.71729160237093
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1980,3.63231323580731,inf,2.833320871488144,109.34960483817825
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1981,2.30893664319944,-36.43343805159852,2.8399204566554217,111.6585414813777
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1981,0.0,-100.0,2.8399204566554217,111.6585414813777
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1981,5.43298795763896,inf,2.274847567329142,117.09152943901665
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1981,0.0,-100.0,2.274847567329142,117.09152943901665
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1981,1.78822914055617,inf,1.9060307482789143,118.87975857957282
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1982,1.20605114563605,-32.55611832491739,1.6854536487662362,120.08580972520888
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1982,10.5326240049283,773.3148708526436,3.791978449751896,130.61843373013718
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1982,5.43167189869752,-48.43002184302795,3.791715237963608,136.0501056288347
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1982,0.0,-100.0,3.791715237963608,136.0501056288347
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1982,1.96432658888334,inf,3.826934727629042,138.01443221771805
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1983,1.74959096969052,-10.93176768099905,3.9356426924399366,139.76402318740858
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1983,11.3291646829965,547.5321877661772,4.094950828053576,151.09318787040507
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1983,5.31354411041866,-53.09853586651847,4.0713252703978045,156.40673198082374
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1983,0.0,-100.0,4.0713252703978045,156.40673198082374
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1983,2.09302519123477,inf,4.09706499086809,158.4997571720585
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1984,4.73164663954464,126.06735262241288,4.693476124838914,163.23140381160314
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1984,9.41101580026203,98.89515251645503,4.30984634829202,172.64241961186517
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1984,5.38431568252224,-42.78709337229755,4.324000662712736,178.0267352943874
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1984,0.0,-100.0,4.324000662712736,178.0267352943874
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1984,1.38657032020088,inf,4.182709688505958,179.4133056145883
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1985,4.68828267613567,238.12080121954818,4.174036895824164,184.10158829072395
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1985,4.90478599202417,4.617966339584134,3.272790934176592,189.0063742827481
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1985,5.60318320620935,14.239096574669441,3.316564438914014,194.60955748895745
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1985,0.0,-100.0,3.316564438914014,194.60955748895745
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1985,1.37431658528593,inf,3.3141136919310235,195.98387407424337
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1986,3.21768469902379,134.12980193019663,3.019994096508648,199.20155877326715
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1986,5.17138676410905,60.717635437617346,3.073314250925624,204.3729455373762
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1986,5.92852435619763,14.640900528719648,3.13838248092328,210.30146989357385
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1986,0.0,-100.0,3.13838248092328,210.30146989357385
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1986,1.47473421772556,inf,3.1584660074112056,211.77620411129942
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1987,3.22694865161209,118.81560845512351,3.160318797928866,215.0031527629115
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1987,6.72397003156083,108.36929116308465,3.470835451419222,221.72712279447234
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1987,5.78103245603521,-14.023524362834438,3.441337071386738,227.50815525050754
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1987,0.0,-100.0,3.441337071386738,227.50815525050754
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1987,1.89332432380644,inf,3.5250550926029143,229.40147957431398
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1988,3.3388383134453,76.34793318097354,3.547433024969556,232.7403178877593
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1988,5.52339377679073,65.42860894306732,3.307317774015536,238.26371166455002
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1988,3.99047331574288,-27.75323511224518,2.94920594595707,242.2541849802929
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1988,0.0,-100.0,2.9492059459570696,242.2541849802929
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1988,1.04768406176715,inf,2.780077893549212,243.30186904206005
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1989,3.05340498475129,191.44329824022043,2.72299122781041,246.35527402681134
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1989,5.08372316234093,66.49357644102413,2.63505710492045,251.43899718915227
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1989,3.15360768923916,-37.96657314858584,2.467683979619706,254.59260487839143
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1989,0.0,-100.0,2.467683979619706,254.59260487839143
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1989,1.05029678223895,inf,2.468206523714066,255.64290166063037
Total reserves in months of imports,FI.RES.TOTL.MO,Brazil,BRA,1990,2.9297685435826,178.94673135502921,2.4434792354803276,258.57267020421295
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,1990,8.50061506335467,190.1463012146307,3.1268576156830763,267.0732852675676
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,1990,2.03640277345519,-76.04405377401542,2.9034166325262825,269.10968804102276
Total reserves in months of imports,FI.RES.TOTL.MO,Russian Federation,RUS,1990,0.0,-100.0,2.9034166325262825,269.10968804102276
Total reserves in months of imports,FI.RES.TOTL.MO,South Africa,ZAF,1990,1.19465480077854,inf,2.9322882362342004,270.3043428418013
