SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Changes in inventories (current US$),NE.GDI.STKB.CD,Brazil,BRA,1970,723031940.384339,,,723031940.384339
Changes in inventories (current US$),NE.GDI.STKB.CD,China,CHN,1970,8083516126.41157,1018.0026323753623,,8806548066.795908
Changes in inventories (current US$),NE.GDI.STKB.CD,India,IND,1970,697248221.969091,-91.37444385505775,,9503796288.765
Changes in inventories (current US$),NE.GDI.STKB.CD,Russian Federation,RUS,1970,0.0,-100.0,,9503796288.765
Changes in inventories (current US$),NE.GDI.STKB.CD,South Africa,ZAF,1970,604799758.322016,inf,2021719209.417403,10108596047.087015
Changes in inventories (current US$),NE.GDI.STKB.CD,Brazil,BRA,1971,661824595.725197,9.428713655804577,2009477740.4855752,10770420642.812212
Changes in inventories (current US$),NE.GDI.STKB.CD,China,CHN,1971,8774067755.301,1225.7391478004502,2147588066.2634606,19544488398.113213
Changes in inventories (current US$),NE.GDI.STKB.CD,India,IND,1971,686179218.645217,-92.17946296082965,2145374265.5986855,20230667616.75843
Changes in inventories (current US$),NE.GDI.STKB.CD,Russian Federation,RUS,1971,0.0,-100.0,2145374265.5986855,20230667616.75843
Changes in inventories (current US$),NE.GDI.STKB.CD,South Africa,ZAF,1971,848693572.744308,inf,2194153028.483144,21079361189.50274
Changes in inventories (current US$),NE.GDI.STKB.CD,Brazil,BRA,1972,512345519.879448,-39.631271364204615,2164257213.3139944,21591706709.382187
Changes in inventories (current US$),NE.GDI.STKB.CD,China,CHN,1972,7527504342.79097,1369.2241955315915,1914944530.811988,29119211052.173157
Changes in inventories (current US$),NE.GDI.STKB.CD,India,IND,1972,-654945341.770297,-108.70069696336387,1646719618.7288852,28464265710.40286
Changes in inventories (current US$),NE.GDI.STKB.CD,Russian Federation,RUS,1972,0.0,-100.0,1646719618.7288854,28464265710.40286
Changes in inventories (current US$),NE.GDI.STKB.CD,South Africa,ZAF,1972,-225047899.599379,-inf,1431971324.2601483,28239217810.80348
Changes in inventories (current US$),NE.GDI.STKB.CD,Brazil,BRA,1973,1401277946.94908,-722.6576428589545,1609757809.6740744,29640495757.75256
Changes in inventories (current US$),NE.GDI.STKB.CD,China,CHN,1973,12013672464.0595,757.3368681221425,2506991433.92778,41654168221.81206
Changes in inventories (current US$),NE.GDI.STKB.CD,India,IND,1973,2694373885.27718,-77.57243762606515,3176855279.337276,44348542107.08924
Changes in inventories (current US$),NE.GDI.STKB.CD,Russian Federation,RUS,1973,0.0,-100.0,3176855279.3372755,44348542107.08924
Changes in inventories (current US$),NE.GDI.STKB.CD,South Africa,ZAF,1973,126808626.403116,inf,3247226584.537775,44475350733.492355
Changes in inventories (current US$),NE.GDI.STKB.CD,Brazil,BRA,1974,2707598495.86891,2035.1847840868793,3508490694.3217416,47182949229.36127
Changes in inventories (current US$),NE.GDI.STKB.CD,China,CHN,1974,9585967774.83174,254.03948515473877,3022949756.4761887,56768917004.19301
Changes in inventories (current US$),NE.GDI.STKB.CD,India,IND,1974,2626765762.10869,-72.5978031242151,3009428131.8424907,59395682766.3017
Changes in inventories (current US$),NE.GDI.STKB.CD,Russian Federation,RUS,1974,0.0,-100.0,3009428131.8424907,59395682766.3017
Changes in inventories (current US$),NE.GDI.STKB.CD,South Africa,ZAF,1974,1471720153.50864,inf,3278410437.2635956,60867402919.81033
