SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1970,0.0,,,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1970,0.0,,,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1970,0.0,,,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1970,0.0,,,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1970,12.3809523809524,inf,2.47619047619048,12.3809523809524
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1971,0.0,-100.0,2.47619047619048,12.3809523809524
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1971,0.0,,2.47619047619048,12.3809523809524
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1971,0.0,,2.47619047619048,12.3809523809524
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1971,0.0,,2.47619047619048,12.3809523809524
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1971,10.1402939998153,inf,2.02805879996306,22.5212463807677
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1972,0.0,-100.0,2.02805879996306,22.5212463807677
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1972,0.0,,2.02805879996306,22.5212463807677
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1972,0.0,,2.02805879996306,22.5212463807677
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1972,0.0,,2.02805879996306,22.5212463807677
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1972,10.4690015512737,inf,2.09380031025474,32.9902479320414
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1973,0.0,-100.0,2.09380031025474,32.9902479320414
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1973,0.0,,2.09380031025474,32.9902479320414
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1973,0.0,,2.09380031025474,32.9902479320414
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1973,0.0,,2.09380031025474,32.9902479320414
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1973,8.59684829393355,inf,1.7193696587867102,41.587096225974946
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1974,0.0,-100.0,1.7193696587867102,41.587096225974946
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1974,0.0,,1.7193696587867102,41.587096225974946
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1974,0.0,,1.7193696587867102,41.587096225974946
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1974,0.0,,1.7193696587867102,41.587096225974946
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1974,7.84183970304318,inf,1.5683679406086362,49.428935929018124
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1975,43.3962264150943,453.3934390198455,10.247613223627495,92.82516234411241
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1975,0.0,-100.0,10.247613223627495,92.82516234411241
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1975,38.5725083846037,inf,17.962114900548237,131.39767072871612
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1975,0.0,-100.0,17.962114900548237,131.39767072871612
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1975,6.97857373793668,inf,17.789461707526936,138.3762444666528
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1976,40.0785854616896,474.30912055590653,17.125933516845997,178.4548299283424
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1976,0.0,-100.0,17.125933516845997,178.4548299283424
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1976,38.6878470556109,inf,17.149001251047434,217.14267698395332
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1976,0.0,-100.0,17.149001251047434,217.14267698395332
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1976,6.6427289048474,inf,17.081832284429577,223.7854058888007
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1977,47.0588235294118,608.4260731319556,18.47787989797402,270.84422941821254
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1977,0.0,-100.0,18.47787989797402,270.84422941821254
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1977,32.6793216594609,inf,17.27617481874402,303.52355107767346
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1977,0.0,-100.0,17.27617481874402,303.52355107767346
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1977,5.9967585089141,inf,17.14698073955736,309.5203095865876
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1978,46.5185185185185,675.7277277277274,17.0389197373787,356.03882810510606
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1978,0.0,-100.0,17.0389197373787,356.03882810510606
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1978,34.4478278670883,inf,17.39262097890418,390.48665597219434
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1978,0.0,-100.0,17.39262097890418,390.48665597219434
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1978,6.44718792866941,inf,17.482706862855242,396.93384390086374
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1979,42.8474576271186,564.5914172376481,16.748494684575263,439.78130152798235
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1979,0.0,-100.0,16.748494684575263,439.78130152798235
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1979,36.9458889915335,inf,17.248106909464305,476.72719051951583
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1979,0.0,-100.0,17.248106909464305,476.72719051951583
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1979,6.45709447011149,inf,17.25008821775272,483.1842849896273
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1980,38.0541162924583,489.33807564071856,16.29141995082066,521.2384012820856
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1980,0.0,-100.0,16.29141995082066,521.2384012820856
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1980,31.5077838355887,inf,15.2037989196317,552.7461851176744
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1980,0.0,-100.0,15.2037989196317,552.7461851176744
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1980,6.66688431960141,inf,15.245756889529684,559.4130694372758
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1981,36.5121412803532,447.664239095964,14.937361887108661,595.9252107176289
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1981,0.0,-100.0,14.937361887108661,595.9252107176289
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1981,36.6523184516215,inf,15.966268810315222,632.5775291692504
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1981,0.0,-100.0,15.966268810315222,632.5775291692504
