SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Brazil,BRA,1970,0.0,,,0.0
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,China,CHN,1970,0.0,,,0.0
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,India,IND,1970,0.0,,,0.0
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Russian Federation,RUS,1970,0.0,,,0.0
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,South Africa,ZAF,1970,0.0,,0.0,0.0
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Brazil,BRA,1971,8.92838003007938,inf,1.7856760060158758,8.92838003007938
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,China,CHN,1971,0.0,-100.0,1.7856760060158758,8.92838003007938
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,India,IND,1971,-0.961073615169241,-inf,1.5934612829820278,7.967306414910139
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Russian Federation,RUS,1971,0.0,-100.0,1.5934612829820278,7.967306414910139
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,South Africa,ZAF,1971,0.0,,1.5934612829820278,7.967306414910139
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Brazil,BRA,1972,9.70459783882561,inf,1.7487048447312739,17.671904253735747
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,China,CHN,1972,0.0,-100.0,1.7487048447312739,17.671904253735747
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,India,IND,1972,-0.958700797572192,-inf,1.7491794082506835,16.713203456163555
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Russian Federation,RUS,1972,0.0,-100.0,1.7491794082506835,16.713203456163555
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,South Africa,ZAF,1972,1.54792030431142,inf,2.0587634691129675,18.261123760474973
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Brazil,BRA,1973,9.58084108155902,518.9492478956131,2.0340121176596497,27.841964842033995
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,China,CHN,1973,0.0,-100.0,2.0340121176596497,27.841964842033995
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,India,IND,1973,1.73417061130424,inf,2.572586399434936,29.576135453338235
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Russian Federation,RUS,1973,0.0,-100.0,2.572586399434936,29.576135453338235
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,South Africa,ZAF,1973,10.9506616100828,inf,4.453134660589212,40.526797063421036
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Brazil,BRA,1974,2.70272537224136,-75.31906775611776,3.07751151872568,43.229522435662396
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,China,CHN,1974,0.0,-100.0,3.07751151872568,43.229522435662396
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,India,IND,1974,-6.4562899391848,-inf,1.439419408627872,36.7732324964776
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Russian Federation,RUS,1974,0.0,-100.0,1.439419408627872,36.7732324964776
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,South Africa,ZAF,1974,2.77973160293176,inf,-0.1947665928023361,39.55296409940936
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Brazil,BRA,1975,0.518431384989483,-81.34958841196402,-0.6316253902527115,40.07139548439884
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,China,CHN,1975,0.0,-100.0,-0.6316253902527115,40.07139548439884
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,India,IND,1975,2.47699767151155,inf,1.1550321318865584,42.54839315591039
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Russian Federation,RUS,1975,0.0,-100.0,1.1550321318865584,42.54839315591039
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,South Africa,ZAF,1975,-8.10192303070009,-inf,-1.0212987948398116,34.4464701252103
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Brazil,BRA,1976,11.1772010998681,-237.95738440756668,1.1104551481359117,45.6236712250784
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,China,CHN,1976,0.0,-100.0,1.1104551481359117,45.6236712250784
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,India,IND,1976,5.23886144408642,inf,1.6628279026508856,50.862532669164814
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Russian Federation,RUS,1976,0.0,-100.0,1.6628279026508856,50.862532669164814
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,South Africa,ZAF,1976,-4.53747591148873,-inf,2.3757173264931573,46.32505675767608
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Brazil,BRA,1977,4.39228418807693,-196.8001654169848,1.018733944134924,50.71734094575301
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,China,CHN,1977,0.0,-100.0,1.018733944134924,50.71734094575301
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,India,IND,1977,4.91071716963867,inf,0.953105089245374,55.62805811539168
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Russian Federation,RUS,1977,0.0,-100.0,0.953105089245374,55.62805811539168
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,South Africa,ZAF,1977,-3.2859749567659,-inf,1.2034052801899402,52.34208315862578
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Brazil,BRA,1978,-0.655074173620463,-80.06454150626894,0.1939336078504615,51.68700898500532
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,China,CHN,1978,0.0,-100.0,0.1939336078504615,51.68700898500532
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,India,IND,1978,2.08373935558551,inf,-0.37146195496017054,53.77074834059083
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Russian Federation,RUS,1978,0.0,-100.0,-0.37146195496017054,53.77074834059083
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,South Africa,ZAF,1978,2.22827113832534,inf,0.7313872640580774,55.99901947891617
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Brazil,BRA,1979,3.99817965947933,79.42967490411277,1.6620380306780362,59.9971991383955
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,China,CHN,1979,0.0,-100.0,1.6620380306780362,59.9971991383955
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,India,IND,1979,-5.10180806249707,-inf,0.22492854706152005,54.89539107589843
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Russian Federation,RUS,1979,0.0,-100.0,0.22492854706152005,54.89539107589843
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,South Africa,ZAF,1979,0.536504540478361,inf,-0.11342477250787572,55.43189561637679
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Brazil,BRA,1980,3.0005909338725,459.2852823197166,-0.31294251762924186,58.432486550249294
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,China,CHN,1980,0.0,-100.0,-0.31294251762924175,58.432486550249294
