SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Brazil,BRA,1970,1.9e-09,,,1.9e-09
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,China,CHN,1970,7297876930.0,3.840987857894737e+20,,7297876930.0
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,India,IND,1970,-24292961971.2982,-432.87711212880373,,-16995085041.298199
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Russian Federation,RUS,1970,0.0,-100.0,,-16995085041.298199
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,South Africa,ZAF,1970,549000000.0,inf,-3289217008.2596397,-16446085041.298199
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Brazil,BRA,1971,-3.29999999e-09,-100.0,-3289217008.2596397,-16446085041.298199
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,China,CHN,1971,6134953080.00002,-1.8590766965426625e+20,-3521801778.259636,-10311131961.29818
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,India,IND,1971,-36200219663.8702,-690.0651429899784,-5903253316.774036,-46511351625.16838
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Russian Federation,RUS,1971,0.0,-100.0,-5903253316.774036,-46511351625.16838
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,South Africa,ZAF,1971,90000000.0,inf,-5995053316.774036,-46421351625.16838
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Brazil,BRA,1972,1.13e-08,-99.99999999999999,-5995053316.774036,-46421351625.16838
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,China,CHN,1972,9517820290.0,8.422849814159293e+19,-5318479874.77404,-36903531335.16838
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,India,IND,1972,-33487995433.3104,-451.84521679291333,-4776035028.66208,-70391526768.47878
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Russian Federation,RUS,1972,0.0,-100.0,-4776035028.66208,-70391526768.47878
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,South Africa,ZAF,1972,-4000000.0,-inf,-4794835028.66208,-70395526768.47878
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Brazil,BRA,1973,-1.209999999e-08,-99.9999999999997,-4794835028.66208,-70395526768.47878
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,China,CHN,1973,8567525390.00001,-7.080599501719513e+19,-4984894008.662077,-61828001378.47877
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,India,IND,1973,-43420031369.2649,-606.7978137531361,-6971301195.852979,-105248032747.74367
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Russian Federation,RUS,1973,0.0,-100.0,-6971301195.852977,-105248032747.74367
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,South Africa,ZAF,1973,809000000.000002,inf,-6808701195.852976,-104439032747.74367
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Brazil,BRA,1974,-2.1e-09,-100.0,-6808701195.852976,-104439032747.74367
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,China,CHN,1974,9442075710.0,-4.496226528571428e+20,-6633791131.852979,-94996957037.74367
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,India,IND,1974,-65828023609.374,-797.1774600330334,-11115389579.874798,-160824980647.11768
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Russian Federation,RUS,1974,0.0,-100.0,-11115389579.874798,-160824980647.11768
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,South Africa,ZAF,1974,1458000000.0,inf,-10985589579.874798,-159366980647.11768
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Brazil,BRA,1975,-7.79999998e-09,-100.0,-10985589579.874798,-159366980647.11768
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,China,CHN,1975,9474721040.0,-1.2147078287556611e+20,-10979060513.874798,-149892259607.11768
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,India,IND,1975,-44139398433.3141,-565.8648866490965,-6641335478.662819,-194031658040.43176
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Russian Federation,RUS,1975,0.0,-100.0,-6641335478.662819,-194031658040.43176
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,South Africa,ZAF,1975,58000000.0,inf,-6921335478.662819,-193973658040.43176
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Brazil,BRA,1976,5.50000002e-09,-99.99999999999999,-6921335478.662819,-193973658040.43176
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,China,CHN,1976,2308395470.0,4.197082657465154e+19,-8354600592.662819,-191665262570.43176
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,India,IND,1976,-41446199166.8561,-1895.4548822111533,-7815960739.371219,-233111461737.28787
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Russian Federation,RUS,1976,0.0,-100.0,-7815960739.371219,-233111461737.28787
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,South Africa,ZAF,1976,56000000.0,inf,-7816360739.371219,-233055461737.28787
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Brazil,BRA,1977,-2.900000009e-08,-100.00000000000004,-7816360739.371219,-233055461737.28787
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,China,CHN,1977,8670671620.00003,-2.989886756238293e+19,-6543905509.371213,-224384790117.28784
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,India,IND,1977,-53863507405.1058,-721.2149388850412,-9027367157.021152,-278248297522.3936
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Russian Federation,RUS,1977,0.0,-100.0,-9027367157.021152,-278248297522.3936
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,South Africa,ZAF,1977,-1616000000.0,-inf,-9361767157.021152,-279864297522.3936
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Brazil,BRA,1978,-1.52e-08,-100.0,-9361767157.021152,-279864297522.3936
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,China,CHN,1978,8155171529.99999,-5.3652444276315726e+19,-9464867175.02116,-271709125992.39362
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,India,IND,1978,-100977714856.194,-1338.2046715355123,-18887708665.2388,-372686840848.58765
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Russian Federation,RUS,1978,0.0,-100.0,-18887708665.2388,-372686840848.58765
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,South Africa,ZAF,1978,-902000000.0,-inf,-18744908665.2388,-373588840848.58765
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Brazil,BRA,1979,-8.289999988e-08,-99.99999999999999,-18744908665.2388,-373588840848.58765
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,China,CHN,1979,6433204410.0,-7.760198334514159e+18,-19089302089.238796,-367155636438.58765
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,India,IND,1979,-82822755092.879,-1387.4261381176757,-15458310136.575796,-449978391531.4667
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Russian Federation,RUS,1979,0.0,-100.0,-15458310136.575796,-449978391531.4667
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,South Africa,ZAF,1979,-1934000000.00001,-inf,-15664710136.5758,-451912391531.4667
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Brazil,BRA,1980,-2.4250000021e-07,-99.99999999999999,-15664710136.5758,-451912391531.4667
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,China,CHN,1980,5996245850.0,-2.472678698889639e+18,-15752101848.5758,-445916145681.4667
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,India,IND,1980,-80446224970.5393,-1441.6098502788925,-15276795824.10786,-526362370652.006
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Russian Federation,RUS,1980,0.0,-100.0,-15276795824.10786,-526362370652.006
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,South Africa,ZAF,1980,-1914000000.0,-inf,-15272795824.107859,-528276370652.006
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Brazil,BRA,1981,-4.1900000005e-07,-99.99999999999997,-15272795824.107859,-528276370652.006
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,China,CHN,1981,3143740609.99997,-7.50296088215948e+17,-15843296872.107864,-525132630042.006
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,India,IND,1981,-68478356137.636,-2278.2444747449013,-13449723105.527203,-593610986179.642
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Russian Federation,RUS,1981,0.0,-100.0,-13449723105.527203,-593610986179.642
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,South Africa,ZAF,1981,-156000000.000004,-inf,-13098123105.527205,-593766986179.642
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Brazil,BRA,1982,-8.368e-07,-99.99999999999946,-13098123105.527205,-593766986179.642
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,China,CHN,1982,-4797022470.00006,5.732579433556476e+17,-14686275721.52721,-598564008649.642
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,India,IND,1982,-80045554362.411,1568.6508112689744,-16999715366.482208,-678609563012.053
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Russian Federation,RUS,1982,0.0,-100.0,-16999715366.482208,-678609563012.053
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,South Africa,ZAF,1982,1909000000.00001,inf,-16586715366.482204,-676700563012.053
