SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1970,7.02943634908589,,,7.02943634908589
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1970,2.49155590647892,-64.55539558583638,,9.52099225556481
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1970,3.78282506203901,51.82581503398487,,13.30381731760382
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1970,0.0,-100.0,,13.30381731760382
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1970,21.1994527211919,inf,6.900654007759144,34.50327003879572
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1971,6.41330674313925,-69.7477721359843,6.777428086569816,40.91657678193497
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1971,2.78806626236314,-56.52685308798424,6.83673015774666,43.70464304429811
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1971,3.66720521708832,31.53221164765394,6.813606188756522,47.37184826138643
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1971,0.0,-100.0,6.813606188756522,47.37184826138643
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1971,21.2748401292718,inf,6.828683670372501,68.64668839065823
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1972,7.259175691336,-65.87905879796396,6.997857460011852,75.90586408199422
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1972,3.24792352295878,-55.25768129795709,7.08982891213098,79.15378760495301
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1972,4.02748926158673,24.001973356742855,7.161885721030663,83.18127686653975
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1972,0.0,-100.0,7.161885721030663,83.18127686653975
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1972,24.631502009989,inf,7.833218097174102,107.81277887652874
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1973,8.27167782462644,-66.41829710071288,8.035718523832191,116.08445670115518
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1973,4.24134678180103,-48.72446833974007,8.23440317560064,120.3258034829562
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1973,4.20876319232271,-0.7682368633032177,8.270657961747835,124.53456667527891
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1973,0.0,-100.0,8.270657961747835,124.53456667527891
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1973,24.6237088047221,inf,8.269099320694457,149.158275480001
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1974,8.01311941176138,-67.4577072231105,8.217387638121446,157.1713948917624
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1974,4.92980160554514,-38.478370878769795,8.355078602870266,162.10119649730754
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1974,4.83132100338351,-1.9976585274923964,8.479590165082426,166.93251750069106
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1974,0.0,-100.0,8.479590165082426,166.93251750069106
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1974,27.1611355457817,inf,8.987075513294347,194.09365304647275
