SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1970,4120.32341307412,,,4120.32341307412
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1970,0.0,-100.0,,4120.32341307412
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1970,344.987343227426,inf,,4465.3107563015465
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1970,0.0,-100.0,,4465.3107563015465
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1970,0.0,,893.0621512603093,4465.3107563015465
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1971,4488.20154586171,inf,966.6377778178272,8953.512302163257
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1971,0.0,-100.0,966.6377778178272,8953.512302163257
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1971,341.671760895994,inf,965.9746613515408,9295.18406305925
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1971,0.0,-100.0,965.9746613515408,9295.18406305925
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1971,4087.34822087197,inf,1783.4443055259349,13382.532283931221
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1972,4923.76345608355,20.463517909740126,1870.556687570303,18306.29574001477
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1972,0.0,-100.0,1870.556687570303,18306.29574001477
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1972,338.396150999205,inf,1869.9015655909454,18644.691891013976
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1972,0.0,-100.0,1869.9015655909454,18644.691891013976
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1972,4150.61711389076,inf,1882.5553441947031,22795.309004904735
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1973,5395.50140804279,29.992751920812168,1976.902934586551,28190.810412947525
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1973,0.0,-100.0,1976.902934586551,28190.810412947525
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1973,344.264517599618,inf,1978.0766079066336,28535.074930547144
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1973,0.0,-100.0,1978.0766079066336,28535.074930547144
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1973,4605.13714876312,inf,2068.9806148811053,33140.212079310266
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1974,5541.3269935576,20.329250021270884,2098.1457319840674,38681.53907286787
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1974,0.0,-100.0,2098.1457319840674,38681.53907286787
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1974,322.037802185651,inf,2093.700388901274,39003.57687505352
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1974,0.0,-100.0,2093.700388901274,39003.57687505352
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1974,4733.14760144564,inf,2119.3024794377784,43736.72447649916
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1975,5570.05497183709,17.681835447849426,2125.0480750936763,49306.77944833625
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1975,0.0,-100.0,2125.0480750936763,49306.77944833625
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1975,330.014671047177,inf,2126.6434488659816,49636.79411938343
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1975,0.0,-100.0,2126.6434488659816,49636.79411938343
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1975,4349.67162584708,inf,2049.9482537462695,53986.465745230504
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1976,6192.63121741253,42.37008560862434,2174.463502861357,60179.09696264303
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1976,0.0,-100.0,2174.463502861357,60179.09696264303
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1976,347.303682408496,inf,2177.9213051336214,60526.40064505153
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1976,0.0,-100.0,2177.9213051336214,60526.40064505153
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1976,4152.30632359541,inf,2138.448244683287,64678.70696864694
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1977,6464.62917920086,55.68767512323729,2192.847837040953,71143.3361478478
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1977,0.0,-100.0,2192.847837040953,71143.3361478478
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1977,364.358783971317,inf,2196.258857353517,71507.69493181912
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1977,0.0,-100.0,2196.258857353517,71507.69493181912
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1977,4015.86257767386,inf,2168.9701081692074,75523.55750949298
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1978,6422.28106302758,59.92282949949968,2160.5004849345514,81945.83857252056
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1978,0.0,-100.0,2160.5004849345514,81945.83857252056
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1978,371.95107134846,inf,2162.01894240998,82317.78964386902
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1978,0.0,-100.0,2162.01894240998,82317.78964386902
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1978,4105.34688444697,inf,2179.915803764602,86423.136528316
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1979,6679.05539816414,62.69162110192483,2231.270670791914,93102.19192648014
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1979,0.0,-100.0,2231.270670791914,93102.19192648014
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1979,352.97484160186,inf,2227.475424842594,93455.166768082
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1979,0.0,-100.0,2227.475424842594,93455.166768082
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1979,4127.37225688442,inf,2231.8804993300837,97582.53902496642
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1980,6879.46652890978,66.67909024767253,2271.9627254792117,104462.0055538762
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1980,0.0,-100.0,2271.9627254792117,104462.0055538762
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1980,375.030224083598,inf,2276.3738019755597,104837.0357779598
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1980,0.0,-100.0,2276.3738019755597,104837.0357779598
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1980,4437.4642636087,inf,2338.392203320416,109274.50004156849
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1981,6443.2566074702,45.201318246342794,2251.1502190324995,115717.7566490387
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1981,0.0,-100.0,2251.1502190324995,115717.7566490387
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1981,378.73957341648,inf,2251.892088899076,116096.49622245517
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1981,0.0,-100.0,2251.892088899076,116096.49622245517
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1981,4350.62690642166,inf,2234.524617461668,120447.12312887683
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1982,6293.7086648546,44.66210962757782,2204.615028938548,126740.83179373143
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1982,0.0,-100.0,2204.615028938548,126740.83179373143
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1982,375.021297001286,inf,2203.871373655509,127115.85309073271
