SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Brazil,BRA,1970,0.0,,,0.0
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,China,CHN,1970,0.0,,,0.0
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,India,IND,1970,0.0,,,0.0
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Russian Federation,RUS,1970,0.0,,,0.0
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,South Africa,ZAF,1970,4080998369.23305,inf,816199673.84661,4080998369.23305
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Brazil,BRA,1971,0.0,-100.0,816199673.84661,4080998369.23305
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,China,CHN,1971,0.0,,816199673.84661,4080998369.23305
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,India,IND,1971,0.0,,816199673.84661,4080998369.23305
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Russian Federation,RUS,1971,0.0,,816199673.84661,4080998369.23305
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,South Africa,ZAF,1971,4528100013.38086,inf,905620002.676172,8609098382.61391
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Brazil,BRA,1972,0.0,-100.0,905620002.676172,8609098382.61391
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,China,CHN,1972,0.0,,905620002.676172,8609098382.61391
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,India,IND,1972,0.0,,905620002.676172,8609098382.61391
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Russian Federation,RUS,1972,0.0,,905620002.676172,8609098382.61391
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,South Africa,ZAF,1972,5468536792.97941,inf,1093707358.595882,14077635175.59332
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Brazil,BRA,1973,0.0,-100.0,1093707358.595882,14077635175.59332
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,China,CHN,1973,0.0,,1093707358.595882,14077635175.59332
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,India,IND,1973,0.0,,1093707358.595882,14077635175.59332
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Russian Federation,RUS,1973,0.0,,1093707358.595882,14077635175.59332
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,South Africa,ZAF,1973,7612146658.6707,inf,1522429331.73414,21689781834.264023
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Brazil,BRA,1974,0.0,-100.0,1522429331.73414,21689781834.264023
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,China,CHN,1974,0.0,,1522429331.73414,21689781834.264023
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,India,IND,1974,0.0,,1522429331.73414,21689781834.264023
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Russian Federation,RUS,1974,0.0,,1522429331.73414,21689781834.264023
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,South Africa,ZAF,1974,10300451114.0176,inf,2060090222.8035197,31990232948.281624
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Brazil,BRA,1975,9939000000.0,-3.509080427804856,4047890222.80352,41929232948.281624
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,China,CHN,1975,0.0,-100.0,4047890222.80352,41929232948.281624
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,India,IND,1975,5636968909.07184,inf,5175284004.6178875,47566201857.35346
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Russian Federation,RUS,1975,0.0,-100.0,5175284004.6178875,47566201857.35346
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,South Africa,ZAF,1975,10630747388.8178,inf,5241343259.577929,58196949246.171265
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Brazil,BRA,1976,11283000000.0,6.135529209059065,5510143259.577929,69479949246.17126
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,China,CHN,1976,0.0,-100.0,5510143259.577929,69479949246.17126
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,India,IND,1976,6661560791.73256,inf,5715061636.110072,76141510037.90382
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Russian Federation,RUS,1976,0.0,-100.0,5715061636.110072,76141510037.90382
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,South Africa,ZAF,1976,10206249991.125,inf,5630162156.571512,86347760029.02882
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Brazil,BRA,1977,13510000000.0,32.36987151743125,6075562156.571512,99857760029.02882
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,China,CHN,1977,0.0,-100.0,6075562156.571512,99857760029.02882
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,India,IND,1977,7840968128.7459,inf,6311443623.97418,107698728157.77472
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Russian Federation,RUS,1977,0.0,-100.0,6311443623.97418,107698728157.77472
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,South Africa,ZAF,1977,12178499989.41,inf,6705893623.63118,119877228147.18472
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Brazil,BRA,1978,14489000000.0,18.971958883270766,6901693623.63118,134366228147.18472
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,China,CHN,1978,0.0,-100.0,6901693623.63118,134366228147.18472
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,India,IND,1978,8514619552.169,inf,7036423908.315801,142880847699.35373
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Russian Federation,RUS,1978,0.0,-100.0,7036423908.315801,142880847699.35373
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,South Africa,ZAF,1978,15067299986.898,inf,7614183907.8134,157948147686.25174
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Brazil,BRA,1979,17998000000.0,19.450731157210875,8315983907.8134,175946147686.25174
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,China,CHN,1979,0.0,-100.0,8315983907.8134,175946147686.25174
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,India,IND,1979,10428503619.9773,inf,8698760721.375061,186374651306.22903
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Russian Federation,RUS,1979,0.0,-100.0,8698760721.375061,186374651306.22903
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,South Africa,ZAF,1979,20293956279.768,inf,9744091979.94906,206668607585.99704
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Brazil,BRA,1980,23275000000.0,14.68931774138067,10799491979.94906,229943607585.99704
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,China,CHN,1980,0.0,-100.0,10799491979.94906,229943607585.99704
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,India,IND,1980,12332288192.5845,inf,11180248894.470499,242275895778.58154
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Russian Federation,RUS,1980,0.0,-100.0,11180248894.470499,242275895778.58154
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,South Africa,ZAF,1980,29075651843.6665,inf,12936588007.2502,271351547622.24805
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Brazil,BRA,1981,26923000000.0,-7.40362367537225,13666188007.2502,298274547622.24805
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,China,CHN,1981,0.0,-100.0,13666188007.2502,298274547622.24805
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,India,IND,1981,12206338970.0868,inf,13640998162.75066,310480886592.33484
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Russian Federation,RUS,1981,0.0,-100.0,13640998162.75066,310480886592.33484
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,South Africa,ZAF,1981,24166479791.9631,inf,12659163752.409979,334647366384.2979
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Brazil,BRA,1982,23469000000.0,-2.8861455949205195,11968363752.409979,358116366384.2979
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,China,CHN,1982,24729000000.0,5.36878435382846,16914163752.409979,382845366384.2979
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,India,IND,1982,12766863800.6515,-48.37290711047151,17026268718.522923,395612230184.9494
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Russian Federation,RUS,1982,0.0,-100.0,17026268718.522919,395612230184.9494
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,South Africa,ZAF,1982,20548519519.701,inf,16302676664.070501,416160749704.6504
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Brazil,BRA,1983,24341000000.0,18.456222486797348,16477076664.070501,440501749704.6504
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,China,CHN,1983,24735000000.0,1.6186680908754747,16478276664.070501,465236749704.6504
