SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Brazil,BRA,1970,-0.420322798601656,,,-0.420322798601656
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,China,CHN,1970,0.0307057946220994,-107.30528886947187,,-0.3896170039795566
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,India,IND,1970,-0.096119213885802,-413.0328169935183,,-0.4857362178653586
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Russian Federation,RUS,1970,0.0,-100.0,,-0.4857362178653586
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,South Africa,ZAF,1970,-3.43569474004257,-inf,-0.7842861915815857,-3.921430957907929
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Brazil,BRA,1971,-1.72466668928719,-49.80151556579149,-1.0451549697186926,-5.646097647195119
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,China,CHN,1971,0.65529732589849,-137.99559242193786,-0.9202366634634144,-4.9908003212966285
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,India,IND,1971,-0.335196124304047,-151.15176135419958,-0.9680520455470635,-5.325996445600675
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Russian Federation,RUS,1971,0.0,-100.0,-0.9680520455470635,-5.325996445600675
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,South Africa,ZAF,1971,-4.07756308877123,-inf,-1.0964257152927954,-9.403559534371905
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Brazil,BRA,1972,-1.584899873182,-61.131199231558476,-1.0684723520717576,-10.988459407553904
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,China,CHN,1972,0.740479548660085,-146.72090402615945,-1.0514359075194384,-10.24797985889382
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,India,IND,1972,0.318578925860344,-56.97667458381262,-0.9206808974865602,-9.929400933033476
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Russian Federation,RUS,1972,0.0,-100.0,-0.9206808974865602,-9.929400933033476
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,South Africa,ZAF,1972,2.46071385065172,inf,0.3869744903980298,-7.468687082381756
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Brazil,BRA,1973,-1.22990317340635,-149.98156015095415,0.4579738303531598,-8.698590255788105
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,China,CHN,1973,0.482548436252813,-139.2346687679765,0.40638760787170536,-8.216041819535292
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,India,IND,1973,-0.514569634114367,-206.63585154481314,0.23975789587676322,-8.730611453649658
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Russian Federation,RUS,1973,0.0,-100.0,0.23975789587676322,-8.730611453649658
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,South Africa,ZAF,1973,2.52336448598131,inf,0.2522880229426812,-6.207246967668349
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Brazil,BRA,1974,-5.87060866892905,-332.6500472501511,-0.6758530761618587,-12.077855636597398
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,China,CHN,1974,-0.473883368108357,-91.92786651550382,-0.8671394370340929,-12.551739004705755
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,India,IND,1974,-1.18924824698671,150.95800507494906,-1.0020751596085613,-13.740987251692465
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Russian Federation,RUS,1974,0.0,-100.0,-1.0020751596085613,-13.740987251692465
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,South Africa,ZAF,1974,-0.547780887644938,-inf,-1.616304234333811,-14.288768139337403
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Brazil,BRA,1975,-3.96700749119861,624.1960390867005,-1.2355839987877228,-18.255775630536014
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,China,CHN,1975,-0.144760651422931,-96.35088535264671,-1.1697594554506376,-18.400536281958946
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,India,IND,1975,-0.999853898271381,590.6945281354252,-1.131880585707572,-19.40039018023033
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Russian Federation,RUS,1975,0.0,-100.0,-1.131880585707572,-19.40039018023033
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,South Africa,ZAF,1975,-2.39125807138296,-inf,-1.5005760224551765,-21.79164825161329
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Brazil,BRA,1976,-2.39690426591769,0.23611815898501032,-1.1865553773989923,-24.18855251753098
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,China,CHN,1976,0.184032657431573,-107.67793107335947,-1.1207967156280914,-24.004519860099407
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,India,IND,1976,0.571822650658715,210.71803159247975,-0.8064614058420723,-23.432697209440693
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Russian Federation,RUS,1976,0.0,-100.0,-0.8064614058420723,-23.432697209440693
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,South Africa,ZAF,1976,-1.1844544283515,-inf,-0.5651006772357803,-24.617151637792194
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Brazil,BRA,1977,-0.665379165373752,-43.82399614142914,-0.21879565712699273,-25.282530803165947
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,China,CHN,1977,0.212307692307693,-131.90777580004885,-0.2131406501517687,-25.070223110858255
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,India,IND,1977,0.11824248992473,-44.30607358617809,-0.30385668229856566,-24.951980620933526
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Russian Federation,RUS,1977,0.0,-100.0,-0.30385668229856566,-24.951980620933526
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,South Africa,ZAF,1977,4.85728026252511,inf,0.9044902558767565,-20.094700358408417
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Brazil,BRA,1978,-1.18881548965859,-124.47492064294785,0.7998029910197888,-21.283515848067008
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,China,CHN,1978,-0.538233246491291,-54.72524953002896,0.649694803259992,-21.8217490945583
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,India,IND,1978,-0.273361373478997,-49.21135487987359,0.5713740305792466,-22.095110468037298
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Russian Federation,RUS,1978,0.0,-100.0,0.5713740305792466,-22.095110468037298
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,South Africa,ZAF,1978,6.5128066333686,inf,0.9024793047479445,-15.582303834668698
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Brazil,BRA,1979,-2.05166283836381,-131.50197685667558,0.7299098350069005,-17.633966673032507
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,China,CHN,1979,-0.760891415914635,-62.91342799183115,0.6853782011222318,-18.394858088947142
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,India,IND,1979,-1.41952821678359,86.56120795859366,0.45614483246131315,-19.814386305730732
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Russian Federation,RUS,1979,0.0,-100.0,0.45614483246131315,-19.814386305730732
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,South Africa,ZAF,1979,9.16376521972022,inf,0.9863365497316373,-10.650621086010512
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Brazil,BRA,1980,-2.25310088176313,-124.58706468073306,0.9460489410517733,-12.903721967773642
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,China,CHN,1980,-0.601624244496966,-73.29794465189796,0.9779023753353071,-13.505346212270608
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,India,IND,1980,-3.10547458413088,416.1817550633202,0.6407131018658491,-16.610820796401487
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Russian Federation,RUS,1980,0.0,-100.0,0.6407131018658491,-16.610820796401487
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,South Africa,ZAF,1980,7.79538280621403,inf,0.36703661916461083,-8.815437990187458
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Brazil,BRA,1981,-0.379094787497041,-104.86306826644676,0.7418378380178285,-9.194532777684499
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,China,CHN,1981,-0.0020260005412724,-99.46556887404098,0.8617574868089672,-9.196558778225771
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,India,IND,1981,-2.63521150843284,129969.63496553824,0.9558101019485754,-11.83177028665861
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Russian Federation,RUS,1981,0.0,-100.0,0.9558101019485754,-11.83177028665861
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,South Africa,ZAF,1981,-1.94684837251476,-inf,-0.9926361337971825,-13.77861865917337
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Brazil,BRA,1982,-0.664796321906626,-65.85269139127136,-1.0497764406790995,-14.443414981079997
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,China,CHN,1982,2.34629042965759,-452.9337260664235,-0.5801131546393268,-12.097124551422407
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,India,IND,1982,-2.1593280522919,-192.03157567356337,-0.48493646341113894,-14.256452603714308
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Russian Federation,RUS,1982,0.0,-100.0,-0.48493646341113894,-14.256452603714308
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,South Africa,ZAF,1982,-0.401630007163576,-inf,-0.17589279034090216,-14.658082610877884
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Brazil,BRA,1983,2.41348039827048,-700.9213343682054,0.439762553694519,-12.244602212607404
