SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,Brazil,BRA,1970,-0.0002970001,,,-0.0002970001
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,China,CHN,1970,70000000.0,-23569015633428.07,,69999999.999703
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,India,IND,1970,-450000000.0,-742.8571428571429,,-380000000.000297
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,Russian Federation,RUS,1970,0.0,-100.0,,-380000000.000297
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,South Africa,ZAF,1970,-452000000.0,-inf,-166400000.00005943,-832000000.0002971
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,Brazil,BRA,1971,-0.001631,-99.99999999963916,-166400000.00032622,-832000000.0019281
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,China,CHN,1971,1610000000.0,-98712446352031.33,141599999.99967378,777999999.9980719
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,India,IND,1971,-1680000000.0,-204.34782608695653,-104400000.0003262,-902000000.0019281
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,Russian Federation,RUS,1971,0.0,-100.0,-104400000.00032619,-902000000.0019281
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,South Africa,ZAF,1971,-593000000.0,-inf,-132600000.0003262,-1495000000.001928
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,Brazil,BRA,1972,-0.0020009996,-99.99999999966256,-132600000.00040022,-1495000000.0039291
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,China,CHN,1972,1890000000.0,-94452792494411.34,-76600000.00040016,394999999.99607086
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,India,IND,1972,1760000000.0,-6.8783068783068835,611399999.9995998,2154999999.996071
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,Russian Federation,RUS,1972,0.0,-100.0,611399999.9995998,2154999999.996071
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,South Africa,ZAF,1972,404000000.0,inf,810799999.9995998,2558999999.996071
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,Brazil,BRA,1973,-0.0021710004,-100.00000000053737,810799999.9995658,2558999999.9939
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,China,CHN,1973,1330000000.0,-61262079914963.22,698799999.9995658,3888999999.9939
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,India,IND,1973,-3460000000.0,-360.1503759398496,-345200000.00043416,428999999.9938998
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,Russian Federation,RUS,1973,0.0,-100.0,-345200000.00043416,428999999.9938998
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,South Africa,ZAF,1973,513000000.0,inf,-323400000.00043416,941999999.9938998
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,Brazil,BRA,1974,-0.0152319986,-100.0000000029692,-323400000.0030464,941999999.9786679
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,China,CHN,1974,-1340000000.0,8797269716035.61,-857400000.0030464,-398000000.02133214
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,India,IND,1974,-9440000000.0,604.4776119402985,-2053400000.0030465,-9838000000.021332
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,Russian Federation,RUS,1974,0.0,-100.0,-2053400000.0030465,-9838000000.021332
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,South Africa,ZAF,1974,-136999999.999999,-inf,-2183400000.003046,-9975000000.02133
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,Brazil,BRA,1975,-0.0144960005,-99.99999998941898,-2183400000.002899,-9975000000.035826
