SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,Brazil,BRA,1970,3563841591.8,,,3563841591.8
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,China,CHN,1970,0.0,-100.0,,3563841591.8
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,India,IND,1970,8042121119.4,inf,,11605962711.2
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,Russian Federation,RUS,1970,0.0,-100.0,,11605962711.2
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,South Africa,ZAF,1970,0.0,,2321192542.2400002,11605962711.2
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,Brazil,BRA,1971,4376151343.7,inf,2483654492.62,15982114054.900002
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,China,CHN,1971,0.0,-100.0,2483654492.62,15982114054.900002
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,India,IND,1971,8910742281.7,inf,2657378725.08,24892856336.600002
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,Russian Federation,RUS,1971,0.0,-100.0,2657378725.08,24892856336.600002
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,South Africa,ZAF,1971,0.0,,2657378725.08,24892856336.600002
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,Brazil,BRA,1972,6209808907.8,inf,3024110237.9,31102665244.4
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,China,CHN,1972,0.0,-100.0,3024110237.9,31102665244.4
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,India,IND,1972,9579268976.8,inf,3157815576.9199996,40681934221.2
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,Russian Federation,RUS,1972,0.0,-100.0,3157815576.9199996,40681934221.2
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,South Africa,ZAF,1972,0.0,,3157815576.9199996,40681934221.2
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,Brazil,BRA,1973,8114945243.1,inf,3538842843.9800005,48796879464.299995
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,China,CHN,1973,0.0,-100.0,3538842843.9800005,48796879464.299995
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,India,IND,1973,10374020720.3,inf,3697793192.6800003,59170900184.59999
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,Russian Federation,RUS,1973,0.0,-100.0,3697793192.6800003,59170900184.59999
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,South Africa,ZAF,1973,0.0,,3697793192.6800003,59170900184.59999
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,Brazil,BRA,1974,11580997097.7,inf,4391003563.6,70751897282.29999
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,China,CHN,1974,0.0,-100.0,4391003563.6,70751897282.29999
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,India,IND,1974,11384438629.8,inf,4593087145.5,82136335912.09999
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,Russian Federation,RUS,1974,0.0,-100.0,4593087145.5,82136335912.09999
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,South Africa,ZAF,1974,0.0,,4593087145.5,82136335912.09999
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,Brazil,BRA,1975,14882558034.8,inf,5253399332.92,97018893946.9
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,China,CHN,1975,0.0,-100.0,5253399332.92,97018893946.9
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,India,IND,1975,12298090794.8,inf,5436129765.92,109316984741.7
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,Russian Federation,RUS,1975,0.0,-100.0,5436129765.92,109316984741.7
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,South Africa,ZAF,1975,0.0,,5436129765.92,109316984741.7
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,Brazil,BRA,1976,18623475423.8,inf,6184313243.719999,127940460165.5
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,China,CHN,1976,0.0,-100.0,6184313243.719999,127940460165.5
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,India,IND,1976,13320327138.4,inf,6388760512.44,141260787303.9
