SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Brazil,BRA,1970,714020876.8,,,714020876.8
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,China,CHN,1970,0.0,-100.0,,714020876.8
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,India,IND,1970,283000000.0,inf,,997020876.8
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Russian Federation,RUS,1970,0.0,-100.0,,997020876.8
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,South Africa,ZAF,1970,0.0,,199404175.35999998,997020876.8
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Brazil,BRA,1971,923022229.4,inf,241204445.88000003,1920043106.1999998
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,China,CHN,1971,0.0,-100.0,241204445.88000003,1920043106.1999998
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,India,IND,1971,318000000.0,inf,248204445.88000003,2238043106.2
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Russian Federation,RUS,1971,0.0,-100.0,248204445.88000003,2238043106.2
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,South Africa,ZAF,1971,0.0,,248204445.88000003,2238043106.2
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Brazil,BRA,1972,1415046641.1,inf,346609328.21999997,3653089747.2999997
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,China,CHN,1972,0.0,-100.0,346609328.21999997,3653089747.2999997
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,India,IND,1972,350000000.0,inf,353009328.21999997,4003089747.2999997
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Russian Federation,RUS,1972,0.0,-100.0,353009328.21999997,4003089747.2999997
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,South Africa,ZAF,1972,0.0,,353009328.21999997,4003089747.2999997
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Brazil,BRA,1973,1801054970.7,inf,430210994.14,5804144718.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,China,CHN,1973,0.0,-100.0,430210994.14,5804144718.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,India,IND,1973,378000000.0,inf,435810994.14,6182144718.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Russian Federation,RUS,1973,0.0,-100.0,435810994.14,6182144718.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,South Africa,ZAF,1973,0.0,,435810994.14,6182144718.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Brazil,BRA,1974,2702061538.3,inf,616012307.6600001,8884206256.3
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,China,CHN,1974,0.0,-100.0,616012307.6600001,8884206256.3
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,India,IND,1974,437000000.0,inf,627812307.6600001,9321206256.3
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Russian Federation,RUS,1974,0.0,-100.0,627812307.6600001,9321206256.3
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,South Africa,ZAF,1974,0.0,,627812307.6600001,9321206256.3
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Brazil,BRA,1975,3306105104.6,inf,748621020.92,12627311360.9
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,China,CHN,1975,0.0,-100.0,748621020.92,12627311360.9
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,India,IND,1975,473000000.0,inf,755821020.92,13100311360.9
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Russian Federation,RUS,1975,0.0,-100.0,755821020.92,13100311360.9
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,South Africa,ZAF,1975,0.0,,755821020.92,13100311360.9
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Brazil,BRA,1976,4044543195.1,inf,903508639.0200001,17144854556.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,China,CHN,1976,0.0,-100.0,903508639.0200001,17144854556.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,India,IND,1976,499000000.0,inf,908708639.0200001,17643854556.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Russian Federation,RUS,1976,0.0,-100.0,908708639.0200001,17643854556.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,South Africa,ZAF,1976,0.0,,908708639.0200001,17643854556.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Brazil,BRA,1977,6000976473.1,inf,1299995294.6200001,23644831029.1
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,China,CHN,1977,0.0,-100.0,1299995294.6200001,23644831029.1
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,India,IND,1977,432000000.0,inf,1286595294.6200001,24076831029.1
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Russian Federation,RUS,1977,0.0,-100.0,1286595294.6200001,24076831029.1
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,South Africa,ZAF,1977,0.0,,1286595294.6200001,24076831029.1
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Brazil,BRA,1978,7077643411.0,inf,1501928682.2,31154474440.1
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,China,CHN,1978,0.0,-100.0,1501928682.2,31154474440.1
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,India,IND,1978,651000000.0,inf,1545728682.2,31805474440.1
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Russian Federation,RUS,1978,0.0,-100.0,1545728682.2,31805474440.1
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,South Africa,ZAF,1978,0.0,,1545728682.2,31805474440.1
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Brazil,BRA,1979,8642818018.7,inf,1858763603.7400002,40448292458.8
