SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1970,33810560993.4346,,,33810560993.4346
Final consumption expenditure (current US$),NE.CON.TOTL.CD,China,CHN,1970,59171978637.5823,75.01034262363298,,92982539631.0169
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,1970,55326240285.62,-6.49925596626868,,148308779916.6369
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,1970,0.0,-100.0,,148308779916.6369
Final consumption expenditure (current US$),NE.CON.TOTL.CD,South Africa,ZAF,1970,13022794796.0912,inf,32266314942.545616,161331574712.7281
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1971,39662117473.8288,204.55918330014234,33436626238.624462,200993692186.5569
Final consumption expenditure (current US$),NE.CON.TOTL.CD,China,CHN,1971,63084030839.2233,59.05361301208778,34219036678.95266,264077723025.78018
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,1971,60584508355.3497,-3.9622111184428044,35270690292.8986,324662231381.1299
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,1971,0.0,-100.0,35270690292.8986,324662231381.1299
Final consumption expenditure (current US$),NE.CON.TOTL.CD,South Africa,ZAF,1971,14742380611.229,inf,35614607455.92616,339404611992.3589
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1972,47073605517.5611,219.3080327997094,37096905064.67262,386478217509.92
Final consumption expenditure (current US$),NE.CON.TOTL.CD,China,CHN,1972,73080922831.9451,55.248194882123094,39096283463.21698,459559140341.8651
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,1972,64036134461.1337,-12.376401419575057,39786608684.37378,523595274802.9988
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,1972,0.0,-100.0,39786608684.37378,523595274802.9988
Final consumption expenditure (current US$),NE.CON.TOTL.CD,South Africa,ZAF,1972,15170569971.8379,inf,39872246556.49556,538765844774.8367
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1973,61826422206.6525,307.54185453430455,42822809894.313835,600592266981.4891
Final consumption expenditure (current US$),NE.CON.TOTL.CD,China,CHN,1973,87910466969.9407,42.189154462315905,45788718721.91296,688502733951.4298
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,1973,75179842896.6336,-14.481351893694406,48017460409.01294,763682576848.0635
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,1973,0.0,-100.0,48017460409.01294,763682576848.0635
Final consumption expenditure (current US$),NE.CON.TOTL.CD,South Africa,ZAF,1973,19581845729.4539,inf,48899715560.53614,783264422577.5173
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1974,84615479016.3177,332.11186619167313,53457526922.469185,867879901593.8351
Final consumption expenditure (current US$),NE.CON.TOTL.CD,China,CHN,1974,92173551019.7838,8.932256947938043,54310143732.437805,960053452613.6189
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,1974,89810713779.2605,-2.563465565101375,57236317908.96318,1049864166392.8794
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,1974,0.0,-100.0,57236317908.96318,1049864166392.8794
Final consumption expenditure (current US$),NE.CON.TOTL.CD,South Africa,ZAF,1974,23809488643.4628,inf,58081846491.76497,1073673655036.3422
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1975,95414734766.2849,300.74247790484253,60241697641.7584,1169088389802.627
Final consumption expenditure (current US$),NE.CON.TOTL.CD,China,CHN,1975,101314233998.279,6.183006478448783,62069834237.457436,1270402623800.906
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,1975,85890197379.1122,-15.223958184818153,61285730957.42778,1356292821180.0183
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,1975,0.0,-100.0,61285730957.42778,1356292821180.0183
Final consumption expenditure (current US$),NE.CON.TOTL.CD,South Africa,ZAF,1975,26620410481.1739,inf,61847915324.97001,1382913231661.1921
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1976,121044193603.271,354.70445953068275,66973807092.367226,1503957425264.4631
Final consumption expenditure (current US$),NE.CON.TOTL.CD,China,CHN,1976,101329467384.362,-16.287213481321615,66976853769.583824,1605286892648.8252
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,1976,87093123892.0063,-14.049559185339966,67217439072.16264,1692380016540.8315
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,1976,0.0,-100.0,67217439072.16264,1692380016540.8315
Final consumption expenditure (current US$),NE.CON.TOTL.CD,South Africa,ZAF,1976,25851999977.52,inf,67063756971.43186,1718232016518.3516
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1977,138463998128.67,435.60265452991445,70547717876.51167,1856696014647.0215
Final consumption expenditure (current US$),NE.CON.TOTL.CD,China,CHN,1977,110632311610.507,-20.10030541823582,72408286721.74066,1967328326257.5286
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,1977,103806104431.437,-6.170174951331042,75750882829.6268,2071134430688.9656
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,1977,0.0,-100.0,75750882829.6268,2071134430688.9656
Final consumption expenditure (current US$),NE.CON.TOTL.CD,South Africa,ZAF,1977,28442949975.267,inf,76269072829.1762,2099577380664.2327
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1978,157057611873.94,452.18467848979043,79987795578.2302,2256634992538.173
Final consumption expenditure (current US$),NE.CON.TOTL.CD,China,CHN,1978,90797494361.7886,-42.18841527103705,76020832128.48653,2347432486899.9614
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,1978,118062230214.082,30.02807075672733,78872057285.01552,2465494717114.0435
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,1978,0.0,-100.0,78872057285.01553,2465494717114.0435
Final consumption expenditure (current US$),NE.CON.TOTL.CD,South Africa,ZAF,1978,32267849971.941,inf,79637037284.35031,2497762567085.9844
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1979,178372038063.206,452.7856309556172,83899922522.20352,2676134605149.1904
Final consumption expenditure (current US$),NE.CON.TOTL.CD,China,CHN,1979,112129736113.043,-37.13715595192677,88166370872.4544,2788264341262.2334
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,1979,131100916822.995,16.918955994711602,90774108194.237,2919365258085.2285
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,1979,0.0,-100.0,90774108194.237,2919365258085.2285
Final consumption expenditure (current US$),NE.CON.TOTL.CD,South Africa,ZAF,1979,38877816254.3068,inf,92096101450.71017,2958243074339.535
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1980,185449993606.238,377.0072279604806,93511692559.31656,3143693067945.773
Final consumption expenditure (current US$),NE.CON.TOTL.CD,China,CHN,1980,123653222075.0,-33.3226064501516,95816389751.70796,3267346290020.773
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,1980,163030988932.962,31.845322100929984,102202404173.70137,3430377278953.735
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,1980,0.0,-100.0,102202404173.70137,3430377278953.735
Final consumption expenditure (current US$),NE.CON.TOTL.CD,South Africa,ZAF,1980,52949683643.9479,inf,105016777651.62958,3483326962597.6826
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1981,203719488313.553,284.7416533844352,108670676593.09258,3687046450911.236
Final consumption expenditure (current US$),NE.CON.TOTL.CD,China,CHN,1981,130087310746.032,-36.14390462938465,109957494327.29898,3817133761657.268
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,1981,165954198991.873,27.57139650297138,110542136339.08118,3983087960649.141
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,1981,0.0,-100.0,110542136339.08118,3983087960649.141
Final consumption expenditure (current US$),NE.CON.TOTL.CD,South Africa,ZAF,1981,58142917421.9164,inf,111580783094.67488,4041230878071.0576
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1982,224137528862.438,285.49412172763033,115664391204.45187,4265368406933.4956
Final consumption expenditure (current US$),NE.CON.TOTL.CD,China,CHN,1982,136520728389.313,-39.090642659355304,116951074733.10808,4401889135322.809
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,1982,171249039431.681,25.438123171548032,118010042821.06967,4573138174754.489
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,1982,0.0,-100.0,118010042821.06967,4573138174754.489
Final consumption expenditure (current US$),NE.CON.TOTL.CD,South Africa,ZAF,1982,56175272216.0931,inf,117616513779.90503,4629313446970.582
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1983,164482455315.142,192.8022398937678,105685499070.44583,4793795902285.724
Final consumption expenditure (current US$),NE.CON.TOTL.CD,China,CHN,1983,155601619157.088,-5.399260450629006,109501677224.00082,4949397521442.812
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,1983,186910754483.325,20.12134288566032,112634020234.32964,5136308275926.137
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,1983,0.0,-100.0,112634020234.32964,5136308275926.137
Final consumption expenditure (current US$),NE.CON.TOTL.CD,South Africa,ZAF,1983,63322861516.7675,inf,114063538094.46451,5199631137442.904
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1984,164368547549.499,159.57220443358392,114040756541.33589,5363999684992.403
Final consumption expenditure (current US$),NE.CON.TOTL.CD,China,CHN,1984,170951622053.571,4.005069462629129,117110757120.63249,5534951307045.975
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,1984,180250751259.281,5.439626190148661,115778756475.8237,5715202058305.256
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,1984,0.0,-100.0,115778756475.8237,5715202058305.256
Final consumption expenditure (current US$),NE.CON.TOTL.CD,South Africa,ZAF,1984,57014358325.3006,inf,114517055837.53032,5772216416630.557
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1985,168648649160.71,195.8003108593625,115373076159.7725,5940865065791.267
Final consumption expenditure (current US$),NE.CON.TOTL.CD,China,CHN,1985,201386487316.327,19.41185910384624,121460049212.3237,6142251553107.594
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,1985,195098643410.574,-3.1222769658206473,124429627642.58232,6337350196518.168
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,1985,0.0,-100.0,124429627642.58232,6337350196518.168
Final consumption expenditure (current US$),NE.CON.TOTL.CD,South Africa,ZAF,1985,43161519748.3605,inf,121659059927.1943,6380511716266.528
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Brazil,BRA,1986,210339906087.958,387.3320200824204,129997311312.64389,6590851622354.486
