SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Brazil,BRA,1970,0.0330753455605949,,,0.0330753455605949
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,China,CHN,1970,0.0,-100.0,,0.0330753455605949
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,India,IND,1970,0.0,,,0.0330753455605949
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Russian Federation,RUS,1970,0.0,,,0.0330753455605949
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,South Africa,ZAF,1970,0.0912131346548958,inf,0.02485769604309814,0.12428848021549072
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Brazil,BRA,1971,0.0020323362293944,-97.77188204628233,0.01864909417685804,0.1263208164448851
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,China,CHN,1971,0.0,-100.0,0.018649094176858044,0.1263208164448851
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,India,IND,1971,0.0,,0.018649094176858044,0.1263208164448851
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Russian Federation,RUS,1971,0.0,,0.018649094176858044,0.1263208164448851
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,South Africa,ZAF,1971,0.144399350498783,inf,0.02928633734563548,0.2707201669436681
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Brazil,BRA,1972,0.0324569896107028,-77.5227592793249,0.03537126802189716,0.3031771565543709
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,China,CHN,1972,0.0,-100.0,0.03537126802189716,0.3031771565543709
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,India,IND,1972,0.0,,0.03537126802189716,0.3031771565543709
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Russian Federation,RUS,1972,0.0,,0.03537126802189716,0.3031771565543709
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,South Africa,ZAF,1972,0.0913655432771429,inf,0.024764506577569144,0.3945426998315138
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Brazil,BRA,1973,0.0417512530388319,-54.30306487404548,0.02662335926319497,0.43629395287034567
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,China,CHN,1973,0.0,-100.0,0.02662335926319497,0.43629395287034567
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,India,IND,1973,0.0,,0.02662335926319497,0.43629395287034567
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Russian Federation,RUS,1973,0.0,,0.02662335926319497,0.43629395287034567
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,South Africa,ZAF,1973,0.177078234554704,inf,0.043765897518707186,0.6133721874250497
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Brazil,BRA,1974,0.0511718118887891,-71.10214475682453,0.045650009288698626,0.6645439993138388
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,China,CHN,1974,0.0,-100.0,0.045650009288698626,0.6645439993138388
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,India,IND,1974,0.0,,0.045650009288698626,0.6645439993138388
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Russian Federation,RUS,1974,0.0,,0.045650009288698626,0.6645439993138388
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,South Africa,ZAF,1974,0.311875251538626,inf,0.07260941268548302,0.9764192508524647
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Brazil,BRA,1975,0.0905347703684657,-70.97083852539903,0.08048200438141835,1.0669540212209305
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,China,CHN,1975,0.0,-100.0,0.08048200438141835,1.0669540212209305
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,India,IND,1975,0.0,,0.08048200438141835,1.0669540212209305
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Russian Federation,RUS,1975,0.0,,0.08048200438141835,1.0669540212209305
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,South Africa,ZAF,1975,0.329950930342156,inf,0.08409714014212435,1.3969049515630865
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Brazil,BRA,1976,0.119860081665481,-63.673361508274205,0.08996220240152741,1.5167650332285674
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,China,CHN,1976,0.0,-100.0,0.08996220240152741,1.5167650332285674
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,India,IND,1976,0.0,,0.08996220240152741,1.5167650332285674
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Russian Federation,RUS,1976,0.0,,0.08996220240152741,1.5167650332285674
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,South Africa,ZAF,1976,0.0879701122383607,inf,0.04156603878076835,1.604735145466928
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Brazil,BRA,1977,0.0828738920592935,-5.793126835235418,0.03416880085953085,1.6876090375262216
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,China,CHN,1977,0.0,-100.0,0.03416880085953085,1.6876090375262216
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,India,IND,1977,0.0,,0.03416880085953085,1.6876090375262216
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Russian Federation,RUS,1977,0.0,,0.03416880085953085,1.6876090375262216
