SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1970,6.06348476167284,,,6.06348476167284
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1970,16.0503992924726,164.70585683544283,,22.11388405414544
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1970,2.86436297953412,-82.15394565992223,,24.978247033679562
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1970,0.0,-100.0,,24.978247033679562
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1970,2.51274833265028,inf,5.498199073265968,27.49099536632984
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1971,8.58967999860471,241.8440234141907,6.003438120652342,36.08067536493455
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1971,4.15917620599429,-51.57938122642639,3.6251935033566802,40.23985157092884
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1971,-0.626350508612447,-115.05948480157531,2.9270508057273665,39.613501062316395
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1971,0.0,-100.0,2.9270508057273665,39.613501062316395
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1971,1.53920148973508,inf,2.732341437144327,41.15270255205147
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1972,9.38615911052001,509.8070443094173,2.8916372595273865,50.538861662571485
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1972,1.2901059690867,-86.25523013305039,2.3178232121458686,51.82896763165819
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1972,-2.81562863876793,-318.2478576361589,1.8799675861147722,49.013338992890255
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1972,0.0,-100.0,1.8799675861147722,49.013338992890255
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1972,-1.03593246233615,-inf,1.364940795700526,47.977406530554106
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1973,11.3035185712259,-1191.1443537289226,1.7484126878417041,59.28092510178001
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1973,5.32729301473751,-52.870489120983954,2.5558500969718656,64.60821811651752
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1973,0.919174488268879,-82.74593708800961,3.3028107223792276,65.5273926047864
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1973,0.0,-100.0,3.3028107223792276,65.5273926047864
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1973,1.81004994869957,inf,3.8720072045863723,67.33744255348597
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1974,6.49410052152012,258.78018317592864,2.9101235946452157,73.8315430750061
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1974,0.218005664944926,-96.643019857446,1.8882661246866987,74.04954873995102
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1974,-1.14691361962363,-626.0934939068536,1.475048503108197,72.90263512032739
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1974,0.0,-100.0,1.4750485031081972,72.90263512032739
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1974,3.34752128784459,inf,1.7825427709372008,76.25015640817197
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1975,2.74605720937593,-17.967445962260996,1.032934108508363,78.99621361754791
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1975,6.81644050919941,148.22645667853794,2.35262107735926,85.81265412674732
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1975,6.64490655447061,-2.5164740233161176,3.910985112178108,92.45756068121793
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1975,0.0,-100.0,3.910985112178108,92.45756068121793
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1975,-0.89847083928251,-inf,3.0617866867526877,91.55908984193542
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1976,7.21568953994129,-903.1078165768305,3.95571315286576,98.77477938187671
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1976,-3.08132198597882,-142.70308428491356,1.9761606538301142,95.6934573958979
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1976,-0.653097014249326,-78.80464887404938,0.5165599400861269,95.04036038164857
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1976,0.0,-100.0,0.5165599400861269,95.04036038164857
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1976,-0.289638079824655,-inf,0.638326491977698,94.75072230182391
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1977,2.15508771060036,-844.0622834901528,-0.3737938738904882,96.90581001242427
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1977,6.11400167387856,183.7008277577405,1.465270858080988,103.01981168630283
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1977,4.82517616230072,-21.07990118949776,2.5609254933909975,107.84498784860355
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1977,0.0,-100.0,2.5609254933909975,107.84498784860355
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1977,-2.52378523476085,-inf,2.114096062403758,105.3212026138427
