SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Brazil,BRA,1970,11.3246527269795
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,China,CHN,1970,10.9617831337457
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,India,IND,1970,8.94724413435599
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Russian Federation,RUS,1970,0.0
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,South Africa,ZAF,1970,11.9033140772271
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Brazil,BRA,1971,11.0226400454096
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,China,CHN,1971,11.8443026252595
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,India,IND,1971,9.67379314373021
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Russian Federation,RUS,1971,0.0
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,South Africa,ZAF,1971,12.9065529808155
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Brazil,BRA,1972,10.7529260267313
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,China,CHN,1972,12.0098651661182
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,India,IND,1972,9.33421495863531
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Russian Federation,RUS,1972,0.0
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,South Africa,ZAF,1972,12.0782068461445
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Brazil,BRA,1973,10.4453941865911
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,China,CHN,1973,11.4792406175169
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,India,IND,1973,8.40736153328718
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Russian Federation,RUS,1973,0.0
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,South Africa,ZAF,1973,11.1116576487949
