SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,1970,450.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,China,CHN,1970,120.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,1970,120.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Russian Federation,RUS,1970,0.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,South Africa,ZAF,1970,800.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,1971,510.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,China,CHN,1971,130.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,1971,120.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Russian Federation,RUS,1971,0.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,South Africa,ZAF,1971,870.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,1972,590.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,China,CHN,1972,130.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,1972,120.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Russian Federation,RUS,1972,0.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,South Africa,ZAF,1972,920.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,1973,760.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,China,CHN,1973,160.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,1973,140.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Russian Federation,RUS,1973,0.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,South Africa,ZAF,1973,1110.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,1974,980.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,China,CHN,1974,180.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,1974,170.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Russian Federation,RUS,1974,0.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,South Africa,ZAF,1974,1400.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,1975,1180.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,China,CHN,1975,200.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,1975,190.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Russian Federation,RUS,1975,0.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,South Africa,ZAF,1975,1610.0
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,1976,1360.0
