SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1970,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1970,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1970,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1970,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1970,3316598674.68717
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1971,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1971,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1971,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1971,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1971,3622301658.24039
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1972,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1972,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1972,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1972,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1972,4511200021.12327
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1973,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1973,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1973,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1973,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1973,6239348867.30073
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1974,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1974,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1974,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1974,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1974,8747567732.17531
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1975,8492000000.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1975,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1975,4666099650.11734
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1975,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1975,8839265940.9847
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1976,9961000000.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1976,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1976,5410356406.96001
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1976,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1976,8559449992.557
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1977,11923000000.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1977,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1977,6249084080.69098
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1977,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1977,10494899990.874
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1978,12473000000.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1978,0.0
