SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Gross capital formation (current LCU),NE.GDI.TOTL.CN,Brazil,BRA,1970,0.0145150004
Gross capital formation (current LCU),NE.GDI.TOTL.CN,China,CHN,1970,74932546060.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,India,IND,1970,77964782738.0282
Gross capital formation (current LCU),NE.GDI.TOTL.CN,Russian Federation,RUS,1970,0.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,South Africa,ZAF,1970,3757000000.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,Brazil,BRA,1971,0.019971
Gross capital formation (current LCU),NE.GDI.TOTL.CN,China,CHN,1971,82644779800.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,India,IND,1971,88233654743.0603
Gross capital formation (current LCU),NE.GDI.TOTL.CN,Russian Federation,RUS,1971,0.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,South Africa,ZAF,1971,4502000000.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,Brazil,BRA,1972,0.0267290007
Gross capital formation (current LCU),NE.GDI.TOTL.CN,China,CHN,1972,79758199860.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,India,IND,1972,89143620593.4105
Gross capital formation (current LCU),NE.GDI.TOTL.CN,Russian Federation,RUS,1972,0.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,South Africa,ZAF,1972,4356000000.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,Brazil,BRA,1973,0.0410300009
Gross capital formation (current LCU),NE.GDI.TOTL.CN,China,CHN,1973,90833391620.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,India,IND,1973,128147491423.985
Gross capital formation (current LCU),NE.GDI.TOTL.CN,Russian Federation,RUS,1973,0.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,South Africa,ZAF,1973,5419000000.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,Brazil,BRA,1974,0.0658740029
Gross capital formation (current LCU),NE.GDI.TOTL.CN,China,CHN,1974,93897156030.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,India,IND,1974,152752455779.284
Gross capital formation (current LCU),NE.GDI.TOTL.CN,Russian Federation,RUS,1974,0.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,South Africa,ZAF,1974,7511000000.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,Brazil,BRA,1975,0.0980729982
Gross capital formation (current LCU),NE.GDI.TOTL.CN,China,CHN,1975,106491066570.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,India,IND,1975,161541661294.894
Gross capital formation (current LCU),NE.GDI.TOTL.CN,Russian Federation,RUS,1975,0.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,South Africa,ZAF,1975,9116000000.0
Gross capital formation (current LCU),NE.GDI.TOTL.CN,Brazil,BRA,1976,0.1369089931
