SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Brazil,BRA,1970,0.0142180044
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,China,CHN,1970,82300422990.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,India,IND,1970,53221820766.73
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Russian Federation,RUS,1970,0.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,South Africa,ZAF,1970,3854000000.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Brazil,BRA,1971,0.0183399943
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,China,CHN,1971,90389732880.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,India,IND,1971,50353435079.1899
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Russian Federation,RUS,1971,0.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,South Africa,ZAF,1971,3999000000.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Brazil,BRA,1972,0.0247280085
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,China,CHN,1972,91166020150.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,India,IND,1972,57415625160.1001
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Russian Federation,RUS,1972,0.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,South Africa,ZAF,1972,4756000000.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Brazil,BRA,1973,0.0388589911
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,China,CHN,1973,100730917010.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,India,IND,1973,81267460054.7301
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Russian Federation,RUS,1973,0.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,South Africa,ZAF,1973,6741000000.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Brazil,BRA,1974,0.0506419967
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,China,CHN,1974,101999231740.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,India,IND,1974,77484432169.91
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Russian Federation,RUS,1974,0.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,South Africa,ZAF,1974,8832000000.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Brazil,BRA,1975,0.0835769959
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,China,CHN,1975,115525787610.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,India,IND,1975,108882262861.58
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Russian Federation,RUS,1975,0.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,South Africa,ZAF,1975,8500000000.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Brazil,BRA,1976,0.1227129921
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,China,CHN,1976,102138972020.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,India,IND,1976,139652361861.58
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Russian Federation,RUS,1976,0.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,South Africa,ZAF,1976,9349000000.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Brazil,BRA,1977,0.1938429773
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,China,CHN,1977,119467291490.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,India,IND,1977,151395429492.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Russian Federation,RUS,1977,0.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,South Africa,ZAF,1977,10616000000.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Brazil,BRA,1978,0.2872909903
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,China,CHN,1978,144508415830.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,India,IND,1978,157871409774.02
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Russian Federation,RUS,1978,0.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,South Africa,ZAF,1978,12584000000.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Brazil,BRA,1979,0.4563619196
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,China,CHN,1979,152146974090.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,India,IND,1979,176798348063.45
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Russian Federation,RUS,1979,0.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,South Africa,ZAF,1979,15803000000.0
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Brazil,BRA,1980,0.9498147368
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,China,CHN,1980,161990374800.0
