SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1970,0.0133079998
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1970,55032546060.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1970,72735421073.26
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Russian Federation,RUS,1970,0.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,South Africa,ZAF,1970,3325000000.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1971,0.0186989997
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1971,61044779800.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1971,83127383469.59
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Russian Federation,RUS,1971,0.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,South Africa,ZAF,1971,3895000000.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1972,0.0256239995
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1972,62858199860.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1972,94206741052.5
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Russian Federation,RUS,1972,0.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,South Africa,ZAF,1972,4529000000.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1973,0.0379099995
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1973,66933391620.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1973,106961629564.05
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Russian Federation,RUS,1973,0.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,South Africa,ZAF,1973,5331000000.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1974,0.0591920018
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1974,75097156030.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1974,131802422767.01
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Russian Federation,RUS,1974,0.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,South Africa,ZAF,1974,6511000000.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1975,0.0890330002
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1975,88291066570.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1975,150951390607.69
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Russian Federation,RUS,1975,0.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,South Africa,ZAF,1975,8738000000.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1976,0.1332010031
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1976,86780576550.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1976,169750141956.16
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Russian Federation,RUS,1976,0.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,South Africa,ZAF,1976,10218000000.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1977,0.1935050041
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1977,91406619870.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1977,195462197668.37
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Russian Federation,RUS,1977,0.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,South Africa,ZAF,1977,10920000000.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1978,0.2928670049
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1978,107933244300.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1978,218498359314.21
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Russian Federation,RUS,1978,0.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,South Africa,ZAF,1978,11356000000.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1979,0.5063959956
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1979,116253769680.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1979,251502339809.75
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Russian Federation,RUS,1979,0.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,South Africa,ZAF,1979,13388000000.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1980,1.0312700272
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1980,131024128950.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1980,289364431778.5
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Russian Federation,RUS,1980,0.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,South Africa,ZAF,1980,17962000000.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1981,2.0461800098
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1981,134539520040.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1981,343257482681.12
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Russian Federation,RUS,1981,0.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,South Africa,ZAF,1981,21840000000.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,Brazil,BRA,1982,3.9396400452
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,China,CHN,1982,151740287720.0
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,India,IND,1982,406115055954.72
