SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Brazil,BRA,1970,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,China,CHN,1970,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,India,IND,1970,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Russian Federation,RUS,1970,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,South Africa,ZAF,1970,26.6913736003785
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Brazil,BRA,1971,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,China,CHN,1971,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,India,IND,1971,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Russian Federation,RUS,1971,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,South Africa,ZAF,1971,25.0675925252008
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Brazil,BRA,1972,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,China,CHN,1972,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,India,IND,1972,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Russian Federation,RUS,1972,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,South Africa,ZAF,1972,26.501633010013
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Brazil,BRA,1973,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,China,CHN,1973,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,India,IND,1973,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Russian Federation,RUS,1973,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,South Africa,ZAF,1973,30.7809489677914
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Brazil,BRA,1974,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,China,CHN,1974,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,India,IND,1974,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Russian Federation,RUS,1974,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,South Africa,ZAF,1974,33.0448495768164
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Brazil,BRA,1975,21.8371136746613
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,China,CHN,1975,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,India,IND,1975,13.137406963148
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Russian Federation,RUS,1975,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,South Africa,ZAF,1975,27.3527485262847
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Brazil,BRA,1976,19.5212457082768
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,China,CHN,1976,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,India,IND,1976,16.0062187106783
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Russian Federation,RUS,1976,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,South Africa,ZAF,1976,26.4161452019788
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Brazil,BRA,1977,20.1164379487202
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,China,CHN,1977,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,India,IND,1977,15.4395580677892
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Russian Federation,RUS,1977,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,South Africa,ZAF,1977,26.9135291683906
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Brazil,BRA,1978,19.9587011432387
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,China,CHN,1978,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,India,IND,1978,15.079134651585
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Russian Federation,RUS,1978,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,South Africa,ZAF,1978,27.9676466812171
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Brazil,BRA,1979,18.5216082093233
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,China,CHN,1979,0.0
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,India,IND,1979,15.7494857934583
